month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.5390486022794732,0.7232173017549488,0.2767826982450512,0.8213037912981813,0.551,0.061277113674577346,86.5,"St. Louis County, Missouri"
2,0.579995693099974,0.6935078701511275,0.30649212984887253,0.8016624487379287,0.532,0.05690211890282158,86.5,"St. Louis County, Missouri"
3,0.6035122317068078,0.6819962143344809,0.3180037856655191,0.7803580292710507,0.609,0.04449235839823327,49.42857142857143,"St. Louis County, Missouri"
4,0.5697271043819652,0.6990718754264466,0.30092812457355345,0.7939871564347444,0.623,0.024986824824540125,32.95238095238095,"St. Louis County, Missouri"
5,0.6028215369625678,0.6829851320519772,0.3170148679480228,0.7813328350864565,0.608,0.03432446901951599,43.25,"St. Louis County, Missouri"
6,0.6002409287031639,0.6866515001448115,0.31334849985518853,0.789896179524967,0.551,0.042442886660030286,53.23076923076923,"St. Louis County, Missouri"
7,0.5457093402861914,0.7182675957926071,0.2817324042073928,0.8087513779931941,0.622,0.04263528604769832,62.90909090909091,"St. Louis County, Missouri"
8,0.5652350924928796,0.6969258294162882,0.3030741705837117,0.7954736678383736,0.61,0.04356173092527375,57.666666666666664,"St. Louis County, Missouri"
9,0.46858922800656216,0.7627113221165553,0.2372886778834446,0.8476842830178212,0.582,0.041746484528579673,49.42857142857143,"St. Louis County, Missouri"
10,0.5535913814264769,0.7060345041278594,0.2939654958721406,0.8058373267606523,0.614,0.044619927557447946,69.2,"St. Louis County, Missouri"
11,0.5272141770765206,0.7290988272791543,0.27090117272084574,0.8291913153639153,0.608,0.03778974929523268,40.705882352941174,"St. Louis County, Missouri"
12,0.555145714834387,0.7129248379983965,0.28707516200160355,0.8187338757102349,0.604,0.038950419514317026,49.42857142857143,"St. Louis County, Missouri"
