month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.688087560573948,0.6022138904235379,0.3977861095764621,0.6989118063906241,0.198,0.09990362109321217,30,"Tulare County, California"
2,0.6795869335602569,0.6148020206609243,0.38519797933907574,0.7215164236621349,0.199,0.09552526504199367,33.75,"Tulare County, California"
3,0.6603197682032089,0.6178974347780662,0.38210256522193375,0.7197513009208838,0.229,0.08146771306622608,24.545454545454547,"Tulare County, California"
4,0.6497735394201714,0.6216646440257143,0.3783353559742857,0.7218490644617842,0.232,0.05684978658956354,15,"Tulare County, California"
5,0.6437252114543104,0.6318999477676561,0.3681000522323439,0.7338741604189777,0.214,0.0664188351920694,19.285714285714285,"Tulare County, California"
6,0.6466801710854184,0.6368814035421158,0.36311859645788425,0.7427585083782308,0.183,0.07418422139611731,30,"Tulare County, California"
7,0.5951777675730862,0.6644909059588343,0.3355090940411657,0.7656603567597464,0.202,0.07031529670934876,27,"Tulare County, California"
8,0.6633732138805393,0.6250499202744423,0.3749500797255577,0.7325933714497372,0.195,0.07159575932810133,27,"Tulare County, California"
9,0.7045268571298683,0.5999182612457636,0.4000817387542363,0.7142336667942092,0.185,0.07211895910780669,24.545454545454547,"Tulare County, California"
10,0.6282769726892327,0.6512667164490691,0.34873328355093086,0.7589071461789212,0.193,0.0758639680572766,20.76923076923077,"Tulare County, California"
11,0.6352150683835471,0.6439258819174628,0.35607411808253725,0.7497463433062064,0.192,0.07155445408233511,22.5,"Tulare County, California"
12,0.621100624959999,0.6528710166092075,0.3471289833907924,0.7626409623085895,0.189,0.07419798981137271,22.5,"Tulare County, California"
