month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.6541902020160466,0.674500582269487,0.325499417730513,0.8051215865258947,0.059,0.1300700377126145,213.5,"Tulsa County, Oklahoma"
2,0.6589069056796235,0.6717600631667755,0.32823993683322444,0.8033599624174889,0.063,0.12010862992160613,213.5,"Tulsa County, Oklahoma"
3,0.7450524917568884,0.6066310768607024,0.3933689231392976,0.7360746239481163,0.368,0.09922375784763224,53.375,"Tulsa County, Oklahoma"
4,0.7328841782487098,0.6177901836716505,0.38220981632834955,0.7456252651246323,0.4,0.06350122593484404,38.81818181818182,"Tulsa County, Oklahoma"
5,0.687209615741156,0.6484918188708604,0.35150818112913956,0.7757840807978377,0.376,0.09291266726039296,61,"Tulsa County, Oklahoma"
6,0.6693284801463539,0.6661747748696475,0.3338252251303525,0.8000785069665148,0.062,0.10296753196776287,213.5,"Tulsa County, Oklahoma"
7,0.6798488967963592,0.6550970597372391,0.34490294026276086,0.7891951729669837,0.304,0.09617816186737912,61,"Tulsa County, Oklahoma"
8,0.704163323207814,0.6347001705197248,0.36529982948027523,0.7684098563649817,0.284,0.09870699607480951,61,"Tulsa County, Oklahoma"
9,0.7343059953283151,0.6171541755543117,0.3828458244456882,0.7544990540288083,0.335,0.09707424877131643,53.375,"Tulsa County, Oklahoma"
10,0.7198688621242612,0.6250604474361282,0.37493955256387174,0.7621917756321169,0.238,0.10146122637464128,61,"Tulsa County, Oklahoma"
11,0.7251958081523948,0.6214270847996588,0.37857291520034114,0.7621400990914308,0.229,0.09122494530021659,61,"Tulsa County, Oklahoma"
12,0.5715784711559075,0.7214441512902918,0.2785558487097082,0.8355683621170027,0.111,0.09595826324064607,142.33333333333334,"Tulsa County, Oklahoma"
