month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.5596942457034071,0.6952428417983106,0.30475715820168936,0.8080563209466697,0.01,0.14705457993239343,44.57142857142857,"Washoe County, Nevada"
2,0.5795840142084231,0.6865379620232421,0.3134620379767578,0.8021570618698844,0.01,0.13441957292439607,52,"Washoe County, Nevada"
3,0.6298224619491398,0.6527768449158565,0.3472231550841434,0.782621357202976,0.01,0.1055940308351884,44.57142857142857,"Washoe County, Nevada"
4,0.7929774011793504,0.5656086413844166,0.4343913586155834,0.7101787009786772,0.138,0.06676148074861901,28.363636363636363,"Washoe County, Nevada"
5,0.7323684193880728,0.5985333659580949,0.40146663404190513,0.7315939526738472,0.114,0.0861777557919037,26,"Washoe County, Nevada"
6,0.5329365506604054,0.7170065565537667,0.28299344344623334,0.8257699993968819,0.01,0.10277022013356418,39,"Washoe County, Nevada"
7,0.7158905597121692,0.5984419929626046,0.40155800703739536,0.74146058453072,0.009,0.10012160936598236,52,"Washoe County, Nevada"
8,0.7104849322336708,0.6027076141000683,0.39729238589993165,0.7448451595668255,0.01,0.10196636161266386,62.4,"Washoe County, Nevada"
9,0.6131094892273217,0.6637701914285089,0.3362298085714911,0.7870445980060174,0.009,0.10311031412317587,44.57142857142857,"Washoe County, Nevada"
10,0.6337861714636475,0.6496384995096275,0.35036150049037246,0.7800865030169833,0.009,0.11022137026960178,44.57142857142857,"Washoe County, Nevada"
11,0.48639450557286684,0.743930458796522,0.256069541203478,0.8399538651747376,0.01,0.09478316431692638,39,"Washoe County, Nevada"
12,0.5537983901809955,0.6978880173910856,0.3021119826089143,0.8077854083802954,0.008,0.09859633935196636,39,"Washoe County, Nevada"
