month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8316920236105271,0.5453757580497087,0.4546242419502913,0.6680189989862813,0.393,0.026906307220288084,84.87096774193549,"Atlanta-Sandy Springs-Roswell, GA"
2,0.8304989043345304,0.5444267728412774,0.4555732271587226,0.6667511563131248,0.386,0.024720609636781687,84.87096774193549,"Atlanta-Sandy Springs-Roswell, GA"
3,0.860063734990665,0.527039369466207,0.47296063053379306,0.6504211416519962,0.394,0.019211420428844155,73.08333333333333,"Atlanta-Sandy Springs-Roswell, GA"
4,0.7866353121631801,0.5723571022900891,0.4276428977099109,0.6848575537218938,0.422,0.01165064679248446,48.72222222222222,"Atlanta-Sandy Springs-Roswell, GA"
5,0.8227239162031214,0.5473044070251565,0.4526955929748435,0.6671993877833244,0.423,0.016523954661660546,65.775,"Atlanta-Sandy Springs-Roswell, GA"
6,0.7615650384578027,0.583483692172154,0.416516307827846,0.6925965485680385,0.399,0.01868277180675566,64.17073170731707,"Atlanta-Sandy Springs-Roswell, GA"
7,0.8237044247877849,0.5493903616419005,0.4506096383580995,0.6671121212947614,0.418,0.01860054078817492,65.775,"Atlanta-Sandy Springs-Roswell, GA"
8,0.78784271017048,0.5728862851307733,0.42711371486922667,0.6859804029843266,0.405,0.018807635778730635,73.08333333333333,"Atlanta-Sandy Springs-Roswell, GA"
9,0.7822941100552827,0.5727256599440917,0.4272743400559083,0.6878124205033954,0.399,0.018237799388108728,65.775,"Atlanta-Sandy Springs-Roswell, GA"
10,0.781041417112093,0.5737186609412214,0.42628133905877863,0.6891798187938762,0.404,0.018237799388108728,65.775,"Atlanta-Sandy Springs-Roswell, GA"
11,0.831412099391965,0.5458671769990198,0.45413282300098023,0.6668503751579761,0.412,0.019575751532257248,73.08333333333333,"Atlanta-Sandy Springs-Roswell, GA"
12,0.7666838785324867,0.5841356367440886,0.41586436325591136,0.6899355697807905,0.41,0.017706838470242924,59.79545454545455,"Atlanta-Sandy Springs-Roswell, GA"
