month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.5496674979624554,0.6948729739437546,0.3051270260562454,0.7923564926563755,0.322,0.06452686499920066,48.8235294117647,"Birmingham-Hoover, AL"
2,0.5493090016970948,0.6953716766566468,0.3046283233433532,0.7935809795437639,0.321,0.06240934788611624,51.875,"Birmingham-Hoover, AL"
3,0.5808558410254354,0.6796773733761563,0.32032262662384364,0.78330001197141,0.396,0.05324894269478396,43.68421052631579,"Birmingham-Hoover, AL"
4,0.5897902947768429,0.6755073466215423,0.3244926533784577,0.7707028054659952,0.452,0.03657622044268752,34.583333333333336,"Birmingham-Hoover, AL"
5,0.6055621551928709,0.6597593269416747,0.3402406730583253,0.7606453185165307,0.4,0.05035243507201302,46.111111111111114,"Birmingham-Hoover, AL"
6,0.5653213610444008,0.6903904956862246,0.3096095043137754,0.7904689195079058,0.399,0.05386225238711178,48.8235294117647,"Birmingham-Hoover, AL"
7,0.5894329386314866,0.6713033887442637,0.32869661125573635,0.7701099325458373,0.391,0.052738820178179546,43.68421052631579,"Birmingham-Hoover, AL"
8,0.6152072082136206,0.658423322482891,0.3415766775171089,0.7632396307812122,0.376,0.05403955992849565,51.875,"Birmingham-Hoover, AL"
9,0.6023974913081336,0.6659898692659306,0.33401013073406943,0.7670438097787418,0.405,0.05306291511038121,46.111111111111114,"Birmingham-Hoover, AL"
10,0.6023974913081336,0.6659898692659306,0.33401013073406943,0.7670438097787418,0.405,0.05306291511038121,46.111111111111114,"Birmingham-Hoover, AL"
11,0.5693221078872392,0.6918402511539659,0.3081597488460341,0.7945087162056792,0.387,0.056141090296045464,46.111111111111114,"Birmingham-Hoover, AL"
12,0.584247434887142,0.679430574907355,0.3205694250926449,0.7817708746398995,0.37,0.05279114043629282,48.8235294117647,"Birmingham-Hoover, AL"
