month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.595020287552077,0.6987209003757766,0.3012790996242234,0.8038457713504176,0.497,0.008378323164064713,56.96666666666667,Boston
2,0.6047295257476931,0.6909334112428811,0.30906658875711895,0.7944882691998207,0.502,0.0074996750663095905,52.58461538461538,Boston
3,0.5939331850710065,0.700777884807396,0.299222115192604,0.8041842962272346,0.519,0.005375405011222413,38.40449438202247,Boston
4,0.6224637120405956,0.686468446219232,0.313531553780768,0.7986539604139863,0.513,0.0025844857562598326,15.824074074074074,Boston
5,0.6462978792466054,0.6736141988794807,0.32638580112051935,0.7900637889808614,0.51,0.0034320532401497144,18.084656084656086,Boston
6,0.6482156348639218,0.6712112310919394,0.3287887689080607,0.7858199126990638,0.505,0.004379969152276685,23.73611111111111,Boston
7,0.64355456414048,0.6734711540540589,0.3265288459459411,0.7886051276578411,0.509,0.004713122509162788,26.29230769230769,Boston
8,0.662081369498338,0.6636342124657215,0.3363657875342785,0.7823265323960668,0.499,0.004848918249080896,28.722689075630253,Boston
9,0.6428144963823705,0.6740101245450925,0.3259898754549076,0.7885969989399394,0.497,0.004941132632367025,31.64814814814815,Boston
10,0.6449135852238012,0.6728293986899023,0.3271706013100977,0.7869111156486089,0.497,0.004941132632367025,31.64814814814815,Boston
11,0.6363968085867799,0.676367528660907,0.323632471339093,0.7908220372586313,0.496,0.004876402758862556,34.18,Boston
12,0.6440369079167368,0.6732676218479562,0.3267323781520438,0.7862175712350067,0.473,0.004337500875480102,30.792792792792792,Boston
