month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.6429108734767608,0.6496334843543697,0.35036651564563026,0.7590019069957022,0.347,0.026811918153314525,62.758620689655174,"Denver-Aurora-Lakewood, CO"
2,0.6525431599276327,0.6423166625245863,0.3576833374754137,0.7461755094240471,0.363,0.022321466329162865,60.666666666666664,"Denver-Aurora-Lakewood, CO"
3,0.6421930723503441,0.651039416158749,0.34896058384125095,0.7572236945697067,0.357,0.016669284536244406,52,"Denver-Aurora-Lakewood, CO"
4,0.6709178590255365,0.6350901753725278,0.3649098246274723,0.7445046061760362,0.386,0.009038597466304997,33.09090909090909,"Denver-Aurora-Lakewood, CO"
5,0.6761735273729059,0.6276938786229028,0.3723061213770972,0.7412142821415523,0.351,0.013011315237813313,37.142857142857146,"Denver-Aurora-Lakewood, CO"
6,0.6867526094912584,0.6208907652447504,0.3791092347552496,0.7290468586248003,0.339,0.015567362818599762,47.89473684210526,"Denver-Aurora-Lakewood, CO"
7,0.6494218597433887,0.6400036280271582,0.3599963719728418,0.7451724944433585,0.349,0.015676709217116034,46.666666666666664,"Denver-Aurora-Lakewood, CO"
8,0.6868051947650137,0.6170011001948258,0.3829988998051742,0.7242285559840781,0.366,0.016247002035897032,42.325581395348834,"Denver-Aurora-Lakewood, CO"
9,0.6371310764066782,0.6523070886902901,0.34769291130971,0.7634309992698978,0.339,0.01565496076216252,46.666666666666664,"Denver-Aurora-Lakewood, CO"
10,0.6444095682667671,0.6483166275032689,0.35168337249673104,0.7606806258158876,0.341,0.01565496076216252,45.5,"Denver-Aurora-Lakewood, CO"
11,0.6644803662313439,0.6358582302656623,0.36414176973433765,0.7455064349104579,0.33,0.016202598940366943,52,"Denver-Aurora-Lakewood, CO"
12,0.67950055191797,0.6227692075084227,0.37723079249157726,0.7360124498343175,0.36,0.013986673030103485,45.5,"Denver-Aurora-Lakewood, CO"
