month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.4209603554064224,0.7856705054006844,0.21432949459931558,0.8757478237182363,0.116,0.1338604667399766,30.818181818181817,"Fayetteville-Springdale-Rogers, AR-MO"
2,0.4090584506450227,0.7933958278319049,0.20660417216809515,0.8806995839312491,0.126,0.12869386116492992,30.818181818181817,"Fayetteville-Springdale-Rogers, AR-MO"
3,0.41078469099309256,0.7920044934229266,0.2079955065770735,0.8797370812600873,0.124,0.11430242097362588,28.25,"Fayetteville-Springdale-Rogers, AR-MO"
4,0.40990316759226797,0.7925018158741646,0.20749818412583543,0.8801097295060035,0.126,0.0860082735508195,28.25,"Fayetteville-Springdale-Rogers, AR-MO"
5,0.4142957399436707,0.7907869489929423,0.20921305100705767,0.8792365769788155,0.119,0.10725942992791189,30.818181818181817,"Fayetteville-Springdale-Rogers, AR-MO"
6,0.41093610091108795,0.7916190973387598,0.2083809026612402,0.8794259945314988,0.126,0.11370023214815592,28.25,"Fayetteville-Springdale-Rogers, AR-MO"
7,0.4419412962590381,0.7779366960276842,0.2220633039723158,0.8720114148158582,0.119,0.1137351416452846,30.818181818181817,"Fayetteville-Springdale-Rogers, AR-MO"
8,0.42130675880972496,0.7851628933759518,0.21483710662404826,0.8753486946368096,0.117,0.1174879125866192,30.818181818181817,"Fayetteville-Springdale-Rogers, AR-MO"
9,0.4097467572652363,0.7926989833993484,0.20730101660065162,0.8802312235876885,0.126,0.11591698521582797,28.25,"Fayetteville-Springdale-Rogers, AR-MO"
10,0.4097467572652363,0.7926989833993484,0.20730101660065162,0.8802312235876885,0.126,0.11591698521582797,28.25,"Fayetteville-Springdale-Rogers, AR-MO"
11,0.41224600831574326,0.7906125983181365,0.2093874016818636,0.8787616185096326,0.119,0.12045521984255816,30.818181818181817,"Fayetteville-Springdale-Rogers, AR-MO"
12,0.4090643791231801,0.793387373842168,0.20661262615783205,0.8806943926078348,0.126,0.11060201427798431,28.25,"Fayetteville-Springdale-Rogers, AR-MO"
