month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.6340089012830015,0.6555775443462598,0.3444224556537402,0.7800857885907866,0.161,0.0914398830117345,66.25,"Greenville-Anderson-Mauldin, SC"
2,0.6338195860838298,0.6552290378022289,0.34477096219777115,0.7794650535998181,0.157,0.08659271676712915,66.25,"Greenville-Anderson-Mauldin, SC"
3,0.6338654316791855,0.655493947021817,0.34450605297818304,0.7802092588716032,0.161,0.07564646716838463,66.25,"Greenville-Anderson-Mauldin, SC"
4,0.6760025670491584,0.633781738308632,0.36621826169136795,0.7668919164366564,0.187,0.05407497235795556,48.18181818181818,"Greenville-Anderson-Mauldin, SC"
5,0.6337645552993397,0.655886339374359,0.3441136606256409,0.7800797070714791,0.161,0.07093483610942683,66.25,"Greenville-Anderson-Mauldin, SC"
6,0.6304296574584989,0.6575263495880822,0.3424736504119178,0.7813344019126742,0.161,0.07580340264650284,66.25,"Greenville-Anderson-Mauldin, SC"
7,0.6143219269308805,0.6732341160850353,0.3267658839149647,0.7944779360752656,0.187,0.07262545921460926,53,"Greenville-Anderson-Mauldin, SC"
8,0.6328885475689392,0.6562668597862761,0.3437331402137239,0.7805486944932297,0.161,0.07617790776473944,66.25,"Greenville-Anderson-Mauldin, SC"
9,0.6119778182302282,0.6736126743184162,0.3263873256815838,0.7942513860276782,0.212,0.07528622891179512,53,"Greenville-Anderson-Mauldin, SC"
10,0.6119778182302282,0.6736126743184162,0.3263873256815838,0.7942513860276782,0.212,0.07528622891179512,53,"Greenville-Anderson-Mauldin, SC"
11,0.630801190627402,0.6613821906127705,0.33861780938722946,0.7854491751440027,0.182,0.08060420159075507,58.888888888888886,"Greenville-Anderson-Mauldin, SC"
12,0.6373707998160498,0.6568912278198266,0.3431087721801734,0.7823449325435765,0.189,0.0758390698006206,58.888888888888886,"Greenville-Anderson-Mauldin, SC"
