month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.48569019278485265,0.7495677733340746,0.2504322266659254,0.8281791958605781,0.485,0.040622254790098275,51.21739130434783,"Indianapolis-Carmel-Anderson, IN"
2,0.5101317716249392,0.7343706330428038,0.2656293669571962,0.8132283638636656,0.486,0.03714516922393412,56.095238095238095,"Indianapolis-Carmel-Anderson, IN"
3,0.5108627848348064,0.7361049253943124,0.2638950746056876,0.8169160333984755,0.48,0.0288920495115059,51.21739130434783,"Indianapolis-Carmel-Anderson, IN"
4,0.5357628156687747,0.7205535699784631,0.27944643002153696,0.8112394768820554,0.48,0.018086470595871925,36.8125,"Indianapolis-Carmel-Anderson, IN"
5,0.53102676752054645,0.7205737179158128,0.2794262820841871,0.8047491976367132,0.478,0.024830040403719854,42.07142857142857,"Indianapolis-Carmel-Anderson, IN"
6,0.5205371961894505,0.7278686428768455,0.2721313571231545,0.8095184693026468,0.487,0.0297445521332039,56.095238095238095,"Indianapolis-Carmel-Anderson, IN"
7,0.4961445638286532,0.7440080670736708,0.25599193292632916,0.8264646102541298,0.488,0.030366980020281195,53.54545454545455,"Indianapolis-Carmel-Anderson, IN"
8,0.5283501725186288,0.7236872337448255,0.27631276625517454,0.809805070841201,0.482,0.030889877144419136,49.083333333333336,"Indianapolis-Carmel-Anderson, IN"
9,0.5094203290738453,0.7364676225844294,0.26353237741557056,0.8223364717444117,0.473,0.030908629317146843,47.12,"Indianapolis-Carmel-Anderson, IN"
10,0.5094203290738453,0.7364676225844294,0.26353237741557056,0.8223364717444117,0.473,0.030908629317146843,47.12,"Indianapolis-Carmel-Anderson, IN"
11,0.5264434339920896,0.7239829380130203,0.2760170619869798,0.8108118245531319,0.477,0.031634915391639123,42.07142857142857,"Indianapolis-Carmel-Anderson, IN"
12,0.5319405283137821,0.7268680974239815,0.27313190257601855,0.8135207860233254,0.486,0.027440919837346537,45.30769230769231,"Indianapolis-Carmel-Anderson, IN"
