month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7532504305053572,0.5368758671310313,0.46312413286896864,0.621608832549501,0.311,0.08042535222081462,38.083333333333336,"Jackson, MS"
2,0.7512184294635241,0.5391034795977052,0.46089652040229473,0.6238012547851686,0.317,0.07789646435563745,38.083333333333336,"Jackson, MS"
3,0.7563009062496739,0.5349482631458349,0.4650517368541652,0.6204725345834591,0.315,0.06833755614418979,35.15384615384615,"Jackson, MS"
4,0.7436876674683207,0.5465296517380863,0.45347034826191374,0.6431116615492666,0.409,0.04884544512265346,32.642857142857146,"Jackson, MS"
5,0.7553448936111626,0.5385723821802144,0.46142761781978553,0.6263332979774627,0.315,0.06520403854274635,35.15384615384615,"Jackson, MS"
6,0.7479049817127873,0.5438517861884632,0.4561482138115368,0.6296513671742342,0.316,0.07075607508925486,41.54545454545455,"Jackson, MS"
7,0.7672776406028072,0.5313105702474176,0.46868942975258243,0.6277159176301128,0.378,0.06916292372068025,38.083333333333336,"Jackson, MS"
8,0.7203067997622943,0.5611641706135982,0.43883582938640175,0.6475409436922248,0.315,0.07161503320664901,38.083333333333336,"Jackson, MS"
9,0.7688465529678793,0.5286857127049123,0.47131428729508773,0.6234660020123781,0.312,0.0706313102230412,41.54545454545455,"Jackson, MS"
10,0.7688465529678793,0.5286857127049123,0.47131428729508773,0.6234660020123781,0.312,0.0706313102230412,41.54545454545455,"Jackson, MS"
11,0.6683489272100901,0.5956269784953434,0.4043730215046566,0.6787773666287724,0.347,0.07467177242888402,35.15384615384615,"Jackson, MS"
12,0.7126038856396512,0.5648140772661615,0.43518592273383855,0.6542103778636131,0.324,0.06933087642519867,38.083333333333336,"Jackson, MS"
