month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.689094508631987,0.6383069039079441,0.36169309609205585,0.7557465422012858,0.318,0.10036669890393295,47,"Jacksonville, FL"
2,0.6789555709919276,0.6451008787994803,0.3548991212005197,0.7655702851062663,0.318,0.0899298839458414,47,"Jacksonville, FL"
3,0.6723195821826504,0.6475364320619079,0.352463567938092,0.764344810870269,0.322,0.07625725338491296,44.0625,"Jacksonville, FL"
4,0.7104376490196723,0.625632378714584,0.374367621285416,0.7520108403006869,0.35,0.049413684719535785,41.470588235294116,"Jacksonville, FL"
5,0.7023207734820314,0.6258930005749301,0.37410699942506986,0.7468213407973349,0.322,0.06753707285622179,44.0625,"Jacksonville, FL"
6,0.7034661902546299,0.6231039409050525,0.3768960590949475,0.7392068320873184,0.279,0.07352917472598323,44.0625,"Jacksonville, FL"
7,0.6951441123283022,0.6316414068227233,0.3683585931772767,0.7499448779221675,0.321,0.06940683430045132,44.0625,"Jacksonville, FL"
8,0.7126396902804596,0.6176225939570781,0.3823774060429219,0.7341439674401518,0.273,0.0723384107027724,44.0625,"Jacksonville, FL"
9,0.7117638287134264,0.6179613647177049,0.38203863528229515,0.7336445541697341,0.273,0.07040014506769826,50.357142857142854,"Jacksonville, FL"
10,0.7111538683662693,0.6177718763982422,0.38222812360175784,0.7285495314805642,0.273,0.07040014506769826,50.357142857142854,"Jacksonville, FL"
11,0.689605852780096,0.637086384059375,0.36291361594062493,0.7559634423154248,0.29,0.07515917150225661,47,"Jacksonville, FL"
12,0.7046429132311886,0.6232078232838832,0.3767921767161168,0.7410033734822284,0.278,0.06879432624113475,44.0625,"Jacksonville, FL"
