month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.1447186040832764,0.9489969269436153,0.05100307305638474,0.9739015578622291,0.262,0.038542554198617816,19.384615384615383,"Portland-South Portland, ME"
2,0.14359601007400416,0.9495156432080059,0.05048435679199417,0.9741733613328445,0.264,0.03451907602007005,18.666666666666668,"Portland-South Portland, ME"
3,0.1413221422239776,0.9502266307089745,0.04977336929102546,0.9745153932638754,0.298,0.027722553567483984,15.272727272727273,"Portland-South Portland, ME"
4,0.1646728260965294,0.9398445713872458,0.06015542861275422,0.9690491818524058,0.287,0.01697750007889173,12.6,"Portland-South Portland, ME"
5,0.16166945075565894,0.941249146358827,0.058750853641173086,0.969776082210305,0.311,0.023123165767300956,15.272727272727273,"Portland-South Portland, ME"
6,0.15947513203293087,0.9421102601786431,0.05788973982135691,0.9701744847637028,0.307,0.02806573258859541,15.75,"Portland-South Portland, ME"
7,0.14863564410511657,0.9472716002585622,0.05272839974143787,0.97298022465236,0.298,0.03008930543721796,16.258064516129032,"Portland-South Portland, ME"
8,0.14916163744059147,0.9469551240486866,0.0530448759513134,0.9728408829994262,0.258,0.03127662595853451,16.258064516129032,"Portland-South Portland, ME"
9,0.15989514099336,0.9419345885212383,0.05806541147876166,0.9701215992899926,0.306,0.029406891981444663,17.379310344827587,"Portland-South Portland, ME"
10,0.1597618379832702,0.9419864196478527,0.05801358035214728,0.9701482502722222,0.306,0.029406891981444663,17.379310344827587,"Portland-South Portland, ME"
11,0.15028199323425695,0.9459724902657686,0.05402750973423139,0.9722526752949332,0.297,0.029130770929975704,15.272727272727273,"Portland-South Portland, ME"
12,0.14542265428240217,0.9481337043016224,0.05186629569837766,0.9734202975258017,0.256,0.025430748840291582,15.272727272727273,"Portland-South Portland, ME"
