month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.43626963243100814,0.7959820495814376,0.20401795041856244,0.8699031779021432,0.462,0.024424808039591402,41.55172413793103,"Providence-Warwick, RI-MA"
2,0.43950871882305015,0.7917394561448743,0.20826054385512574,0.86701014959398,0.471,0.021921396175955666,38.87096774193548,"Providence-Warwick, RI-MA"
3,0.5520372265267794,0.7250163856073304,0.27498361439266955,0.8144473182104413,0.466,0.016421747701299956,31.710526315789473,"Providence-Warwick, RI-MA"
4,0.5112785256121255,0.7508357855863581,0.24916421441364187,0.8329623174047849,0.475,0.0095690712838257,22.735849056603772,"Providence-Warwick, RI-MA"
5,0.5293952952381819,0.7409061401757108,0.25909385982428923,0.8301529398662454,0.453,0.012995409492562827,28.023255813953487,"Providence-Warwick, RI-MA"
6,0.5527734051411222,0.7287382660304211,0.27126173396957887,0.8263042659008053,0.459,0.015717318481961926,29.390243902439025,"Providence-Warwick, RI-MA"
7,0.5018206020127345,0.7579099400281456,0.2420900599718544,0.8460413526485524,0.453,0.01650032395472905,35.44117647058823,"Providence-Warwick, RI-MA"
8,0.5460901956208236,0.7314401904415772,0.2685598095584229,0.825219745272342,0.45,0.016735363449635377,34.42857142857143,"Providence-Warwick, RI-MA"
9,0.4747631311362275,0.7714551116515818,0.22854488834841824,0.8464814161188433,0.433,0.0165892391888725,35.44117647058823,"Providence-Warwick, RI-MA"
10,0.4747631311362275,0.7714551116515818,0.22854488834841824,0.8464814161188433,0.433,0.0165892391888725,35.44117647058823,"Providence-Warwick, RI-MA"
11,0.4691078814132301,0.7739005649829663,0.22609943501703364,0.8528195294012939,0.456,0.016360403082394784,31.710526315789473,"Providence-Warwick, RI-MA"
12,0.5085804439268701,0.7530243573437375,0.24697564265626248,0.8353120710252148,0.453,0.014703409106574214,29.390243902439025,"Providence-Warwick, RI-MA"
