month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7673877500675595,0.5388301798275819,0.46116982017241814,0.6538543497744359,0.228,0.05128795901813841,39.18181818181818,"Richmond, VA"
2,0.7443575206191769,0.5556214391811394,0.4443785608188607,0.6703024181973923,0.226,0.046041267505813936,35.916666666666664,"Richmond, VA"
3,0.7652891147690436,0.5463084518828258,0.4536915481171741,0.6648141915819307,0.276,0.03659075536728188,33.15384615384615,"Richmond, VA"
4,0.7670258941949023,0.5439211244652102,0.4560788755347898,0.6583974788919451,0.318,0.02330964642095874,23.944444444444443,"Richmond, VA"
5,0.7576556033412662,0.5493745653311288,0.4506254346688712,0.660721793900656,0.297,0.029424049626641444,28.733333333333334,"Richmond, VA"
6,0.7766338431753832,0.5336400484851711,0.46635995151482895,0.6476793024267545,0.25,0.0333179732195068,33.15384615384615,"Richmond, VA"
7,0.7397134091098078,0.5613057355310269,0.4386942644689731,0.67707984429869,0.214,0.03333818389559434,33.15384615384615,"Richmond, VA"
8,0.7839089123998123,0.5324646248729945,0.46753537512700544,0.6503269830815757,0.211,0.033902735447639526,34.48,"Richmond, VA"
9,0.7797895161953727,0.538114779693726,0.461885220306274,0.6524489411901913,0.248,0.03324521478559168,33.15384615384615,"Richmond, VA"
10,0.7797895161953727,0.538114779693726,0.461885220306274,0.6524489411901913,0.248,0.03324521478559168,33.15384615384615,"Richmond, VA"
11,0.79523405918394785,0.5260294533424338,0.47397054665756616,0.6427105989500522,0.235,0.03520565036608271,33.15384615384615,"Richmond, VA"
12,0.774191420829685,0.5393554535844354,0.4606445464155647,0.6508318527772606,0.281,0.03192074181265511,27.806451612903224,"Richmond, VA"
