month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8436786265406496,0.5353041104802999,0.46469588951970014,0.655342455920139,0.346,0.031076449203280905,52.666666666666664,"Sacramento--Roseville--Arden-Arcade, CA"
2,0.8054068697807899,0.5561596136880879,0.4438403863119122,0.6699229461094052,0.34,0.029289905981307117,49.03448275862069,"Sacramento--Roseville--Arden-Arcade, CA"
3,0.8204225136780664,0.5491743779061026,0.4508256220938974,0.6639627727177985,0.346,0.022061086911121207,41.8235294117647,"Sacramento--Roseville--Arden-Arcade, CA"
4,0.7880807469273975,0.574811571756346,0.425188428243654,0.6880687662186318,0.357,0.013088284928404652,26.830188679245282,"Sacramento--Roseville--Arden-Arcade, CA"
5,0.8406409083027876,0.5421650748636896,0.4578349251363104,0.6624168666438016,0.345,0.01656090924657365,31.6,"Sacramento--Roseville--Arden-Arcade, CA"
6,0.8128279784462437,0.5523254365477029,0.447674563452297,0.6631149679540127,0.346,0.01985289969326884,41.8235294117647,"Sacramento--Roseville--Arden-Arcade, CA"
7,0.8701954229869269,0.5197772565238561,0.48022274347614385,0.639373468797849,0.344,0.01946886713364234,40.628571428571426,"Sacramento--Roseville--Arden-Arcade, CA"
8,0.8501658802473714,0.5306488885224192,0.4693511114775808,0.6471556969506609,0.336,0.019102155630184563,43.09090909090909,"Sacramento--Roseville--Arden-Arcade, CA"
9,0.8688322893193453,0.5215853712091528,0.4784146287908471,0.6474915648332917,0.341,0.019330298684292573,45.87096774193548,"Sacramento--Roseville--Arden-Arcade, CA"
10,0.869214671809698,0.5213244776900132,0.4786755223099868,0.6473491146908417,0.341,0.019330298684292573,44.4375,"Sacramento--Roseville--Arden-Arcade, CA"
11,0.8170978239820961,0.5542502345174424,0.4457497654825576,0.6771774769224758,0.337,0.020754584388680542,39.5,"Sacramento--Roseville--Arden-Arcade, CA"
12,0.8291374857144529,0.5479594371878841,0.45204056281211585,0.665361860130227,0.34,0.018807697675316308,37.421052631578945,"Sacramento--Roseville--Arden-Arcade, CA"
