month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7415220140223735,0.5585286255824345,0.44147137441756545,0.6548389105920147,0.363,0.04795363141708067,56.4,"San Antonio-New Braunfels, TX"
2,0.7468877704680827,0.5562841115287087,0.44371588847129123,0.6549078196921697,0.377,0.04229698644479008,54.23076923076923,"San Antonio-New Braunfels, TX"
3,0.7608781773726864,0.5494644213093168,0.45053557869068317,0.6515290600727337,0.4,0.03320598583573683,45.483870967741936,"San Antonio-New Braunfels, TX"
4,0.7545890054144163,0.5555424402898883,0.44445755971011164,0.6589520312211383,0.402,0.019754969320830124,37.10526315789474,"San Antonio-New Braunfels, TX"
5,0.7841255160677841,0.5367716273662335,0.4632283726337665,0.632792480173447,0.393,0.027331390403132847,42.72727272727273,"San Antonio-New Braunfels, TX"
6,0.7769398483846165,0.5400332638540217,0.45996673614597827,0.6363396141941081,0.405,0.029797301038410624,47,"San Antonio-New Braunfels, TX"
7,0.7916656472269668,0.5326059048887402,0.4673940951112598,0.6307986628002102,0.401,0.027582058599982886,44.0625,"San Antonio-New Braunfels, TX"
8,0.7714292012340545,0.5434285065828559,0.45657149341714415,0.6428359210288606,0.385,0.02928237420030302,47,"San Antonio-New Braunfels, TX"
9,0.76141316296707,0.5485096104477784,0.45149038955222165,0.6465884165903598,0.395,0.029086571130875982,44.0625,"San Antonio-New Braunfels, TX"
10,0.7605022045116878,0.5490091192013701,0.4509908807986299,0.6469017657444458,0.395,0.029086571130875982,44.0625,"San Antonio-New Braunfels, TX"
11,0.7820323540177896,0.535813053970648,0.46418694602935195,0.6286448396589044,0.396,0.031707513502358196,45.483870967741936,"San Antonio-New Braunfels, TX"
12,0.7659268837692693,0.544809426718046,0.45519057328195406,0.6396165476258607,0.385,0.028553020350432126,45.483870967741936,"San Antonio-New Braunfels, TX"
