month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.3432477221291912,0.8355977829978002,0.16440221700219979,0.8943384868856777,0.199,0.04563479373201151,40.84615384615385,"Scranton--Wilkes-Barre--Hazleton, PA"
2,0.3178098029772821,0.8503812158753796,0.14961878412462043,0.9049332579721694,0.245,0.04213481149841879,35.4,"Scranton--Wilkes-Barre--Hazleton, PA"
3,0.34074842106933195,0.8384485915463274,0.16155140845367252,0.897473688470673,0.26,0.03343993177699606,37.92857142857143,"Scranton--Wilkes-Barre--Hazleton, PA"
4,0.33514612834766555,0.8437555239030601,0.15624447609693987,0.9032340454586228,0.268,0.019997868031126746,29.5,"Scranton--Wilkes-Barre--Hazleton, PA"
5,0.28827368443596024,0.865881534725893,0.13411846527410703,0.9151203146142163,0.259,0.025956721031872937,31.235294117647058,"Scranton--Wilkes-Barre--Hazleton, PA"
6,0.347571806929376,0.8361325898633799,0.16386741013662012,0.8978284084471736,0.236,0.03288206658849448,35.4,"Scranton--Wilkes-Barre--Hazleton, PA"
7,0.3749090778418272,0.8178752398918455,0.18212476010815445,0.8826544853129092,0.198,0.03450236293216786,44.25,"Scranton--Wilkes-Barre--Hazleton, PA"
8,0.3592956810581744,0.8265974931927569,0.17340250680724317,0.887810100336605,0.199,0.035056674839214014,44.25,"Scranton--Wilkes-Barre--Hazleton, PA"
9,0.3362206941946619,0.8405915922156695,0.1594084077843305,0.8983787828628683,0.234,0.03446327683615819,40.84615384615385,"Scranton--Wilkes-Barre--Hazleton, PA"
10,0.3235858088119967,0.8477958241628719,0.1522041758371281,0.9034906186356467,0.234,0.03446327683615819,37.92857142857143,"Scranton--Wilkes-Barre--Hazleton, PA"
11,0.32507839224091833,0.8453647976594061,0.15463520234059386,0.9010222264028344,0.229,0.03573535159720001,40.84615384615385,"Scranton--Wilkes-Barre--Hazleton, PA"
12,0.30849813668682396,0.8539683324328426,0.14603166756715735,0.9068345701925832,0.199,0.031336389155384996,37.92857142857143,"Scranton--Wilkes-Barre--Hazleton, PA"
