month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.760358722717807,0.5897877860428996,0.41021221395710034,0.7179036031772853,0.299,0.02976338031494204,77.57692307692308,"Tampa-St. Petersburg-Clearwater, FL"
2,0.7973377530804389,0.5681035564118719,0.4318964435881281,0.7014312139428721,0.299,0.026340343193962428,69.55172413793103,"Tampa-St. Petersburg-Clearwater, FL"
3,0.7895632154054978,0.5727902956408452,0.4272097043591549,0.7009406858681929,0.3,0.02078636156164664,69.55172413793103,"Tampa-St. Petersburg-Clearwater, FL"
4,0.7798586592244028,0.5801903905414284,0.41980960945857154,0.7041752568335699,0.366,0.011471195237308277,48.023809523809526,"Tampa-St. Petersburg-Clearwater, FL"
5,0.7162250486739162,0.6184131861540575,0.38158681384594245,0.7448272037297337,0.323,0.01690811632866665,57.628571428571426,"Tampa-St. Petersburg-Clearwater, FL"
6,0.7721060649935483,0.5810484719279296,0.41895152807207037,0.7132374448813021,0.299,0.018412934501184378,67.23333333333333,"Tampa-St. Petersburg-Clearwater, FL"
7,0.7509371612052186,0.5963449003099097,0.4036550996900903,0.7188827785233893,0.299,0.0175755581525289,69.55172413793103,"Tampa-St. Petersburg-Clearwater, FL"
8,0.7580454775685488,0.5936342895936224,0.40636571040637753,0.7197871976399008,0.3,0.01843900260484296,65.06451612903226,"Tampa-St. Petersburg-Clearwater, FL"
9,0.775559168135186,0.5797194256227843,0.4202805743772157,0.7068718505768811,0.3,0.01825578810271423,65.06451612903226,"Tampa-St. Petersburg-Clearwater, FL"
10,0.7440276057397051,0.6012744540781589,0.3987255459218411,0.7236987637422917,0.319,0.01825578810271423,59.3235294117647,"Tampa-St. Petersburg-Clearwater, FL"
11,0.7515106978390339,0.5932261992027564,0.40677380079724357,0.7202345475502391,0.299,0.019575916220065947,72.03571428571429,"Tampa-St. Petersburg-Clearwater, FL"
12,0.7144307634489477,0.6183573646533904,0.3816426353466096,0.7389389038705111,0.299,0.01773122899796177,74.70370370370371,"Tampa-St. Petersburg-Clearwater, FL"
