month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.4124492103698862,0.8043917904688329,0.19560820953116714,0.885842639025216,0.42,0.03891417177094663,36,"Worcester, MA-CT"
2,0.41087416902724627,0.8061830636098697,0.19381693639013034,0.8869672308484964,0.424,0.034721029633445914,34.10526315789474,"Worcester, MA-CT"
3,0.4087401095035648,0.8074343759693406,0.19256562403065933,0.8872687773296574,0.445,0.027379453126490736,34.10526315789474,"Worcester, MA-CT"
4,0.4434973706721634,0.78943329776528,0.21056670223471996,0.8763736048419727,0.402,0.015942526761692142,23.142857142857142,"Worcester, MA-CT"
5,0.5194089735721829,0.7443444711419679,0.2556555288580321,0.8402871103679086,0.41,0.020359875589138855,24.923076923076923,"Worcester, MA-CT"
6,0.4789549867080992,0.7696816523160308,0.23031834768396917,0.8619389136431655,0.414,0.024405136718377317,28.17391304347826,"Worcester, MA-CT"
7,0.46801080057046796,0.7733880767761058,0.22661192322389428,0.862593634513263,0.4,0.025261415459766824,32.4,"Worcester, MA-CT"
8,0.43062099883763455,0.7959268304298118,0.20407316957018815,0.8796956578681028,0.403,0.025852939492815846,32.4,"Worcester, MA-CT"
9,0.4220135728675941,0.7992419434990942,0.20075805650090586,0.8829210248087515,0.408,0.026186864350182228,36,"Worcester, MA-CT"
10,0.4220135728675941,0.7992419434990942,0.20075805650090586,0.8829210248087515,0.408,0.026186864350182228,36,"Worcester, MA-CT"
11,0.426122901383893,0.7975092887697813,0.2024907112302187,0.8808009845570685,0.445,0.026100997958288012,34.10526315789474,"Worcester, MA-CT"
12,0.44410558593267,0.788030277509691,0.211969722490309,0.8742348922183134,0.425,0.02378499055469689,28.17391304347826,"Worcester, MA-CT"
