GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
420950176034,0.021326196060266086,16,1,15,1.0882036716092175e-4,1.566808723990975e-5,3,2.609450086899874e-4,3,1,"Allentown-Bethlehem-Easton, PA-NJ"
420770060011,0.025734061932191247,27,0,27,0,1.5242972989451864e-5,3,2.595155709354973e-4,1,1,"Allentown-Bethlehem-Easton, PA-NJ"
420950177041,0.2463386242531795,158,72,86,0.015323147059228074,1.5954306865138246e-5,3,0.0028355702517927537,2,1,"Allentown-Bethlehem-Easton, PA-NJ"
420770059013,0.014203717180534757,17,3,14,5.71683034854612e-5,1.529285823520416e-5,3,2.810656723167519e-4,4,1,"Allentown-Bethlehem-Easton, PA-NJ"
340410319003,0.0061530406890286295,49,32,17,0.002544003832998634,1.5043023045911308e-5,4,0.0014775224453850296,5,1,"Allentown-Bethlehem-Easton, PA-NJ"
420950171023,0.2920335279703789,79,4,75,3.4827532254958594e-4,1.6056003339648694e-5,3,2.732680700251019e-4,3,1,"Allentown-Bethlehem-Easton, PA-NJ"
420770060021,0.14505830024694932,101,53,48,0.009419750793956457,1.5854141894569958e-5,3,0.0014983378764602704,1,1,"Allentown-Bethlehem-Easton, PA-NJ"
420770070001,0.045465733907631936,42,0,42,0,1.588587586776597e-5,4,2.6537448820761347e-4,8,1,"Allentown-Bethlehem-Easton, PA-NJ"
420950146002,0.0690616700591197,57,9,48,3.9375922716477314e-4,1.5774114677813708e-5,3,3.6497722582148873e-4,3,1,"Allentown-Bethlehem-Easton, PA-NJ"
340410312001,0.004446461389137535,44,21,23,0.008961031276076767,1.504505995456392e-5,4,7.539459221929136e-4,11,1,"Allentown-Bethlehem-Easton, PA-NJ"
420950180021,0.04294361960257459,48,2,46,3.2415431028949223e-4,1.5517107611141285e-5,3,2.802285653794555e-4,8,1,"Allentown-Bethlehem-Easton, PA-NJ"
420950160011,0.06714982766589028,60,1,59,3.773609506386803e-4,1.6190136968558754e-5,3,2.651796278666922e-4,10,1,"Allentown-Bethlehem-Easton, PA-NJ"
420770022011,0.027506744891514227,32,0,32,0,1.5733908145444248e-5,3,2.6629567983450965e-4,1,1,"Allentown-Bethlehem-Easton, PA-NJ"
420770052004,0.043926967723609434,52,12,40,9.482487872869155e-4,1.5595271513677053e-5,3,3.592929999959846e-4,10,1,"Allentown-Bethlehem-Easton, PA-NJ"
420770019002,0.138741219237983,203,148,55,0.006219928135096387,1.561524047470331e-5,3,0.009725784699556012,1,1,"Allentown-Bethlehem-Easton, PA-NJ"
420950112001,0.04902747539910107,62,17,45,0.005969775017651967,1.568110896802622e-5,3,0.0010680544670285204,2,1,"Allentown-Bethlehem-Easton, PA-NJ"
420770005002,0.02354071833471984,65,36,29,0.0028988341677899745,1.5084093823063581e-5,3,9.908823560202172e-4,1,1,"Allentown-Bethlehem-Easton, PA-NJ"
420770095002,0.03436896779657823,58,23,35,0.0014200807176327106,1.54619250096637e-5,3,9.151761995691926e-4,2,1,"Allentown-Bethlehem-Easton, PA-NJ"
420770063033,0.07565178719706958,41,11,30,0.0011335120595031775,1.5466707911221095e-5,3,4.0823512127201187e-4,1,1,"Allentown-Bethlehem-Easton, PA-NJ"
420770091001,0.08580270508360738,180,142,38,0.00774603072137012,1.5670788083932742e-5,3,0.00590035797716042,2,1,"Allentown-Bethlehem-Easton, PA-NJ"
420770061012,0.046103547256356736,53,25,28,5.961550805571602e-4,1.530245298321321e-5,3,4.2331302367799986e-4,1,1,"Allentown-Bethlehem-Easton, PA-NJ"
420770053023,0.04974292532066508,26,0,26,0,1.532778467528088e-5,4,2.595155709354973e-4,1,1,"Allentown-Bethlehem-Easton, PA-NJ"
420950176043,0.0844379467880504,48,1,47,1.2035432312728673e-5,1.5953797801566663e-5,3,2.6197117685938256e-4,3,1,"Allentown-Bethlehem-Easton, PA-NJ"
420950154003,0.0457088956893045,34,1,33,2.3569388279093652e-5,1.5752496770738163e-5,3,2.6624676233064277e-4,3,1,"Allentown-Bethlehem-Easton, PA-NJ"
