GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060290031032,0.014074396900311401,48,2,46,8.858982427264366e-4,2.3811791599199923e-5,4,3.67476995531556e-4,1,1,"Bakersfield, CA"
060290003003,0.013283972615220269,36,10,26,1.0448435558567717e-4,2.291265695170012e-5,4,5.455042104588114e-4,1,1,"Bakersfield, CA"
060290005032,0.07165532359870795,72,16,56,0.0026319664881653544,2.3819164900078605e-5,3,4.002792467599038e-4,1,1,"Bakersfield, CA"
060290028085,0.04454818670203134,56,4,52,0.00103185360894612,2.3389624362632738e-5,4,3.926695493131477e-4,1,1,"Bakersfield, CA"
060290009043,0.016315045536808546,37,3,34,5.809168804763519e-5,2.3117645698962017e-5,4,5.055514103322333e-4,1,1,"Bakersfield, CA"
060290031233,0.03458728544182825,38,0,38,0,2.3507839864594843e-5,3,3.347622699984702e-4,1,1,"Bakersfield, CA"
060290031235,0.03202598375664747,38,0,38,0,2.327909304653491e-5,4,3.308238903514294e-4,1,1,"Bakersfield, CA"
060290031142,0.08516064602231284,170,113,57,0.007290011226449239,2.3522770041400073e-5,3,0.0025585475502337093,1,1,"Bakersfield, CA"
060290028162,0.010538234691867548,33,2,31,2.420487001984799e-6,2.300807583461795e-5,4,3.5040953237835064e-4,1,1,"Bakersfield, CA"
060290018012,0.05462799323593584,95,18,77,0.0019909312420325637,2.3901144864839024e-5,3,6.618555548006849e-4,1,1,"Bakersfield, CA"
060290009022,0.04074563762939815,102,47,55,0.011628002268342107,2.3759741494012543e-5,3,9.7997011797807e-4,1,1,"Bakersfield, CA"
060290010003,0.009106415145359145,47,14,33,0.001635551882562581,2.3781212841854935e-5,3,4.2265546332663983e-4,1,1,"Bakersfield, CA"
060290031236,0.24909517834764386,272,214,58,0.010109801742904323,2.3435119870638137e-5,3,0.011463891295747352,1,1,"Bakersfield, CA"
060290064012,0.0017322624235760337,29,14,15,6.090752125994417e-4,2.3017078672374903e-5,4,9.996924173096234e-4,9,1,"Bakersfield, CA"
060290023022,0.0062545788007606785,62,33,29,0.003934009840240174,2.3092554960280806e-5,3,8.595275190416702e-4,1,1,"Bakersfield, CA"
060290005033,0.12262868035792557,80,8,72,0.0014159042132610412,2.385666913185581e-5,3,3.8137637984209214e-4,1,1,"Bakersfield, CA"
060290058021,9.561536574783854e-6,19,12,7,0.001895644737054429,1.80485867956539e-5,4,0.0014223300052388364,4,1,"Bakersfield, CA"
060290055012,1.3157923153448774e-5,16,0,16,0,2.1400445129258687e-5,4,3.308238903514294e-4,2,1,"Bakersfield, CA"
060290028083,0.08699988270677621,64,8,56,0.003401752432589437,2.3638985414746e-5,3,4.0657993316568964e-4,1,1,"Bakersfield, CA"
060290005061,0.32526086089779493,281,225,56,0.013316224716476453,2.3893720730192104e-5,3,0.016727369424185866,1,1,"Bakersfield, CA"
060290028161,0.03520954487833827,56,0,56,0,2.359659265202105e-5,4,3.3551785680901097e-4,1,1,"Bakersfield, CA"
060290011012,0.017030352561731067,63,13,50,8.81057268722467e-4,2.3398380832046425e-5,3,4.601061483980141e-4,1,1,"Bakersfield, CA"
060290033053,0.004175476489027564,15,4,11,0.00061601394200513145,2.2097494144164052e-5,3,4.98184495573022e-4,13,1,"Bakersfield, CA"
060290060031,0.010305944323271208,25,0,25,0,2.2985335356042843e-5,3,3.308238903514294e-4,3,1,"Bakersfield, CA"
060290009104,0.040973093105222104,82,20,62,0.001765065226361639,2.377612401626287e-5,4,4.854868928956432e-4,1,1,"Bakersfield, CA"
060290017004,0.07954979519827397,218,203,15,0.003648776578291996,2.244467387888854e-5,3,0.008366850531908901,1,1,"Bakersfield, CA"
060290043011,0.009897181481402206,27,2,25,8.794436107211437e-5,2.292736610418195e-5,4,3.475989914793713e-4,8,1,"Bakersfield, CA"
060290019024,0.0179686107018873,50,10,40,8.574171790030821e-4,2.3124595319581904e-5,4,5.436756555209605e-4,1,1,"Bakersfield, CA"
060290011011,0.019907559826617537,73,18,55,0.001814644868452295,2.3156188491374317e-5,3,5.69537469843083e-4,1,1,"Bakersfield, CA"
060290037001,0.01129797232660854,22,5,17,0.0010649335979732455,2.2334889330623368e-5,4,4.758096929239756e-4,1,1,"Bakersfield, CA"
060290063011,0.011919554091585283,50,32,18,0.001263386637835977,2.2721076070162683e-5,3,0.002435986302963222,12,1,"Bakersfield, CA"
060290047013,0.0016055064592384565,10,3,7,9.681948007939197e-6,2.1972227104939356e-5,4,4.142635779261838e-4,5,1,"Bakersfield, CA"
060290009041,0.09922132729054703,305,258,47,0.031113014843348368,2.4065651096190408e-5,3,0.020306616267941294,1,1,"Bakersfield, CA"
