GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
220330030003,0.017853832228400295,133,86,47,0.00529459528422184,2.063642742168476e-5,3,0.0019990115020888303,1,1,"Baton Rouge, LA"
220330033002,0.006443323200208063,75,44,31,9.578137131600265e-4,2.0337190620487685e-5,3,0.001369912705929858,1,1,"Baton Rouge, LA"
220330045042,0.04249327702562725,108,37,71,0.0028839649690272106,2.09494280806134e-5,3,8.585866556789645e-4,1,1,"Baton Rouge, LA"
220330038011,0.02576354335286053,41,0,41,0,1.9907232297493677e-5,3,3.130105220201445e-4,1,1,"Baton Rouge, LA"
220630405002,0.32003314355603535,206,37,169,0.001718196012801822,2.1561482567541346e-5,3,7.008959003206596e-4,3,1,"Baton Rouge, LA"
220779521001,0.02805991381240899,61,8,53,0.0014562359998044646,2.0799101478816116e-5,3,3.6701669087534983e-4,7,1,"Baton Rouge, LA"
220779521002,0.03341442659435374,66,8,58,0.0016976360337356189,2.0613881387726496e-5,3,3.474095841520404e-4,7,1,"Baton Rouge, LA"
220050306003,0.04845990776850092,61,34,27,0.0010791113488208923,2.0085564504790408e-5,3,5.609692388315442e-4,2,1,"Baton Rouge, LA"
220050304012,0.2347488087935653,96,75,21,0.0028905838034468732,2.03554053778981e-5,3,0.004460981216126439,2,1,"Baton Rouge, LA"
220330047001,0.01817490874987228,62,0,62,0,2.146705879827405e-5,3,3.162891288435225e-4,6,1,"Baton Rouge, LA"
220330035012,0.015722956078171414,116,74,42,0.003864042908090148,2.072667730636102e-5,3,0.001183536704309095,1,1,"Baton Rouge, LA"
220330040061,0.47624166841869287,449,375,74,0.009041319043712914,2.0477536142851294e-5,2,0.03018044619419115,1,1,"Baton Rouge, LA"
220330026022,0.05934071268801943,68,1,67,3.522513895957879e-5,2.0432348494135913e-5,3,3.1650212433374813e-4,1,1,"Baton Rouge, LA"
220779519001,0.02199402978295164,50,6,44,0.005200740159246383,2.0507351885651004e-5,3,3.714765410222039e-4,7,1,"Baton Rouge, LA"
220330031012,0.004530058514479129,17,0,17,0,2.0011606731904507e-5,3,3.130105220201445e-4,1,1,"Baton Rouge, LA"
220330007011,0.011363946597658565,125,81,44,0.0040920879613825685,2.0316118808662795e-5,3,0.002259096834666273,1,1,"Baton Rouge, LA"
221259518001,0.015067365129866008,23,0,23,0,1.9792965580032854e-5,3,3.130105220201445e-4,4,1,"Baton Rouge, LA"
220330011042,0.011473506273067044,82,44,38,0.003474918879483197,2.0376558806748713e-5,3,0.001035590036308544,1,1,"Baton Rouge, LA"
220050302062,0.22054641744958312,103,33,70,1.4780180755284488e-4,2.0726247720112748e-5,3,6.095529496217328e-4,2,1,"Baton Rouge, LA"
