GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
090010806002,0.0028247929613499597,28,5,23,3.1316841884397004e-5,8.457517887650333e-6,3,3.063604151565366e-4,9,1,"Bridgeport-Stamford-Norwalk, CT"
090010801003,0.0034119915186176224,78,59,19,0.001685561906909345,8.323276041449914e-6,3,0.0018188092085961495,5,1,"Bridgeport-Stamford-Norwalk, CT"
090010501001,0.006379616705732264,34,2,32,5.950199958035432e-5,8.326671995736744e-6,3,2.4706890746725024e-4,8,1,"Bridgeport-Stamford-Norwalk, CT"
090012202001,0.15346208588500085,52,20,32,0.004193364274373114,8.35952651641811e-6,3,7.004843599615223e-4,1,1,"Bridgeport-Stamford-Norwalk, CT"
090010211001,0.012032691518709792,102,63,39,0.002972409153942707,8.31649243615013e-6,3,0.0021894689619025905,3,1,"Bridgeport-Stamford-Norwalk, CT"
090010304001,0.023292135939488322,171,149,22,0.01700850956886103,8.448300624329415e-6,3,0.008833382492387831,10,1,"Bridgeport-Stamford-Norwalk, CT"
090010110003,0.0036342603718635684,45,19,26,0.0023004960587754497,8.221858633362657e-6,3,9.258309517480357e-4,7,1,"Bridgeport-Stamford-Norwalk, CT"
090012102002,0.1879601743904769,89,71,18,2.8682312560872114e-4,8.059966148142177e-6,3,0.003513306457992726,1,1,"Bridgeport-Stamford-Norwalk, CT"
090010101021,9.233947438305322e-4,19,1,18,0.0024736390483438083,8.245110649384915e-6,3,2.3462917085955963e-4,7,1,"Bridgeport-Stamford-Norwalk, CT"
090010105002,7.92113420008725e-4,25,7,18,0.0014998809960008394,8.323553158372246e-6,3,3.340222250403543e-4,7,1,"Bridgeport-Stamford-Norwalk, CT"
090010602003,0.011642281662323116,30,1,29,2.8185157695957308e-5,8.48543475124948e-6,3,2.3219014689312335e-4,4,1,"Bridgeport-Stamford-Norwalk, CT"
