GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
360299400001,0.025247392467912737,33,24,9,0.0034177260671548818,3.823580017970826e-6,3,3.527721210244879e-4,4,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290108032,0.09905997310269785,195,164,31,0.010625241566426958,3.892186435730271e-6,3,0.004432526106073363,3,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290081015,0.016644363783455345,24,4,20,1.7180656472663832e-4,3.856997944220095e-6,3,1.8320780832462694e-4,2,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290108091,0.04030932980812213,37,0,37,0,3.912210007433199e-6,3,1.5791773898018142e-4,7,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290088002,0.015200474096453996,21,0,21,0,3.8531487931937985e-6,3,1.632926331699438e-4,9,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290080026,0.007860514371071697,9,0,9,0,3.812908219486249e-6,4,1.5791773898018142e-4,2,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290005001,0.04589392113481144,51,28,23,0.004291742600014395,3.888176056611844e-6,3,4.904587469057823e-4,4,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290024006,0.02482734232684596,13,0,13,0,3.847382048884837e-6,3,1.617764371625013e-4,3,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290156002,0.01255740604366358,8,0,8,0,3.825701059719194e-6,3,1.5791773898018142e-4,4,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290135021,0.09925831126289969,45,4,41,3.197999916406537e-4,3.903703443456808e-6,3,1.8061269162288103e-4,4,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290063023,0.0053647869877002105,8,0,8,0,3.827809803786469e-6,3,1.5791773898018142e-4,1,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290131021,0.08716540140737429,52,0,52,0,3.91874098689573e-6,3,1.5791773898018142e-4,4,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290132021,0.32380493964260826,186,143,43,0.020729933562052612,3.891504844923532e-6,3,0.005002142631651028,4,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290090072,0.07239555015291713,42,0,42,0,3.907135210321089e-6,3,1.5791773898018142e-4,5,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290146041,0.14907764446535277,71,13,58,0.002272836073742842,3.892201584904485e-6,3,2.0821746587840613e-4,5,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360630239014,0.01985570945484014,15,0,15,0,3.881565668327977e-6,4,1.5791773898018142e-4,8,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290145012,0.06593043538022104,74,31,43,0.004023362714305588,3.906524677516388e-6,3,5.942854444023054e-4,7,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
360290089001,0.018525897576052122,26,13,13,1.837222995828393e-4,3.820599910597962e-6,3,3.2711767865265e-4,5,1,"Buffalo-Cheektowaga-Niagara Falls, NY"
