GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
120710502071,0.14534078390722321,129,70,59,0.0032046714732432936,1.190206976993299e-5,4,0.003238113768209272,3,1,"Cape Coral-Fort Myers, FL"
120710019121,0.06868795596946356,152,113,39,0.0021829566682910985,1.172855433839225e-5,3,0.0028731285653786874,4,1,"Cape Coral-Fort Myers, FL"
120710018021,0.03462919572447765,55,4,51,2.814563172978743e-4,1.1895274007636766e-5,3,3.293719090953824e-4,1,1,"Cape Coral-Fort Myers, FL"
120710017032,0.16300047346224544,329,309,20,0.002047637237867044,1.1654468323155098e-5,3,0.017453616648784028,1,1,"Cape Coral-Fort Myers, FL"
120710803001,0.0207534163864833,70,32,38,0.0035994633091215706,1.1864366561469284e-5,4,5.380712947149785e-4,1,1,"Cape Coral-Fort Myers, FL"
120710105023,0.02218436797443951,35,0,35,0,1.19840851349408e-5,4,2.935972195325095e-4,2,1,"Cape Coral-Fort Myers, FL"
120710402093,0.054747443443580575,84,0,84,0,1.2187096302434982e-5,4,2.935972195325095e-4,5,1,"Cape Coral-Fort Myers, FL"
120710401181,0.6546364435614375,385,342,43,0.0061485349779734815,1.1845955198597439e-5,4,0.023299820336229883,3,1,"Cape Coral-Fort Myers, FL"
120710401121,0.2417998152699134,207,113,94,0.00996636737967604,1.2069131988027422e-5,3,0.0016342748800773788,1,1,"Cape Coral-Fort Myers, FL"
120710103052,0.05915363172884223,82,13,69,7.30427595319317e-4,1.1910575399897569e-5,4,3.6430882646523824e-4,2,1,"Cape Coral-Fort Myers, FL"
120710401111,0.059759060132885254,125,93,32,0.0019715086326928433,1.1817816540216029e-5,3,0.0020783393672530724,1,1,"Cape Coral-Fort Myers, FL"
120710502051,0.15204909681002401,173,104,69,0.0074480136611784105,1.1856348481794577e-5,4,0.004463334507154281,3,1,"Cape Coral-Fort Myers, FL"
120710205024,0.04912826673963142,131,84,47,0.00472215816354157,1.1933886270063846e-5,4,0.0020273431674889893,2,1,"Cape Coral-Fort Myers, FL"
120710401262,0.053704004485785745,106,36,70,0.0016096616928122775,1.1972893369411652e-5,4,4.072488757292042e-4,5,1,"Cape Coral-Fort Myers, FL"
120710101035,0.1389081166865168,154,79,75,0.004140731965910145,1.202573507305634e-5,3,9.869873357212337e-4,2,1,"Cape Coral-Fort Myers, FL"
