GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
290099604021,0.0036566219418569463,16,0,16,0,3.242226761339688e-5,3,4.435901227285011e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099605002,0.004110665543916131,11,3,8,2.6776464804312327e-4,3.064946210194011e-5,3,6.524592261642259e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099606001,1.643388493453219e-4,11,3,8,1.5217225899718484e-4,2.9707088111223337e-5,4,5.909190080592597e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099606002,0.0025723221670916835,20,8,12,0.001181529799425257,3.171884416531862e-5,3,6.682093504954253e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099601002,4.197377651657859e-5,8,0,8,0,3.0115039450701683e-5,4,4.435901227285011e-4,3,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099604022,0.0011747083526677648,9,0,9,0,3.0676728633658504e-5,3,4.435901227285011e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099604023,0.00494963191809146,20,6,14,0.0033302313603614676,3.1600568810238584e-5,3,7.87302325867121e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099603004,0.0014618973424235654,25,15,10,0.0018879602479237266,2.965687001393873e-5,3,0.0016941729021801206,3,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099602005,1.5963697186197718e-4,27,16,11,0.0020587150808561447,2.9821369993737513e-5,4,0.0013505943492586481,3,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099605005,0.00388646337684003,46,34,12,0.01290054957596615,3.1764182707578934e-5,3,0.010622887403296368,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099605004,0.005026415899148685,33,21,12,0.006860920408055767,3.121001217190475e-5,3,0.003670471580022641,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099605001,0.009074734222764023,66,30,36,0.013557085081851118,3.3651904697805894e-5,3,0.0035658818774354163,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099602004,0.0022876725526286518,13,0,13,0,2.9108691855388023e-5,3,4.435901227285011e-4,3,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099605003,9.229510064392232e-4,16,4,12,4.828542833564518e-4,3.180459258316901e-5,3,5.333042042360652e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099601001,2.9381152559026434e-4,6,0,6,0,2.9797377830750898e-5,3,4.435901227285011e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099602002,0.0022147548415659968,21,8,13,0.0011345612464078569,3.0314972564949827e-5,3,8.347063275582104e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099603006,4.7337027434318676e-5,15,8,7,9.949724626739008e-5,2.6290882322010725e-5,4,8.492449936521845e-4,3,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099604012,0.013583965886028436,31,0,31,0,3.326016097917914e-5,3,4.435901227285011e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099603003,0.001010642139599225,19,9,10,0.0017795375133882324,2.9970628783791886e-5,3,0.001190256842388871,3,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099602003,8.043213258944353e-4,28,17,11,0.001996382982459221,3.107616768700084e-5,3,0.002135855515251197,3,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099601005,1.9516510782607686e-4,21,10,11,0.005346952750513581,3.059133041695983e-5,4,0.0016204592798025482,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099604011,0.01289899090745587,46,15,31,0.02068723333274805,3.245278120334913e-5,3,8.131665230671651e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099602001,1.231582794308841e-4,12,0,12,0,2.6786670952534018e-5,4,4.435901227285011e-4,3,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099603002,7.05697060185702e-5,19,13,6,8.779168788299123e-6,2.5518666904840893e-5,4,0.003167943475821701,3,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099603005,0.0016503235734412623,46,34,12,0.022452724176075006,3.1593580184506504e-5,3,0.014558024737197315,3,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099603001,8.160184806283536e-4,24,14,10,0.0014690475772420532,3.091285665708368e-5,3,0.005044633517317339,3,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099601003,0.0026214782743462037,12,0,12,0,3.1430726678400805e-5,3,4.435901227285011e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099601004,3.33506170574706e-4,11,0,11,0,3.1867431485022305e-5,4,4.435901227285011e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
290099604013,0.0028782424438275685,15,6,9,0.0012462030094990606,3.0781543386585404e-5,3,6.907695762348107e-4,7,1,"Fayetteville-Springdale-Rogers, AR-MO"
291190704002,0.004924834502882944,29,16,13,5.567456206579693e-4,3.133126546981232e-5,3,0.0013899912627261181,8,1,"Fayetteville-Springdale-Rogers, AR-MO"
291190702002,0.0031709556597635186,19,6,13,2.085052587221042e-4,3.167564143173899e-5,3,7.227977418624365e-4,8,1,"Fayetteville-Springdale-Rogers, AR-MO"
291190703003,0.014235597062742996,40,10,30,6.416109189448611e-4,3.26317506934247e-5,3,0.0010290883803362155,8,1,"Fayetteville-Springdale-Rogers, AR-MO"
291190701002,0.006054110185756529,28,2,26,0.009341035590750267,3.274179817955602e-5,3,4.7762466247852197e-4,8,1,"Fayetteville-Springdale-Rogers, AR-MO"
291190701001,0.00929248865446504,29,0,29,0,3.358522250209907e-5,3,4.435901227285011e-4,8,1,"Fayetteville-Springdale-Rogers, AR-MO"
291190701004,0.06305343384872965,162,103,59,0.050886319797527294,3.356042554619593e-5,3,0.00394810323650974,8,1,"Fayetteville-Springdale-Rogers, AR-MO"
291190703004,0.002500797138823904,16,6,10,0.00751526112174366,3.077870113881194e-5,3,7.465574208394711e-4,8,1,"Fayetteville-Springdale-Rogers, AR-MO"
291190704004,0.013604086853145373,52,17,35,0.015334281483562468,3.3375609104866166e-5,3,0.003789814168414162,8,1,"Fayetteville-Springdale-Rogers, AR-MO"
050070208051,0.05100841440370178,61,0,61,0,3.400666530640005e-5,3,4.435901227285011e-4,1,1,"Fayetteville-Springdale-Rogers, AR-MO"
050070213052,0.14602501074091845,190,110,80,0.01529560088393688,3.382034632034632e-5,3,0.002504562332082112,1,1,"Fayetteville-Springdale-Rogers, AR-MO"
050070205033,0.09956235496207454,182,148,34,0.00610753185793131,3.2735367290821e-5,3,0.007603019723116098,1,1,"Fayetteville-Springdale-Rogers, AR-MO"
050070205042,0.07569889215480319,164,121,43,0.00457457402218872,3.330225123218329e-5,3,0.00435676805483127,1,1,"Fayetteville-Springdale-Rogers, AR-MO"
