GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
131050002003,0.0024594652878752667,23,4,19,0.0010831376143285406,1.9025875190258754e-5,3,3.0630910057311613e-4,6,1,"Greenville-Anderson-Mauldin, SC"
131050001001,0.0012241046411087754,21,7,14,8.318057703690974e-4,1.7822135091783995e-5,3,4.983266166329094e-4,6,1,"Greenville-Anderson-Mauldin, SC"
131050005001,2.9720184090690203e-4,27,19,8,0,1.737106328278354e-5,4,0.002287655987229835,6,1,"Greenville-Anderson-Mauldin, SC"
131050005003,8.75891691056057e-4,19,6,13,1.5036947929197457e-4,1.68143527314916e-5,4,4.830925703471265e-4,6,1,"Greenville-Anderson-Mauldin, SC"
131050004001,0.002297398476239837,14,0,14,0,1.8443378827001106e-5,3,2.8552085479749135e-4,6,1,"Greenville-Anderson-Mauldin, SC"
131050003003,0.0017729974105144012,25,7,18,9.120624964197743e-4,1.85058385920758e-5,3,3.5237642577666463e-4,6,1,"Greenville-Anderson-Mauldin, SC"
131050005002,9.8231997908315e-4,30,19,11,0,1.7368046268475258e-5,4,0.0041442710975864265,6,1,"Greenville-Anderson-Mauldin, SC"
131050004002,3.6361080264780743e-4,28,19,9,0.0017052018292566498,1.826417299824664e-5,4,0.0017123992884404702,6,1,"Greenville-Anderson-Mauldin, SC"
131050004004,1.0741920837223198e-4,27,19,8,1.2172767371255084e-4,1.6185944126120876e-5,4,0.0016501071980572046,6,1,"Greenville-Anderson-Mauldin, SC"
131050003001,0.0012544000946254526,15,0,15,0,1.808449074074074e-5,3,2.871713831178279e-4,6,1,"Greenville-Anderson-Mauldin, SC"
131050005004,0.0012528972327424848,32,19,13,6.086383685627542e-5,1.8417902200939313e-5,3,0.0031044321623729166,6,1,"Greenville-Anderson-Mauldin, SC"
131050004005,9.707545705482771e-4,31,19,12,0,1.810118562765861e-5,3,0.0062346946019511545,6,1,"Greenville-Anderson-Mauldin, SC"
131050005006,6.034264935589075e-4,12,0,12,0,1.735026719411479e-5,4,2.8301886792555457e-4,6,1,"Greenville-Anderson-Mauldin, SC"
131050002001,0.0017434430151883839,14,0,14,0,1.781039058186546e-5,4,2.8783797338911474e-4,6,1,"Greenville-Anderson-Mauldin, SC"
131050001002,0.0018720658615496968,17,0,17,0,1.8268510568333365e-5,3,2.861941914419152e-4,6,1,"Greenville-Anderson-Mauldin, SC"
131050003002,4.647629535977632e-4,30,19,11,1.2888812510740676e-4,1.8708723877944285e-5,4,0.0018782078657494433,6,1,"Greenville-Anderson-Mauldin, SC"
131050004003,0.0010705046995197402,30,19,11,3.341543984266101e-5,1.8925773117831865e-5,3,0.0022420322894325063,6,1,"Greenville-Anderson-Mauldin, SC"
131050005005,4.623998328604728e-5,9,1,8,0,1.4783932821809257e-5,4,2.8920789790607614e-4,6,1,"Greenville-Anderson-Mauldin, SC"
131050001003,0.0011163061202498002,20,6,14,0.0016449943671115695,1.7701934821475985e-5,4,4.1071697848484636e-4,6,1,"Greenville-Anderson-Mauldin, SC"
131050002002,0.00222160281841921,18,2,16,0.0011865464665559182,1.8885741265344665e-5,3,3.119278202160947e-4,6,1,"Greenville-Anderson-Mauldin, SC"
450070119011,0.013389838223385395,98,59,39,0.005405774256199586,1.7511908097506306e-5,3,0.0012233646987422474,2,1,"Greenville-Anderson-Mauldin, SC"
450599203024,0.002290414220673048,11,1,10,8.664146187775677e-5,1.6756312940900485e-5,3,3.019375947460974e-4,4,1,"Greenville-Anderson-Mauldin, SC"
450450022014,0.01587646185827371,93,35,58,0.0025985448598870157,1.765723770173394e-5,3,7.768712263028176e-4,1,1,"Greenville-Anderson-Mauldin, SC"
450450044001,0.027178949901829723,127,103,24,8.604319479792069e-4,1.6680845385244124e-5,3,0.001642613406146062,1,1,"Greenville-Anderson-Mauldin, SC"
450599207002,0.0031434422005675983,26,11,15,3.7783315193523127e-4,1.6461176315659518e-5,3,4.2121025625917896e-4,4,1,"Greenville-Anderson-Mauldin, SC"
450770112052,0.05094432083158762,103,53,50,0.0022946646794709175,1.7272947110235948e-5,3,0.0024683801100494306,5,1,"Greenville-Anderson-Mauldin, SC"
450450031031,0.19534627119446615,97,25,72,0.005089623278422902,1.768972227136034e-5,3,3.88656766157348e-4,1,1,"Greenville-Anderson-Mauldin, SC"
450450011013,0.023873247813687354,55,6,49,0.002330523894581293,1.7607183730962233e-5,3,3.167735352507171e-4,1,1,"Greenville-Anderson-Mauldin, SC"
450450040011,0.017612895455732004,60,9,51,1.4123990376353326e-4,1.7378912427660277e-5,3,3.0209464684420096e-4,1,1,"Greenville-Anderson-Mauldin, SC"
450770107003,0.02832270047182481,77,16,61,0.00817807940326844,1.773458421267313e-5,3,3.39335866361449e-4,3,1,"Greenville-Anderson-Mauldin, SC"
450450030151,0.3667486660635643,96,2,94,2.8045101296519065e-5,1.7839940057801408e-5,3,2.864897968946898e-4,1,1,"Greenville-Anderson-Mauldin, SC"
450070101023,0.10749468126758835,146,49,97,0.011391532547175702,1.829190217490717e-5,3,6.363667986860166e-4,3,1,"Greenville-Anderson-Mauldin, SC"
450450018033,0.02147496191906056,77,31,46,6.852381497939154e-4,1.7381328976413536e-5,3,4.6967319955760513e-4,1,1,"Greenville-Anderson-Mauldin, SC"
