GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
471490403061,0.17525975570330884,553,417,136,0.013294485990274345,3.3867651989555214e-6,3,0.011075661424178596,4,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
471470801012,0.00273097859436183,111,29,82,0.005600491026046645,3.397673952412179e-6,3,2.1947914252248312e-4,3,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
471599752003,0.002392773352251035,59,5,54,4.4539563262100354e-5,3.372112628561794e-6,3,1.4525050480131363e-4,9,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
470559206001,7.410604340107939e-4,22,3,19,4.157025904462699e-5,3.3015722086857764e-6,4,1.4324830233112767e-4,15,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
471490401031,0.03336312576870224,206,7,199,0.0023539416403382356,3.417074437549548e-6,3,1.4307560016855927e-4,4,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
470370114001,0.0018702581794687704,66,9,57,0.001413554051471282,3.352745731116498e-6,3,1.8123700407037164e-4,11,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
470370184011,0.0021954468832272524,59,14,45,2.864843072242021e-4,3.3456565014469963e-6,4,2.0494719345575687e-4,1,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
471890309011,0.010145234636287661,229,174,55,0.00504447066512095,3.3785724180104937e-6,3,0.002259973833341571,5,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
470370112006,5.078985863801875e-4,51,23,28,7.954498249801245e-4,3.3437770636956093e-6,3,3.308645996410279e-4,11,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
471890305001,0.0012344100838602992,65,26,39,2.4260900168370075e-4,3.3683416306815503e-6,3,2.0681058245580167e-4,9,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
470370182023,0.004532434392202573,75,7,68,2.528728063430258e-4,3.3497134320158907e-6,3,1.8320751052162802e-4,1,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
470370113004,6.468113280218641e-4,65,40,25,0.001358306258814351,3.342547622947258e-6,3,4.2166083089278006e-4,12,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
471890305004,0.0020840156148552737,56,10,46,0.001094445823501236,3.366425293973089e-6,3,1.767498479137719e-4,9,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
470370188013,0.014485035545045858,157,83,74,0.003136102448954542,3.363289027605876e-6,3,8.122427172326892e-4,6,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
471190111022,0.022764154959777072,100,75,25,2.2353535865512645e-4,3.298936422897258e-6,3,0.0011145851069194377,7,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
470370130001,0.001581530343623702,109,91,18,0.004482280841040763,3.3427375683589833e-6,4,6.140015036145625e-4,1,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
471650202071,0.00064322355318046265,68,14,54,0.0023415379510893573,3.3771575815499126e-6,3,1.650773564669349e-4,3,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
470851305001,4.2068870493389685e-4,30,10,20,1.2602485219182668e-4,3.321839767736963e-6,4,2.0663853224814075e-4,8,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
470370110013,5.769700092556654e-4,130,88,42,0.004656394090567268,3.380422620436007e-6,3,8.447024702528121e-4,12,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
471890303072,0.010369793939162583,141,4,137,0.001032516480997663,3.3970622205916324e-6,3,1.6447391158786912e-4,5,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
470370104012,0.00378788927935162,411,370,41,0.004308120786489341,3.3424582443403826e-6,3,0.007054908146278067,3,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
470370168002,0.0034315885514446635,125,97,28,3.7190412493705164e-4,3.318059200812261e-6,3,0.0018552608049672732,1,1,"Nashville-Davidson--Murfreesboro--Franklin, TN"
