GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
220870302081,1.3363803317109678e-5,9,0,9,0,2.5932533919754366e-6,4,1.343170240245007e-4,8,1,"New Orleans-Metairie, LA"
220710029001,1.8110461846118173e-4,9,0,9,0,2.5922920787330947e-6,4,1.343170240245007e-4,1,1,"New Orleans-Metairie, LA"
220950701002,0.0018866114509682192,79,47,32,0.0026695947321761404,2.616841995080337e-6,3,7.230853876239854e-4,9,1,"New Orleans-Metairie, LA"
220710025022,3.1603573039490807e-4,14,1,13,1.4999013222814289e-5,2.5799727038887926e-6,4,1.521829948365986e-4,6,1,"New Orleans-Metairie, LA"
220510205081,0.0048043844546602115,232,157,75,0.00435606680011653,2.6224074224619685e-6,3,0.0020995505389877845,2,1,"New Orleans-Metairie, LA"
220710064001,8.203054163808666e-4,32,20,12,7.223685728126226e-4,2.6046075507572895e-6,4,3.2963943418638656e-4,5,1,"New Orleans-Metairie, LA"
220930405001,5.903602700131794e-6,7,1,6,0,2.5567469996573958e-6,4,1.629027250479423e-4,9,1,"New Orleans-Metairie, LA"
220710124002,0.0012122339900922604,43,0,43,0,2.6098144682894493e-6,3,1.343170240245007e-4,1,1,"New Orleans-Metairie, LA"
220710028001,1.2049319840356667e-4,10,4,6,1.6406815341095978e-5,2.571421224510787e-6,3,1.950163483780994e-4,6,1,"New Orleans-Metairie, LA"
220510206004,0.0018313438933339587,68,26,42,0.001475256013858737,2.62244180801628e-6,4,4.537792199081452e-4,2,1,"New Orleans-Metairie, LA"
221030408024,0.00577509842217223,58,22,36,1.3085417312770777e-4,2.606345408531611e-6,3,1.9680914695559263e-4,7,1,"New Orleans-Metairie, LA"
220510205134,0.0016413000010966153,47,0,47,0,2.626457355525147e-6,3,1.343170240245007e-4,2,1,"New Orleans-Metairie, LA"
220510240013,0.002803263073436032,64,19,45,1.9599744377719517e-4,2.610012006055228e-6,3,2.1725737722727887e-4,2,1,"New Orleans-Metairie, LA"
220510244002,8.872043391052295e-4,52,38,14,3.324922232559887e-4,2.5976050081824554e-6,4,6.855814010642076e-4,2,1,"New Orleans-Metairie, LA"
220510205062,0.00475138589100603,224,164,60,0.003394706175345607,2.612760198256244e-6,3,0.0020762439544480984,2,1,"New Orleans-Metairie, LA"
221030412092,0.12815119204027556,117,68,49,0.001029795972069507,2.613538652929907e-6,3,6.596492713436202e-4,4,1,"New Orleans-Metairie, LA"
220510280003,0.0014631463149517685,76,14,62,2.339498626058721e-4,2.616800908553275e-6,3,1.7561054610725003e-4,3,1,"New Orleans-Metairie, LA"
220510206002,0.001465412931182475,59,26,33,3.07631390165434e-4,2.6116479498563595e-6,4,2.6330165576197767e-4,2,1,"New Orleans-Metairie, LA"
220710109001,3.201114761868289e-4,14,1,13,1.2364975988421817e-4,2.5937915006640104e-6,4,1.7010209841192205e-4,1,1,"New Orleans-Metairie, LA"
220710017503,7.24811670969667e-4,45,18,27,6.868429708571809e-4,2.6151995397248807e-6,3,3.5768164979910146e-4,6,1,"New Orleans-Metairie, LA"
220710017242,0.0010412375874160518,38,0,38,0,2.6263607831807857e-6,4,1.3651122559270377e-4,6,1,"New Orleans-Metairie, LA"
221030407065,0.008279281959738205,79,32,47,0.002203491311661827,2.6169173237309913e-6,3,2.716332119557664e-4,7,1,"New Orleans-Metairie, LA"
220510214002,0.0019985086090166296,45,0,45,0,2.6139075565453553e-6,3,1.343170240245007e-4,2,1,"New Orleans-Metairie, LA"
221030412121,0.13723271280058127,89,12,77,0.0010737135088230408,2.632867666805331e-6,3,1.5050204922290147e-4,4,1,"New Orleans-Metairie, LA"
220710108002,8.973194752683031e-4,27,3,24,7.374514834550358e-5,2.58378571114826e-6,3,1.5945995117824392e-4,1,1,"New Orleans-Metairie, LA"
220710140004,1.9012644638309194e-4,15,7,8,1.366620617064667e-4,2.5719370801312716e-6,4,3.1494434516504444e-4,1,1,"New Orleans-Metairie, LA"
220750503002,0.0013601300394995256,70,23,47,9.227494431757309e-5,2.597463317324301e-6,3,2.9455055065524463e-4,3,1,"New Orleans-Metairie, LA"
220510210002,8.154267087130201e-4,116,82,34,0.0012197809667910322,2.6160341967990206e-6,4,0.0011046789461572877,2,1,"New Orleans-Metairie, LA"
220070506001,4.363009632896891e-6,19,12,7,7.373199131636076e-4,2.57210907800178e-6,4,0.0012077966046820804,11,1,"New Orleans-Metairie, LA"
220510223032,0.005975522129133065,155,109,46,0.001632759122990029,2.6218642503565733e-6,3,0.002173465164559106,2,1,"New Orleans-Metairie, LA"
220510276011,0.0020073733758807274,82,29,53,0.003650166612984848,2.627223287707222e-6,3,4.109421314855512e-4,2,1,"New Orleans-Metairie, LA"
221030410023,0.030079192210713056,156,121,35,0.010987798421783036,2.6267885146298986e-6,4,0.003018856469869147,7,1,"New Orleans-Metairie, LA"
220710017462,0.0015868687833870475,56,0,56,0,2.6441246228817257e-6,3,1.343170240245007e-4,6,1,"New Orleans-Metairie, LA"
220510276021,0.0013562156233970079,77,42,35,0.0014898756660746007,2.610182321235138e-6,3,2.53994417754303e-4,3,1,"New Orleans-Metairie, LA"
220710012001,0.0013299669587340196,50,32,18,0.003858163466689222,2.590760828732574e-6,3,7.93941854139998e-4,1,1,"New Orleans-Metairie, LA"
220710143001,3.4102368102871484e-4,22,0,22,0,2.602458803077147e-6,3,1.343170240245007e-4,1,1,"New Orleans-Metairie, LA"
220510229003,0.004209193471066055,131,63,68,0.0067507980364700255,2.6296344019291e-6,3,0.0010937661682283288,2,1,"New Orleans-Metairie, LA"
220710097001,1.4948467427825603e-4,33,29,4,8.696420348285358e-5,2.55687120784039e-6,4,8.436565572668832e-4,1,1,"New Orleans-Metairie, LA"
220710006012,1.2528654846031377e-4,7,0,7,0,2.5837056022488576e-6,4,1.429395037679204e-4,3,1,"New Orleans-Metairie, LA"
220710094004,3.1582760334406907e-4,71,58,13,9.41311818458059e-4,2.584914439332058e-6,4,0.0035406346317083948,1,1,"New Orleans-Metairie, LA"
220710044021,4.155448680587334e-4,20,1,19,1.9735543714229327e-5,2.6009628764568643e-6,4,1.4726218427402258e-4,1,1,"New Orleans-Metairie, LA"
220710015002,5.826286092229142e-4,65,60,5,8.473004595562323e-4,2.564148587282336e-6,3,0.0016270062426279508,1,1,"New Orleans-Metairie, LA"
220710006152,0.0036067527915562034,185,144,41,0.0068320784603200235,2.6277824931874738e-6,3,0.0025259301062832127,3,1,"New Orleans-Metairie, LA"
221030412082,0.25154744457873107,136,67,69,1.2050522991908427e-4,2.6178079000206808e-6,3,0.001057463918946944,4,1,"New Orleans-Metairie, LA"
220710063002,8.482571331286987e-5,15,10,5,1.329780935464772e-4,2.576177570767598e-6,4,4.234964549194601e-4,1,1,"New Orleans-Metairie, LA"
220710109004,6.648786846632758e-5,7,0,7,0,2.5793804328200363e-6,4,1.484590260775806e-4,1,1,"New Orleans-Metairie, LA"
