GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
060855033062,0.0076027410416583206,61,18,43,4.3031936756500873e-4,3.227347249654674e-6,3,2.637774932159029e-4,3,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855009012,0.03549609519611156,314,263,51,0.014204437833500944,3.2363402170289752e-6,3,0.00508634386092016,1,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855120171,0.0346279589913599,175,110,65,0.005706661795668654,3.2380378785671035e-6,3,6.888843772958677e-4,5,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855035082,0.012989186484431316,75,6,69,0.001015790177379748,3.245952297485036e-6,3,1.5549100401529928e-4,3,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855029093,0.00997517642982417,53,1,52,2.419585089548844e-6,3.227753515830517e-6,3,2.0075759262562842e-4,5,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855027023,0.003214028464036683,45,11,34,4.604691260558511e-4,3.2129236641466634e-6,3,2.51223229190105e-4,8,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855120381,0.0333996857754426,88,3,85,2.2784426259918283e-5,3.250436371082818e-6,3,1.436833505568003e-4,5,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855062032,0.008557848914923075,145,82,63,0.005160951690480303,3.238142730855291e-6,3,0.0018285926913925404,6,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855068043,0.005382744633292063,30,0,30,0,3.212727541428122e-6,3,1.3463178207659204e-4,11,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855115005,0.05641792957415355,21,2,19,8.968595398594383e-4,3.1612956253991137e-6,3,2.4136321866897063e-4,2,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855087034,0.0026674182135235577,41,5,36,1.6481378006103747e-4,3.214142225793491e-6,3,1.5170111342663022e-4,9,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855120391,0.04313116427633128,176,119,57,0.0032437195130096525,3.237272662527274e-6,3,0.001386864193886205,5,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855050061,0.041684857188133334,273,208,65,0.006564827750109892,3.229588195209229e-6,2,0.0037165299003258908,4,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855123102,0.12290590005503527,84,62,22,3.4508756248002404e-4,3.163395715496843e-6,3,8.170240305224324e-4,7,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855053033,0.002111242627000905,19,4,15,1.0441853875341898e-4,3.2023159148696336e-6,3,1.5500148233814424e-4,1,1,"San Jose-Sunnyvale-Santa Clara, CA"
060855073011,0.0018407812006407843,27,0,27,0,3.1781243345802172e-6,3,1.3463178207659204e-4,10,1,"San Jose-Sunnyvale-Santa Clara, CA"
