GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
720210312031,0.026744952654582793,26,0,26,0,5.005140279066601e-7,4,9.463400093113631e-5,4,1,"San Juan-Carolina-Caguas, PR"
721355105023,0.024687134129448333,19,0,19,0,5.002468718312487e-7,4,9.30625449938183e-5,4,1,"San Juan-Carolina-Caguas, PR"
721031704002,0.00930739566011454,21,0,21,0,5.019961878409495e-7,3,9.30625449938183e-5,8,1,"San Juan-Carolina-Caguas, PR"
720252024031,0.02018421705145896,19,0,19,0,5.01349130510203e-7,4,9.30625449938183e-5,5,1,"San Juan-Carolina-Caguas, PR"
720412402011,0.007498240783818792,13,0,13,0,5.010798270272437e-7,4,9.30625449938183e-5,10,1,"San Juan-Carolina-Caguas, PR"
721355105022,0.02584178211574947,20,0,20,0,5.001815659084248e-7,4,9.30625449938183e-5,4,1,"San Juan-Carolina-Caguas, PR"
720610402003,0.044285729361312934,26,0,26,0,5.006150055342989e-7,4,9.30625449938183e-5,2,1,"San Juan-Carolina-Caguas, PR"
721371210023,0.0139174794594877,10,0,10,0,4.999257610244879e-7,4,9.626078609535788e-5,4,1,"San Juan-Carolina-Caguas, PR"
721455602011,0.05505614496895613,34,2,32,1.0902483343428226e-4,5.011476280682763e-7,4,1.044823883479584e-4,7,1,"San Juan-Carolina-Caguas, PR"
720310507002,0.021020296335342924,57,49,8,6.273210603919264e-4,4.982816756415501e-7,3,7.819735704834065e-4,3,1,"San Juan-Carolina-Caguas, PR"
720252024043,0.009727085688891085,11,0,11,0,5.008848130222037e-7,4,9.30625449938183e-5,5,1,"San Juan-Carolina-Caguas, PR"
720531502004,0.004240851021325104,11,3,8,2.753152359451572e-5,4.99425660490436e-7,4,1.9821767413074717e-4,11,1,"San Juan-Carolina-Caguas, PR"
720210311252,0.01589653197276055,12,0,12,0,4.992815338727571e-7,4,9.30625449938183e-5,4,1,"San Juan-Carolina-Caguas, PR"
721270004002,0.00946605511020998,8,2,6,1.1648893538657317e-4,4.992680730049747e-7,4,3.4476562244829963e-4,6,1,"San Juan-Carolina-Caguas, PR"
721270051033,0.005815681851386372,6,0,6,0,4.987240146086238e-7,3,9.30625449938183e-5,3,1,"San Juan-Carolina-Caguas, PR"
720210303001,0.03154329938605463,19,0,19,0,5.004734478816961e-7,4,9.30625449938183e-5,4,1,"San Juan-Carolina-Caguas, PR"
720210317012,0.015877996530948194,41,24,17,8.777477990076415e-4,4.998800287930897e-7,4,1.9678083860754243e-4,4,1,"San Juan-Carolina-Caguas, PR"
721270077004,0.0273836086484343,12,0,12,0,4.999852504351122e-7,4,9.30625449938183e-5,2,1,"San Juan-Carolina-Caguas, PR"
720199523011,0.008796412821985755,18,0,18,0,5.036395512168686e-7,4,9.30625449938183e-5,15,1,"San Juan-Carolina-Caguas, PR"
720915702022,0.022793193146977166,47,22,25,0.006012784241130697,5.000360025921867e-7,4,2.9919483324840855e-4,7,1,"San Juan-Carolina-Caguas, PR"
720891403003,0.016770463976114012,20,2,18,1.2236232708673652e-5,4.997823447888444e-7,3,9.850545131588257e-5,11,1,"San Juan-Carolina-Caguas, PR"
721270009001,0.024072529113744794,71,60,11,0.0010533438564934627,4.994748022454389e-7,4,0.001164501713088334,6,1,"San Juan-Carolina-Caguas, PR"
721292207003,0.005145110974970376,9,0,9,0,5.01825641684448e-7,4,9.30625449938183e-5,5,1,"San Juan-Carolina-Caguas, PR"
721270062002,0.013201221271882585,9,1,8,4.58858726575262e-6,4.996891933217539e-7,3,1.076833450086623e-4,2,1,"San Juan-Carolina-Caguas, PR"
721270091212,0.024300252519833088,66,56,10,0.0010396515120924571,4.995743626430281e-7,3,4.5802389207506394e-4,12,1,"San Juan-Carolina-Caguas, PR"
720915704002,0.01768516750138405,85,70,15,0.009096293033300907,4.993857555207095e-7,4,0.0013182670631308152,7,1,"San Juan-Carolina-Caguas, PR"
720210311011,0.038152429861489985,62,33,29,7.082943303415745e-4,5.00156548999837e-7,4,2.366316026366791e-4,4,1,"San Juan-Carolina-Caguas, PR"
720252015002,0.01848178494679601,88,79,9,0.0022692705369870723,4.991372412784502e-7,4,0.0015773222070132112,5,1,"San Juan-Carolina-Caguas, PR"
721270069004,0.024831994580747495,12,0,12,0,4.999610030417627e-7,4,9.30625449938183e-5,2,1,"San Juan-Carolina-Caguas, PR"
720352609011,0.005601222892155142,9,0,9,0,4.98313458101057e-7,4,9.30625449938183e-5,10,1,"San Juan-Carolina-Caguas, PR"
