GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
360670114022,0.009216115359691551,56,5,51,0.002443765208617722,9.074821906620083e-6,4,2.993089080826986e-4,4,1,"Syracuse, NY"
360670045003,0.018456098510796125,20,4,16,1.7285892337824202e-4,8.819042075649744e-6,4,4.8646476262675226e-4,1,1,"Syracuse, NY"
360530301023,3.5394129512334794e-4,21,10,11,1.5431182859516884e-4,8.619946556331351e-6,4,8.036025227647736e-4,8,1,"Syracuse, NY"
360670003001,8.03905106589802e-4,9,1,8,0,8.82519062411748e-6,4,2.616160858255476e-4,1,1,"Syracuse, NY"
360670110221,0.00605652144402167,51,0,51,0,9.178943503602735e-6,4,2.599879087413032e-4,3,1,"Syracuse, NY"
360670165024,0.003477855422513557,24,0,24,0,9.032852484486076e-6,4,2.581089219657992e-4,13,1,"Syracuse, NY"
360670154003,0.004555199363650687,28,0,28,0,9.03938459869652e-6,4,2.581089219657992e-4,1,1,"Syracuse, NY"
360530310003,3.0180863331120847e-4,17,4,13,7.381743723663126e-4,8.778089887640449e-6,4,3.395054241615435e-4,10,1,"Syracuse, NY"
360750206001,0.0032273722509165814,44,10,34,0.0015114398480621995,9.046826373308242e-6,4,3.921480138215438e-4,9,1,"Syracuse, NY"
360670101001,0.005254460028421183,34,1,33,2.9675351652917088e-6,8.926738259107505e-6,4,2.634464431624214e-4,3,1,"Syracuse, NY"
360670006001,0.0027491620153653864,39,10,29,0.0031489999406492976,8.894502308123349e-6,4,4.7081575434741675e-4,1,1,"Syracuse, NY"
360670165011,0.007100301289863972,44,15,29,0.00504822244643599,8.991916267275719e-6,4,3.844170375211167e-4,13,1,"Syracuse, NY"
360530309002,0.0024687761961845415,26,22,4,7.507863968188023e-4,8.569053719397768e-6,5,0.004030981435334324,10,1,"Syracuse, NY"
360670109001,0.0026062030572725405,25,0,25,0,9.00179135647994e-6,4,2.581089219657992e-4,3,1,"Syracuse, NY"
360670003002,0.001938340854300483,20,0,20,0,8.86328384666519e-6,4,2.670092296197923e-4,1,1,"Syracuse, NY"
360179705001,2.70071376520689e-5,14,1,13,1.9288978574396106e-5,8.534025158306167e-6,5,3.20920315971832e-4,5,1,"Syracuse, NY"
360670169012,0.0020477676554068883,23,7,16,2.9279680297544856e-4,8.818031110013756e-6,4,5.276510580960862e-4,1,1,"Syracuse, NY"
360670111022,0.010561009815791644,94,53,41,0.0021370704492848238,8.933197548730592e-6,4,0.0013366388731959004,4,1,"Syracuse, NY"
360530304012,0.008986544926501031,59,0,59,0,9.13667552924193e-6,4,2.606661579756177e-4,1,1,"Syracuse, NY"
360750211041,8.343618736902365e-4,16,1,15,1.0114349021702575e-4,8.807468733485996e-6,4,2.8900606056199657e-4,6,1,"Syracuse, NY"
360670009001,0.0065556209021744236,32,0,32,0,8.988521657842934e-6,4,2.581089219657992e-4,1,1,"Syracuse, NY"
360670111011,0.003621331093247692,42,8,34,1.6173066650839815e-4,8.873901854645487e-6,4,3.6092300965593873e-4,4,1,"Syracuse, NY"
360499507001,9.842580026206612e-7,15,8,7,4.4389380180821813e-4,8.235604163921465e-6,5,7.825646540359547e-4,7,1,"Syracuse, NY"
360530301031,0.0019325129197125868,54,36,18,8.222545353829111e-4,8.787500659062548e-6,4,0.0028435969138368043,8,1,"Syracuse, NY"
360670123002,0.006228111046681766,50,18,32,0.0034874261295710644,9.084384850879822e-6,4,7.342717401993922e-4,2,1,"Syracuse, NY"
360670112011,0.001732070515821847,25,11,14,1.8992225057866936e-4,8.833610119783754e-6,4,3.6566747203227315e-4,4,1,"Syracuse, NY"
360670014003,1.7471043252104335e-4,5,0,5,0,8.716799888424962e-6,4,2.581089219657992e-4,1,1,"Syracuse, NY"
360670160011,0.0036054054439500346,45,1,44,2.0327615882248206e-4,9.35935233281857e-6,4,2.656425266992734e-4,2,1,"Syracuse, NY"
360530303003,3.813467981834355e-4,22,11,11,5.027004570004154e-4,8.820364457459382e-6,4,4.242426735165975e-4,8,1,"Syracuse, NY"
