GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
040190008001,0.03775243457881452,146,99,47,0.005343262272355564,1.0238034297414896e-05,3,0.0019746396133000273,3,1,"Tucson, AZ"
040190044311,0.02699840251539565,20,4,16,2.6581470942654907e-5,1.0020943772484492e-5,4,2.595629627955652e-4,4,1,"Tucson, AZ"
040190012002,0.058186930728334085,151,92,59,0.0035927791383954734,1.0205956196036007e-5,3,0.0019632134104224925,6,1,"Tucson, AZ"
040190040431,0.08116660748685121,187,104,83,0.002299622414834105,1.025104816967535e-5,4,0.0017612781795136386,1,1,"Tucson, AZ"
040190047103,0.06002009137103521,231,186,45,0.009124767177876952,1.0235938379650955e-5,4,0.004987660303843405,5,1,"Tucson, AZ"
040190021005,0.011061626298391174,29,3,26,1.1544857226760563e-4,1.0076175889726332e-5,3,3.0526283617289155e-4,3,1,"Tucson, AZ"
040190025014,0.032570336132474224,117,92,25,0.0020023372917715374,1.0037338900710643e-5,3,0.0016131849159508435,6,1,"Tucson, AZ"
040190040541,0.003367306721552013,26,0,26,0,1.0128325889013805e-5,4,2.5458197628918007e-4,1,1,"Tucson, AZ"
040190027042,0.012094580867128122,72,39,33,8.676810943577522e-4,1.0105297196790558e-5,4,0.001253099745364583,5,1,"Tucson, AZ"
040190025043,0.05425962511263815,81,0,81,0,1.0338695670154253e-5,3,2.5990618914666016e-4,3,1,"Tucson, AZ"
040190047233,0.009087066389263251,46,1,45,7.040171895923113e-5,1.015207813039329e-5,4,2.6319550334180723e-4,1,1,"Tucson, AZ"
040190053002,0.013274296022105449,86,27,59,0.00506099337122192,1.0340940818795693e-5,4,4.835770196238372e-4,1,1,"Tucson, AZ"
040190040372,0.011521389028792052,59,0,59,0,1.029654036243822e-5,4,2.5458197628918007e-4,1,1,"Tucson, AZ"
040190043101,0.026511936776136998,41,2,39,3.18555723201658e-5,1.0232481990831697e-5,3,2.5536617616721773e-4,3,1,"Tucson, AZ"
