GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
200199646005,1.890896637092509e-5,3,0,3,0,9.481099428289705e-6,4,2.5201830548031396e-4,9,1,"Tulsa, OK"
200199646003,5.822907633231813e-8,6,5,1,1.0218679746576742e-5,2.040683057432984e-6,4,0.006108537510406257,9,1,"Tulsa, OK"
200199646006,7.909746908913015e-11,1,0,1,0,2.0433642766796963e-6,5,2.1398002853164976e-4,9,1,"Tulsa, OK"
200199646004,6.372983469813419e-10,2,1,1,0,2.0399878416724635e-6,5,8.808952574321076e-4,9,1,"Tulsa, OK"
401430040003,6.808645587426527e-4,53,26,27,3.121182187705794e-4,9.481189320388349e-6,4,8.104834419402718e-4,1,1,"Tulsa, OK"
401430069011,0.01180761836893922,294,247,47,0.0033003308032431263,9.637811060351973e-6,4,0.0056135204546800994,1,1,"Tulsa, OK"
401430038001,0.0013786361502675388,55,30,25,9.124583548250009e-4,9.610394602802392e-6,5,6.735178546910477e-4,1,1,"Tulsa, OK"
401430015004,5.843340419322317e-4,37,6,31,1.625645966541123e-4,9.592142117177609e-6,4,2.89088064377864e-4,1,1,"Tulsa, OK"
400370207052,0.0021298594439083398,52,0,52,0,9.825016456902566e-6,4,2.1398002853164976e-4,3,1,"Tulsa, OK"
401310503032,0.0042728091941060895,35,0,35,0,9.690110273454912e-6,5,2.1398002853164976e-4,5,1,"Tulsa, OK"
401430073091,0.0035350447131398486,103,39,64,0.0013237089964557782,9.754860359173958e-6,4,6.205347679652143e-4,1,1,"Tulsa, OK"
401139400014,0.0031328762950162013,22,6,16,8.072756999795627e-5,9.363821937562035e-6,5,3.349524361861814e-4,13,1,"Tulsa, OK"
401450306011,0.009115453823150904,141,4,137,3.5772434868081715e-4,9.838162231295194e-6,4,2.1944424675192904e-4,1,1,"Tulsa, OK"
401430090073,0.0019272581142419465,66,0,66,0,9.77154136293459e-6,4,2.1398002853164976e-4,1,1,"Tulsa, OK"
401430065071,0.004746419135564734,95,1,94,2.273656243613325e-4,9.844166838939586e-6,5,2.1847662871125203e-4,1,1,"Tulsa, OK"
401139400061,0.0036439328880405303,141,57,84,0.00514293256644575,9.745353902526971e-6,4,0.0013033007965149307,1,1,"Tulsa, OK"
401430090064,0.0020118300089795008,78,41,37,4.222374691412091e-4,9.672583063307056e-6,4,9.170486789270331e-4,1,1,"Tulsa, OK"
401430074021,0.002765097509653978,124,89,35,5.572644196188035e-4,9.593614490195326e-6,4,0.0012992877683834214,1,1,"Tulsa, OK"
401139400063,7.920478861073824e-4,34,0,34,0,9.656704166867848e-6,4,2.1398002853164976e-4,1,1,"Tulsa, OK"
400370208001,8.615955115674026e-4,45,25,20,0.0018166339020109711,9.58093011669573e-6,4,6.022186630359105e-4,19,1,"Tulsa, OK"
401430078012,0.004177973699622478,63,26,37,5.695210845425437e-5,9.542440001908487e-6,4,4.142116701832915e-4,1,1,"Tulsa, OK"
