month,name,value,city
1,January,0.9999999999999998,"Akron, OH"
1,February,0.9556202882286294,"Akron, OH"
1,March,0.9342003665169526,"Akron, OH"
1,April,0.8856844704610434,"Akron, OH"
1,May,0.9177309330733238,"Akron, OH"
1,June,0.93193256045682,"Akron, OH"
1,July,0.9247908539398412,"Akron, OH"
1,August,0.9250830362667054,"Akron, OH"
1,September,0.9440453227094269,"Akron, OH"
1,October,0.9440453227094269,"Akron, OH"
1,November,0.944399695926143,"Akron, OH"
1,December,0.9374691136081064,"Akron, OH"
2,February,1,"Akron, OH"
2,March,0.9408640674971933,"Akron, OH"
2,April,0.8464282094709329,"Akron, OH"
2,May,0.8714642540463704,"Akron, OH"
2,June,0.883888375483943,"Akron, OH"
2,July,0.8770964717585508,"Akron, OH"
2,August,0.8805518378799408,"Akron, OH"
2,September,0.9405136413398519,"Akron, OH"
2,October,0.9405136413398519,"Akron, OH"
2,November,0.9339670198558748,"Akron, OH"
2,December,0.9189919458513512,"Akron, OH"
3,March,1,"Akron, OH"
3,April,0.8891069977508383,"Akron, OH"
3,May,0.8845417180498815,"Akron, OH"
3,June,0.8839278769149562,"Akron, OH"
3,July,0.8811774375444195,"Akron, OH"
3,August,0.8795307325482393,"Akron, OH"
3,September,0.9181986867186732,"Akron, OH"
3,October,0.9181986867186732,"Akron, OH"
3,November,0.9170106345570566,"Akron, OH"
3,December,0.9102752297223998,"Akron, OH"
4,April,1,"Akron, OH"
4,May,0.9354554911997631,"Akron, OH"
4,June,0.9163679301669364,"Akron, OH"
4,July,0.913051410043153,"Akron, OH"
4,August,0.89939553841308,"Akron, OH"
4,September,0.8822366978966257,"Akron, OH"
4,October,0.8822366978966257,"Akron, OH"
4,November,0.885690238874686,"Akron, OH"
4,December,0.8955462711679482,"Akron, OH"
5,May,1,"Akron, OH"
5,June,0.9584428729054564,"Akron, OH"
5,July,0.9494816982248133,"Akron, OH"
5,August,0.9415370382481197,"Akron, OH"
5,September,0.9169673555868773,"Akron, OH"
5,October,0.9169673555868773,"Akron, OH"
5,November,0.9223554163559938,"Akron, OH"
5,December,0.9299044037284997,"Akron, OH"
6,June,1,"Akron, OH"
6,July,0.9623336736575703,"Akron, OH"
6,August,0.9558856132738651,"Akron, OH"
6,September,0.9307919862005322,"Akron, OH"
6,October,0.9307919862005322,"Akron, OH"
6,November,0.9329982000660921,"Akron, OH"
6,December,0.937087199028157,"Akron, OH"
7,July,1,"Akron, OH"
7,August,0.9650103904237454,"Akron, OH"
7,September,0.9288991689568149,"Akron, OH"
7,October,0.9288991689568149,"Akron, OH"
7,November,0.9310125659453,"Akron, OH"
7,December,0.9373536267263728,"Akron, OH"
8,August,1,"Akron, OH"
8,September,0.9352321985871626,"Akron, OH"
8,October,0.9352321985871626,"Akron, OH"
8,November,0.9377774072682815,"Akron, OH"
8,December,0.9401931250303969,"Akron, OH"
9,September,1,"Akron, OH"
9,October,1,"Akron, OH"
9,November,0.9702399398629802,"Akron, OH"
9,December,0.957808958675477,"Akron, OH"
10,October,1,"Akron, OH"
10,November,0.9702399398629802,"Akron, OH"
10,December,0.957808958675477,"Akron, OH"
11,November,1,"Akron, OH"
11,December,0.9636308408064282,"Akron, OH"
12,December,0.9999999999999998,"Akron, OH"
