month,name,value,city
1,January,1,"Boise City, ID"
1,February,0.9881571566089302,"Boise City, ID"
1,March,0.9583917561394443,"Boise City, ID"
1,April,0.9255208619165302,"Boise City, ID"
1,May,0.9623719889019186,"Boise City, ID"
1,June,0.9738668066330607,"Boise City, ID"
1,July,0.9620372262667672,"Boise City, ID"
1,August,0.9602015267624252,"Boise City, ID"
1,September,0.9702257401711845,"Boise City, ID"
1,October,0.9702257401711845,"Boise City, ID"
1,November,0.972375430906128,"Boise City, ID"
1,December,0.966807547916024,"Boise City, ID"
2,February,0.9999999999999999,"Boise City, ID"
2,March,0.9645737616340178,"Boise City, ID"
2,April,0.9268470377592662,"Boise City, ID"
2,May,0.9625049772796551,"Boise City, ID"
2,June,0.972217247928814,"Boise City, ID"
2,July,0.9617635519710742,"Boise City, ID"
2,August,0.9594442973224799,"Boise City, ID"
2,September,0.973550497831078,"Boise City, ID"
2,October,0.973550497831078,"Boise City, ID"
2,November,0.9758283325313916,"Boise City, ID"
2,December,0.9695067534110355,"Boise City, ID"
3,March,0.9999999999999998,"Boise City, ID"
3,April,0.948942383124475,"Boise City, ID"
3,May,0.9568699895796349,"Boise City, ID"
3,June,0.9629731660314628,"Boise City, ID"
3,July,0.9538112318360895,"Boise City, ID"
3,August,0.9549056959040391,"Boise City, ID"
3,September,0.9617723828858462,"Boise City, ID"
3,October,0.9617723828858462,"Boise City, ID"
3,November,0.9591886965031445,"Boise City, ID"
3,December,0.9539504852082488,"Boise City, ID"
4,April,1,"Boise City, ID"
4,May,0.9692059108608844,"Boise City, ID"
4,June,0.9557169210636342,"Boise City, ID"
4,July,0.9541855727433459,"Boise City, ID"
4,August,0.9482751610585192,"Boise City, ID"
4,September,0.9496130070897774,"Boise City, ID"
4,October,0.9496130070897774,"Boise City, ID"
4,November,0.9470219087220554,"Boise City, ID"
4,December,0.9468248970835581,"Boise City, ID"
5,May,1,"Boise City, ID"
5,June,0.9840145537438278,"Boise City, ID"
5,July,0.9790943484885964,"Boise City, ID"
5,August,0.9713525681902372,"Boise City, ID"
5,September,0.9763944485550128,"Boise City, ID"
5,October,0.9763944485550128,"Boise City, ID"
5,November,0.9776097504238181,"Boise City, ID"
5,December,0.9773125443997331,"Boise City, ID"
6,June,1,"Boise City, ID"
6,July,0.9800122572680641,"Boise City, ID"
6,August,0.9765917036471973,"Boise City, ID"
6,September,0.9788050914584795,"Boise City, ID"
6,October,0.9788050914584795,"Boise City, ID"
6,November,0.9790504948975405,"Boise City, ID"
6,December,0.9773473259278178,"Boise City, ID"
7,July,1,"Boise City, ID"
7,August,0.9752041107203391,"Boise City, ID"
7,September,0.9755829521207047,"Boise City, ID"
7,October,0.9755829521207047,"Boise City, ID"
7,November,0.9762152215532924,"Boise City, ID"
7,December,0.9749092619413955,"Boise City, ID"
8,August,0.9999999999999998,"Boise City, ID"
8,September,0.9787512255464262,"Boise City, ID"
8,October,0.9787512255464262,"Boise City, ID"
8,November,0.9725463121854435,"Boise City, ID"
8,December,0.9715411537553044,"Boise City, ID"
9,September,1,"Boise City, ID"
9,October,1,"Boise City, ID"
9,November,0.9876363008116348,"Boise City, ID"
9,December,0.9830520282357049,"Boise City, ID"
10,October,1,"Boise City, ID"
10,November,0.9876363008116348,"Boise City, ID"
10,December,0.9830520282357049,"Boise City, ID"
11,November,0.9999999999999999,"Boise City, ID"
11,December,0.9869996432048286,"Boise City, ID"
12,December,1,"Boise City, ID"
