month,name,value,city
1,January,0.9999999999999998,"Bridgeport-Stamford-Norwalk, CT"
1,February,0.9417293240614731,"Bridgeport-Stamford-Norwalk, CT"
1,March,0.9031944914794983,"Bridgeport-Stamford-Norwalk, CT"
1,April,0.7291213188544354,"Bridgeport-Stamford-Norwalk, CT"
1,May,0.8036660360336765,"Bridgeport-Stamford-Norwalk, CT"
1,June,0.8636253840867344,"Bridgeport-Stamford-Norwalk, CT"
1,July,0.8768489884677202,"Bridgeport-Stamford-Norwalk, CT"
1,August,0.8748727677446381,"Bridgeport-Stamford-Norwalk, CT"
1,September,0.865622173030056,"Bridgeport-Stamford-Norwalk, CT"
1,October,0.865622173030056,"Bridgeport-Stamford-Norwalk, CT"
1,November,0.8736983937004957,"Bridgeport-Stamford-Norwalk, CT"
1,December,0.8656968357084331,"Bridgeport-Stamford-Norwalk, CT"
2,February,1,"Bridgeport-Stamford-Norwalk, CT"
2,March,0.9013055048351561,"Bridgeport-Stamford-Norwalk, CT"
2,April,0.7233270108139279,"Bridgeport-Stamford-Norwalk, CT"
2,May,0.7980585467607293,"Bridgeport-Stamford-Norwalk, CT"
2,June,0.8560082577831946,"Bridgeport-Stamford-Norwalk, CT"
2,July,0.8711487668122551,"Bridgeport-Stamford-Norwalk, CT"
2,August,0.8661933586108762,"Bridgeport-Stamford-Norwalk, CT"
2,September,0.889866951887102,"Bridgeport-Stamford-Norwalk, CT"
2,October,0.889866951887102,"Bridgeport-Stamford-Norwalk, CT"
2,November,0.8973093595998182,"Bridgeport-Stamford-Norwalk, CT"
2,December,0.8795344267264782,"Bridgeport-Stamford-Norwalk, CT"
3,March,0.9999999999999999,"Bridgeport-Stamford-Norwalk, CT"
3,April,0.8048798657269425,"Bridgeport-Stamford-Norwalk, CT"
3,May,0.8680896577326224,"Bridgeport-Stamford-Norwalk, CT"
3,June,0.8972952538617878,"Bridgeport-Stamford-Norwalk, CT"
3,July,0.8973492681757945,"Bridgeport-Stamford-Norwalk, CT"
3,August,0.8943937649764275,"Bridgeport-Stamford-Norwalk, CT"
3,September,0.8588895816101639,"Bridgeport-Stamford-Norwalk, CT"
3,October,0.8588895816101639,"Bridgeport-Stamford-Norwalk, CT"
3,November,0.8675043171797672,"Bridgeport-Stamford-Norwalk, CT"
3,December,0.881443244018336,"Bridgeport-Stamford-Norwalk, CT"
4,April,1,"Bridgeport-Stamford-Norwalk, CT"
4,May,0.8727915717002955,"Bridgeport-Stamford-Norwalk, CT"
4,June,0.8028414162353595,"Bridgeport-Stamford-Norwalk, CT"
4,July,0.7814022830918796,"Bridgeport-Stamford-Norwalk, CT"
4,August,0.7742980156442472,"Bridgeport-Stamford-Norwalk, CT"
4,September,0.7295400192860968,"Bridgeport-Stamford-Norwalk, CT"
4,October,0.7295400192860968,"Bridgeport-Stamford-Norwalk, CT"
4,November,0.7301961456160653,"Bridgeport-Stamford-Norwalk, CT"
4,December,0.7635877428056572,"Bridgeport-Stamford-Norwalk, CT"
5,May,0.9999999999999999,"Bridgeport-Stamford-Norwalk, CT"
5,June,0.8858243368208051,"Bridgeport-Stamford-Norwalk, CT"
5,July,0.8622886538887294,"Bridgeport-Stamford-Norwalk, CT"
5,August,0.8537705436587842,"Bridgeport-Stamford-Norwalk, CT"
5,September,0.8054538605315807,"Bridgeport-Stamford-Norwalk, CT"
5,October,0.8054538605315807,"Bridgeport-Stamford-Norwalk, CT"
5,November,0.8127111718471262,"Bridgeport-Stamford-Norwalk, CT"
5,December,0.8331184245951164,"Bridgeport-Stamford-Norwalk, CT"
6,June,0.9999999999999999,"Bridgeport-Stamford-Norwalk, CT"
6,July,0.9180563295151769,"Bridgeport-Stamford-Norwalk, CT"
6,August,0.9128587608416255,"Bridgeport-Stamford-Norwalk, CT"
6,September,0.8580429534077137,"Bridgeport-Stamford-Norwalk, CT"
6,October,0.8580429534077137,"Bridgeport-Stamford-Norwalk, CT"
6,November,0.864761396383863,"Bridgeport-Stamford-Norwalk, CT"
6,December,0.8823641794120001,"Bridgeport-Stamford-Norwalk, CT"
7,July,0.9999999999999999,"Bridgeport-Stamford-Norwalk, CT"
7,August,0.9198442998934093,"Bridgeport-Stamford-Norwalk, CT"
7,September,0.8595832682279029,"Bridgeport-Stamford-Norwalk, CT"
7,October,0.8595832682279029,"Bridgeport-Stamford-Norwalk, CT"
7,November,0.8651220998713173,"Bridgeport-Stamford-Norwalk, CT"
7,December,0.8840723031481779,"Bridgeport-Stamford-Norwalk, CT"
8,August,0.9999999999999999,"Bridgeport-Stamford-Norwalk, CT"
8,September,0.877193958207781,"Bridgeport-Stamford-Norwalk, CT"
8,October,0.877193958207781,"Bridgeport-Stamford-Norwalk, CT"
8,November,0.878961220270365,"Bridgeport-Stamford-Norwalk, CT"
8,December,0.8985811478651304,"Bridgeport-Stamford-Norwalk, CT"
9,September,1,"Bridgeport-Stamford-Norwalk, CT"
9,October,1,"Bridgeport-Stamford-Norwalk, CT"
9,November,0.942938216309594,"Bridgeport-Stamford-Norwalk, CT"
9,December,0.9134668546163107,"Bridgeport-Stamford-Norwalk, CT"
10,October,1,"Bridgeport-Stamford-Norwalk, CT"
10,November,0.942938216309594,"Bridgeport-Stamford-Norwalk, CT"
10,December,0.9134668546163107,"Bridgeport-Stamford-Norwalk, CT"
11,November,1,"Bridgeport-Stamford-Norwalk, CT"
11,December,0.9209442969733699,"Bridgeport-Stamford-Norwalk, CT"
12,December,0.9999999999999999,"Bridgeport-Stamford-Norwalk, CT"
