month,name,value,city
1,January,1,"Columbia, SC"
1,February,0.9853995836650061,"Columbia, SC"
1,March,0.9791806947923749,"Columbia, SC"
1,April,0.9425117431896685,"Columbia, SC"
1,May,0.9596564763428655,"Columbia, SC"
1,June,0.963886518580218,"Columbia, SC"
1,July,0.9614771283857372,"Columbia, SC"
1,August,0.9637976850314754,"Columbia, SC"
1,September,0.9684493790078015,"Columbia, SC"
1,October,0.9684493790078015,"Columbia, SC"
1,November,0.9711732749034487,"Columbia, SC"
1,December,0.9731680716605594,"Columbia, SC"
2,February,1,"Columbia, SC"
2,March,0.9687774961940905,"Columbia, SC"
2,April,0.9256439468383781,"Columbia, SC"
2,May,0.9414796371855835,"Columbia, SC"
2,June,0.9461296007415446,"Columbia, SC"
2,July,0.9437694554487155,"Columbia, SC"
2,August,0.9477407028469108,"Columbia, SC"
2,September,0.973446115008961,"Columbia, SC"
2,October,0.973446115008961,"Columbia, SC"
2,November,0.9758463370708222,"Columbia, SC"
2,December,0.9732553502008706,"Columbia, SC"
3,March,1,"Columbia, SC"
3,April,0.9725219404175589,"Columbia, SC"
3,May,0.9781290172075915,"Columbia, SC"
3,June,0.9799361924275137,"Columbia, SC"
3,July,0.9781677069819614,"Columbia, SC"
3,August,0.9773269957047709,"Columbia, SC"
3,September,0.9661867985425548,"Columbia, SC"
3,October,0.9661867985425548,"Columbia, SC"
3,November,0.9676913864422027,"Columbia, SC"
3,December,0.9728891845118747,"Columbia, SC"
4,April,1,"Columbia, SC"
4,May,0.9790686784829757,"Columbia, SC"
4,June,0.9753319373638286,"Columbia, SC"
4,July,0.9746126340780231,"Columbia, SC"
4,August,0.9675284880326609,"Columbia, SC"
4,September,0.9400781362019898,"Columbia, SC"
4,October,0.9400781362019898,"Columbia, SC"
4,November,0.9399623117852038,"Columbia, SC"
4,December,0.9488363878169331,"Columbia, SC"
5,May,1,"Columbia, SC"
5,June,0.9888728596420311,"Columbia, SC"
5,July,0.9855059337535199,"Columbia, SC"
5,August,0.9858587420221308,"Columbia, SC"
5,September,0.9567257790803717,"Columbia, SC"
5,October,0.9567257790803717,"Columbia, SC"
5,November,0.9538092683848866,"Columbia, SC"
5,December,0.9641134816630609,"Columbia, SC"
6,June,1,"Columbia, SC"
6,July,0.9889017998235348,"Columbia, SC"
6,August,0.9873409730803582,"Columbia, SC"
6,September,0.9591292413488237,"Columbia, SC"
6,October,0.9591292413488237,"Columbia, SC"
6,November,0.9574987688472664,"Columbia, SC"
6,December,0.9662537857121681,"Columbia, SC"
7,July,0.9999999999999998,"Columbia, SC"
7,August,0.987056136809799,"Columbia, SC"
7,September,0.9590068104998921,"Columbia, SC"
7,October,0.9590068104998921,"Columbia, SC"
7,November,0.9579152219644369,"Columbia, SC"
7,December,0.9669196958954713,"Columbia, SC"
8,August,1,"Columbia, SC"
8,September,0.9659865186619143,"Columbia, SC"
8,October,0.9659865186619143,"Columbia, SC"
8,November,0.9615332634757293,"Columbia, SC"
8,December,0.9703759448537608,"Columbia, SC"
9,September,1,"Columbia, SC"
9,October,1,"Columbia, SC"
9,November,0.9875223037275981,"Columbia, SC"
9,December,0.9840190185518647,"Columbia, SC"
10,October,1,"Columbia, SC"
10,November,0.9875223037275981,"Columbia, SC"
10,December,0.9840190185518647,"Columbia, SC"
11,November,1,"Columbia, SC"
11,December,0.9881999682439316,"Columbia, SC"
12,December,1,"Columbia, SC"
