month,name,value,city
1,January,0.9999999999999999,"Dallas-Fort Worth-Arlington, TX"
1,February,0.9820378183713862,"Dallas-Fort Worth-Arlington, TX"
1,March,0.951924820933054,"Dallas-Fort Worth-Arlington, TX"
1,April,0.9105675764773917,"Dallas-Fort Worth-Arlington, TX"
1,May,0.9549904002275935,"Dallas-Fort Worth-Arlington, TX"
1,June,0.9615251922176484,"Dallas-Fort Worth-Arlington, TX"
1,July,0.9594228143615889,"Dallas-Fort Worth-Arlington, TX"
1,August,0.961598614395966,"Dallas-Fort Worth-Arlington, TX"
1,September,0.9621342777347628,"Dallas-Fort Worth-Arlington, TX"
1,October,0.9621342777347628,"Dallas-Fort Worth-Arlington, TX"
1,November,0.9613001977791656,"Dallas-Fort Worth-Arlington, TX"
1,December,0.9499096028780531,"Dallas-Fort Worth-Arlington, TX"
2,February,1,"Dallas-Fort Worth-Arlington, TX"
2,March,0.9553853296749026,"Dallas-Fort Worth-Arlington, TX"
2,April,0.9113394221490786,"Dallas-Fort Worth-Arlington, TX"
2,May,0.9547812571513371,"Dallas-Fort Worth-Arlington, TX"
2,June,0.9608046613146661,"Dallas-Fort Worth-Arlington, TX"
2,July,0.9587797395256773,"Dallas-Fort Worth-Arlington, TX"
2,August,0.9612979353093317,"Dallas-Fort Worth-Arlington, TX"
2,September,0.966191252481792,"Dallas-Fort Worth-Arlington, TX"
2,October,0.966191252481792,"Dallas-Fort Worth-Arlington, TX"
2,November,0.9657233716022474,"Dallas-Fort Worth-Arlington, TX"
2,December,0.9545814290643145,"Dallas-Fort Worth-Arlington, TX"
3,March,1,"Dallas-Fort Worth-Arlington, TX"
3,April,0.9326602239722124,"Dallas-Fort Worth-Arlington, TX"
3,May,0.95456537789361,"Dallas-Fort Worth-Arlington, TX"
3,June,0.9568765235446332,"Dallas-Fort Worth-Arlington, TX"
3,July,0.9538256513678849,"Dallas-Fort Worth-Arlington, TX"
3,August,0.9498616003963974,"Dallas-Fort Worth-Arlington, TX"
3,September,0.9506054482055728,"Dallas-Fort Worth-Arlington, TX"
3,October,0.9506054482055728,"Dallas-Fort Worth-Arlington, TX"
3,November,0.9485218446111019,"Dallas-Fort Worth-Arlington, TX"
3,December,0.943068689728987,"Dallas-Fort Worth-Arlington, TX"
4,April,1,"Dallas-Fort Worth-Arlington, TX"
4,May,0.9622968599811866,"Dallas-Fort Worth-Arlington, TX"
4,June,0.9405593893562397,"Dallas-Fort Worth-Arlington, TX"
4,July,0.9453717834946096,"Dallas-Fort Worth-Arlington, TX"
4,August,0.937309190960852,"Dallas-Fort Worth-Arlington, TX"
4,September,0.9364218916506541,"Dallas-Fort Worth-Arlington, TX"
4,October,0.9364218916506541,"Dallas-Fort Worth-Arlington, TX"
4,November,0.9291583579713577,"Dallas-Fort Worth-Arlington, TX"
4,December,0.9268982795457873,"Dallas-Fort Worth-Arlington, TX"
5,May,0.9999999999999999,"Dallas-Fort Worth-Arlington, TX"
5,June,0.9797791930952691,"Dallas-Fort Worth-Arlington, TX"
5,July,0.9798893633886376,"Dallas-Fort Worth-Arlington, TX"
5,August,0.976652705451263,"Dallas-Fort Worth-Arlington, TX"
5,September,0.9712178058769771,"Dallas-Fort Worth-Arlington, TX"
5,October,0.9712178058769771,"Dallas-Fort Worth-Arlington, TX"
5,November,0.9659733643130055,"Dallas-Fort Worth-Arlington, TX"
5,December,0.9602336404548965,"Dallas-Fort Worth-Arlington, TX"
6,June,0.9999999999999999,"Dallas-Fort Worth-Arlington, TX"
6,July,0.9825838383812292,"Dallas-Fort Worth-Arlington, TX"
6,August,0.9795393337409976,"Dallas-Fort Worth-Arlington, TX"
6,September,0.9724010228406531,"Dallas-Fort Worth-Arlington, TX"
6,October,0.9724010228406531,"Dallas-Fort Worth-Arlington, TX"
6,November,0.968934328179524,"Dallas-Fort Worth-Arlington, TX"
6,December,0.9625119005018289,"Dallas-Fort Worth-Arlington, TX"
7,July,0.9999999999999999,"Dallas-Fort Worth-Arlington, TX"
7,August,0.9835026161701638,"Dallas-Fort Worth-Arlington, TX"
7,September,0.9759614627971182,"Dallas-Fort Worth-Arlington, TX"
7,October,0.9759614627971182,"Dallas-Fort Worth-Arlington, TX"
7,November,0.9720037197389213,"Dallas-Fort Worth-Arlington, TX"
7,December,0.9652757403609893,"Dallas-Fort Worth-Arlington, TX"
8,August,1,"Dallas-Fort Worth-Arlington, TX"
8,September,0.9790632770383094,"Dallas-Fort Worth-Arlington, TX"
8,October,0.9790632770383094,"Dallas-Fort Worth-Arlington, TX"
8,November,0.9751738496261927,"Dallas-Fort Worth-Arlington, TX"
8,December,0.9672010558338588,"Dallas-Fort Worth-Arlington, TX"
9,September,1,"Dallas-Fort Worth-Arlington, TX"
9,October,1,"Dallas-Fort Worth-Arlington, TX"
9,November,0.9822355607614287,"Dallas-Fort Worth-Arlington, TX"
9,December,0.9717786006605252,"Dallas-Fort Worth-Arlington, TX"
10,October,1,"Dallas-Fort Worth-Arlington, TX"
10,November,0.9822355607614287,"Dallas-Fort Worth-Arlington, TX"
10,December,0.9717786006605252,"Dallas-Fort Worth-Arlington, TX"
11,November,1,"Dallas-Fort Worth-Arlington, TX"
11,December,0.9718506341505121,"Dallas-Fort Worth-Arlington, TX"
12,December,0.9999999999999999,"Dallas-Fort Worth-Arlington, TX"
