month,name,value,city
1,January,1,"Deltona-Daytona Beach-Ormond Beach, FL"
1,February,0.98574041040594,"Deltona-Daytona Beach-Ormond Beach, FL"
1,March,0.9748591344285007,"Deltona-Daytona Beach-Ormond Beach, FL"
1,April,0.925615270476298,"Deltona-Daytona Beach-Ormond Beach, FL"
1,May,0.9592439853609653,"Deltona-Daytona Beach-Ormond Beach, FL"
1,June,0.9662711921751798,"Deltona-Daytona Beach-Ormond Beach, FL"
1,July,0.9631564344130171,"Deltona-Daytona Beach-Ormond Beach, FL"
1,August,0.9658946974756603,"Deltona-Daytona Beach-Ormond Beach, FL"
1,September,0.9700021561148584,"Deltona-Daytona Beach-Ormond Beach, FL"
1,October,0.9700021561148584,"Deltona-Daytona Beach-Ormond Beach, FL"
1,November,0.969823397885653,"Deltona-Daytona Beach-Ormond Beach, FL"
1,December,0.9535077406263279,"Deltona-Daytona Beach-Ormond Beach, FL"
2,February,1,"Deltona-Daytona Beach-Ormond Beach, FL"
2,March,0.9782075196172612,"Deltona-Daytona Beach-Ormond Beach, FL"
2,April,0.9285472296416465,"Deltona-Daytona Beach-Ormond Beach, FL"
2,May,0.9612600676710539,"Deltona-Daytona Beach-Ormond Beach, FL"
2,June,0.9664417763275479,"Deltona-Daytona Beach-Ormond Beach, FL"
2,July,0.9643952039175272,"Deltona-Daytona Beach-Ormond Beach, FL"
2,August,0.9670679558687546,"Deltona-Daytona Beach-Ormond Beach, FL"
2,September,0.972454609195187,"Deltona-Daytona Beach-Ormond Beach, FL"
2,October,0.972454609195187,"Deltona-Daytona Beach-Ormond Beach, FL"
2,November,0.9722892878780395,"Deltona-Daytona Beach-Ormond Beach, FL"
2,December,0.9584132247210762,"Deltona-Daytona Beach-Ormond Beach, FL"
3,March,1,"Deltona-Daytona Beach-Ormond Beach, FL"
3,April,0.9570870625121866,"Deltona-Daytona Beach-Ormond Beach, FL"
3,May,0.9756810450110175,"Deltona-Daytona Beach-Ormond Beach, FL"
3,June,0.9722441971876373,"Deltona-Daytona Beach-Ormond Beach, FL"
3,July,0.9719222256966046,"Deltona-Daytona Beach-Ormond Beach, FL"
3,August,0.9682355331177478,"Deltona-Daytona Beach-Ormond Beach, FL"
3,September,0.9727521721163197,"Deltona-Daytona Beach-Ormond Beach, FL"
3,October,0.9727521721163197,"Deltona-Daytona Beach-Ormond Beach, FL"
3,November,0.9722194943497504,"Deltona-Daytona Beach-Ormond Beach, FL"
3,December,0.9665430328761021,"Deltona-Daytona Beach-Ormond Beach, FL"
4,April,1,"Deltona-Daytona Beach-Ormond Beach, FL"
4,May,0.9648818030473438,"Deltona-Daytona Beach-Ormond Beach, FL"
4,June,0.944083120723807,"Deltona-Daytona Beach-Ormond Beach, FL"
4,July,0.9463037937825867,"Deltona-Daytona Beach-Ormond Beach, FL"
4,August,0.9322022426482759,"Deltona-Daytona Beach-Ormond Beach, FL"
4,September,0.937522716014262,"Deltona-Daytona Beach-Ormond Beach, FL"
4,October,0.937522716014262,"Deltona-Daytona Beach-Ormond Beach, FL"
4,November,0.9354188652420079,"Deltona-Daytona Beach-Ormond Beach, FL"
4,December,0.948606098863452,"Deltona-Daytona Beach-Ormond Beach, FL"
5,May,1,"Deltona-Daytona Beach-Ormond Beach, FL"
5,June,0.9795975110619226,"Deltona-Daytona Beach-Ormond Beach, FL"
5,July,0.978537339972387,"Deltona-Daytona Beach-Ormond Beach, FL"
