month,name,value,city
1,January,1,"Hartford-West Hartford-East Hartford, CT"
1,February,0.9276015246347503,"Hartford-West Hartford-East Hartford, CT"
1,March,0.9103526599324233,"Hartford-West Hartford-East Hartford, CT"
1,April,0.812364766100431,"Hartford-West Hartford-East Hartford, CT"
1,May,0.8656016173756531,"Hartford-West Hartford-East Hartford, CT"
1,June,0.9074429010174747,"Hartford-West Hartford-East Hartford, CT"
1,July,0.9058085468328474,"Hartford-West Hartford-East Hartford, CT"
1,August,0.8793877149048955,"Hartford-West Hartford-East Hartford, CT"
1,September,0.8994916748865827,"Hartford-West Hartford-East Hartford, CT"
1,October,0.8994916748865827,"Hartford-West Hartford-East Hartford, CT"
1,November,0.9043343391225924,"Hartford-West Hartford-East Hartford, CT"
1,December,0.8986423779072605,"Hartford-West Hartford-East Hartford, CT"
2,February,1,"Hartford-West Hartford-East Hartford, CT"
2,March,0.9287560853093713,"Hartford-West Hartford-East Hartford, CT"
2,April,0.7827874295352176,"Hartford-West Hartford-East Hartford, CT"
2,May,0.8330008866605206,"Hartford-West Hartford-East Hartford, CT"
2,June,0.8723876797718778,"Hartford-West Hartford-East Hartford, CT"
2,July,0.8705755941984363,"Hartford-West Hartford-East Hartford, CT"
2,August,0.8452593049599333,"Hartford-West Hartford-East Hartford, CT"
2,September,0.8998999888124809,"Hartford-West Hartford-East Hartford, CT"
2,October,0.8998999888124809,"Hartford-West Hartford-East Hartford, CT"
2,November,0.9063421303936442,"Hartford-West Hartford-East Hartford, CT"
2,December,0.88876288766306,"Hartford-West Hartford-East Hartford, CT"
3,March,1,"Hartford-West Hartford-East Hartford, CT"
3,April,0.8515150722224927,"Hartford-West Hartford-East Hartford, CT"
3,May,0.8884370533231098,"Hartford-West Hartford-East Hartford, CT"
3,June,0.9021483141506006,"Hartford-West Hartford-East Hartford, CT"
3,July,0.8973928187571825,"Hartford-West Hartford-East Hartford, CT"
3,August,0.8722374064784535,"Hartford-West Hartford-East Hartford, CT"
3,September,0.9146504754177209,"Hartford-West Hartford-East Hartford, CT"
3,October,0.9146504754177209,"Hartford-West Hartford-East Hartford, CT"
3,November,0.9157790371677942,"Hartford-West Hartford-East Hartford, CT"
3,December,0.9020496029578993,"Hartford-West Hartford-East Hartford, CT"
4,April,1,"Hartford-West Hartford-East Hartford, CT"
4,May,0.9062105965225972,"Hartford-West Hartford-East Hartford, CT"
4,June,0.8629509200670228,"Hartford-West Hartford-East Hartford, CT"
4,July,0.8554763492949777,"Hartford-West Hartford-East Hartford, CT"
4,August,0.8180192415504564,"Hartford-West Hartford-East Hartford, CT"
4,September,0.833348207629596,"Hartford-West Hartford-East Hartford, CT"
4,October,0.833348207629596,"Hartford-West Hartford-East Hartford, CT"
4,November,0.8234292544618493,"Hartford-West Hartford-East Hartford, CT"
4,December,0.8216898732759359,"Hartford-West Hartford-East Hartford, CT"
5,May,1,"Hartford-West Hartford-East Hartford, CT"
5,June,0.9232965600813081,"Hartford-West Hartford-East Hartford, CT"
5,July,0.9134609045043848,"Hartford-West Hartford-East Hartford, CT"
5,August,0.8735958519605531,"Hartford-West Hartford-East Hartford, CT"
5,September,0.883303151592158,"Hartford-West Hartford-East Hartford, CT"
5,October,0.883303151592158,"Hartford-West Hartford-East Hartford, CT"
5,November,0.876231983005885,"Hartford-West Hartford-East Hartford, CT"
5,December,0.8778949696446242,"Hartford-West Hartford-East Hartford, CT"
6,June,1,"Hartford-West Hartford-East Hartford, CT"
6,July,0.9432266301964766,"Hartford-West Hartford-East Hartford, CT"
6,August,0.9103566919852076,"Hartford-West Hartford-East Hartford, CT"
6,September,0.9141153875832797,"Hartford-West Hartford-East Hartford, CT"
6,October,0.9141153875832797,"Hartford-West Hartford-East Hartford, CT"
6,November,0.9119818581891769,"Hartford-West Hartford-East Hartford, CT"
6,December,0.914348634789409,"Hartford-West Hartford-East Hartford, CT"
7,July,1,"Hartford-West Hartford-East Hartford, CT"
7,August,0.9187670443123795,"Hartford-West Hartford-East Hartford, CT"
7,September,0.9159003712079717,"Hartford-West Hartford-East Hartford, CT"
7,October,0.9159003712079717,"Hartford-West Hartford-East Hartford, CT"
7,November,0.9086463905945766,"Hartford-West Hartford-East Hartford, CT"
7,December,0.9136988270930938,"Hartford-West Hartford-East Hartford, CT"
8,August,1,"Hartford-West Hartford-East Hartford, CT"
8,September,0.8991938390785585,"Hartford-West Hartford-East Hartford, CT"
8,October,0.8991938390785585,"Hartford-West Hartford-East Hartford, CT"
8,November,0.8916668413053547,"Hartford-West Hartford-East Hartford, CT"
8,December,0.8938732164233099,"Hartford-West Hartford-East Hartford, CT"
9,September,1,"Hartford-West Hartford-East Hartford, CT"
9,October,1,"Hartford-West Hartford-East Hartford, CT"
9,November,0.9456963726908794,"Hartford-West Hartford-East Hartford, CT"
9,December,0.9340247617331034,"Hartford-West Hartford-East Hartford, CT"
10,October,1,"Hartford-West Hartford-East Hartford, CT"
10,November,0.9456963726908794,"Hartford-West Hartford-East Hartford, CT"
10,December,0.9340247617331034,"Hartford-West Hartford-East Hartford, CT"
11,November,1,"Hartford-West Hartford-East Hartford, CT"
11,December,0.9411573548384123,"Hartford-West Hartford-East Hartford, CT"
12,December,1,"Hartford-West Hartford-East Hartford, CT"
