month,name,value,city
1,January,1,"Las Vegas-Henderson-Paradise, NV"
1,February,0.9701501109257198,"Las Vegas-Henderson-Paradise, NV"
1,March,0.9217128864919761,"Las Vegas-Henderson-Paradise, NV"
1,April,0.7673587194525583,"Las Vegas-Henderson-Paradise, NV"
1,May,0.8053051388471936,"Las Vegas-Henderson-Paradise, NV"
1,June,0.8674933784933768,"Las Vegas-Henderson-Paradise, NV"
1,July,0.8755442971030382,"Las Vegas-Henderson-Paradise, NV"
1,August,0.8561236853092651,"Las Vegas-Henderson-Paradise, NV"
1,September,0.8859422943254848,"Las Vegas-Henderson-Paradise, NV"
1,October,0.8859422943254848,"Las Vegas-Henderson-Paradise, NV"
1,November,0.8926913089619223,"Las Vegas-Henderson-Paradise, NV"
1,December,0.8724777577287642,"Las Vegas-Henderson-Paradise, NV"
2,February,1,"Las Vegas-Henderson-Paradise, NV"
2,March,0.9396493961616044,"Las Vegas-Henderson-Paradise, NV"
2,April,0.7969084628112036,"Las Vegas-Henderson-Paradise, NV"
2,May,0.8351658282273859,"Las Vegas-Henderson-Paradise, NV"
2,June,0.8937555375778883,"Las Vegas-Henderson-Paradise, NV"
2,July,0.8985596963288736,"Las Vegas-Henderson-Paradise, NV"
2,August,0.8804187265838623,"Las Vegas-Henderson-Paradise, NV"
2,September,0.9073947992999584,"Las Vegas-Henderson-Paradise, NV"
2,October,0.9073947992999584,"Las Vegas-Henderson-Paradise, NV"
2,November,0.9136580787462496,"Las Vegas-Henderson-Paradise, NV"
2,December,0.8945646301917652,"Las Vegas-Henderson-Paradise, NV"
3,March,1,"Las Vegas-Henderson-Paradise, NV"
3,April,0.8927133342750732,"Las Vegas-Henderson-Paradise, NV"
3,May,0.9133721942256396,"Las Vegas-Henderson-Paradise, NV"
3,June,0.9363332523239833,"Las Vegas-Henderson-Paradise, NV"
3,July,0.9361962876224597,"Las Vegas-Henderson-Paradise, NV"
3,August,0.9247652352564917,"Las Vegas-Henderson-Paradise, NV"
3,September,0.9351380915016172,"Las Vegas-Henderson-Paradise, NV"
3,October,0.9351380915016172,"Las Vegas-Henderson-Paradise, NV"
3,November,0.9361287012513057,"Las Vegas-Henderson-Paradise, NV"
3,December,0.9268710753858485,"Las Vegas-Henderson-Paradise, NV"
4,April,0.9999999999999999,"Las Vegas-Henderson-Paradise, NV"
4,May,0.9539762458356938,"Las Vegas-Henderson-Paradise, NV"
4,June,0.9091948559788451,"Las Vegas-Henderson-Paradise, NV"
4,July,0.8961849148729839,"Las Vegas-Henderson-Paradise, NV"
4,August,0.876406708480622,"Las Vegas-Henderson-Paradise, NV"
4,September,0.8802312387562229,"Las Vegas-Henderson-Paradise, NV"
4,October,0.8802312387562229,"Las Vegas-Henderson-Paradise, NV"
4,November,0.8749748799660003,"Las Vegas-Henderson-Paradise, NV"
4,December,0.8820157355872814,"Las Vegas-Henderson-Paradise, NV"
5,May,0.9999999999999999,"Las Vegas-Henderson-Paradise, NV"
5,June,0.94720299659855145,"Las Vegas-Henderson-Paradise, NV"
5,July,0.9308756320738794,"Las Vegas-Henderson-Paradise, NV"
5,August,0.9110498943880546,"Las Vegas-Henderson-Paradise, NV"
5,September,0.917810307905426,"Las Vegas-Henderson-Paradise, NV"
5,October,0.917810307905426,"Las Vegas-Henderson-Paradise, NV"
5,November,0.915787054095766,"Las Vegas-Henderson-Paradise, NV"
5,December,0.9178348385674769,"Las Vegas-Henderson-Paradise, NV"
6,June,1,"Las Vegas-Henderson-Paradise, NV"
6,July,0.961020109051462,"Las Vegas-Henderson-Paradise, NV"
6,August,0.9392974816900836,"Las Vegas-Henderson-Paradise, NV"
6,September,0.9520320575544893,"Las Vegas-Henderson-Paradise, NV"
6,October,0.9520320575544893,"Las Vegas-Henderson-Paradise, NV"
6,November,0.9524243836839933,"Las Vegas-Henderson-Paradise, NV"
6,December,0.9456066055857059,"Las Vegas-Henderson-Paradise, NV"
7,July,1,"Las Vegas-Henderson-Paradise, NV"
7,August,0.9493321102594245,"Las Vegas-Henderson-Paradise, NV"
7,September,0.9568338607237401,"Las Vegas-Henderson-Paradise, NV"
7,October,0.9568338607237401,"Las Vegas-Henderson-Paradise, NV"
7,November,0.9547427861173728,"Las Vegas-Henderson-Paradise, NV"
7,December,0.9479174359882316,"Las Vegas-Henderson-Paradise, NV"
8,August,1,"Las Vegas-Henderson-Paradise, NV"
8,September,0.9494668047181866,"Las Vegas-Henderson-Paradise, NV"
8,October,0.9494668047181866,"Las Vegas-Henderson-Paradise, NV"
8,November,0.9466988440489694,"Las Vegas-Henderson-Paradise, NV"
8,December,0.9437126910878566,"Las Vegas-Henderson-Paradise, NV"
9,September,1,"Las Vegas-Henderson-Paradise, NV"
9,October,1,"Las Vegas-Henderson-Paradise, NV"
9,November,0.9676392231165789,"Las Vegas-Henderson-Paradise, NV"
9,December,0.9572583098890773,"Las Vegas-Henderson-Paradise, NV"
10,October,1,"Las Vegas-Henderson-Paradise, NV"
10,November,0.9676392231165789,"Las Vegas-Henderson-Paradise, NV"
10,December,0.9572583098890773,"Las Vegas-Henderson-Paradise, NV"
11,November,1,"Las Vegas-Henderson-Paradise, NV"
11,December,0.9633955185441947,"Las Vegas-Henderson-Paradise, NV"
12,December,1,"Las Vegas-Henderson-Paradise, NV"
