month,name,value,city
1,January,1,"Miami-Fort Lauderdale-West Palm Beach, FL"
1,February,0.9736439154270256,"Miami-Fort Lauderdale-West Palm Beach, FL"
1,March,0.9429517254601947,"Miami-Fort Lauderdale-West Palm Beach, FL"
1,April,0.8402576945034946,"Miami-Fort Lauderdale-West Palm Beach, FL"
1,May,0.8994840011281476,"Miami-Fort Lauderdale-West Palm Beach, FL"
1,June,0.9277669998326756,"Miami-Fort Lauderdale-West Palm Beach, FL"
1,July,0.8940822616550794,"Miami-Fort Lauderdale-West Palm Beach, FL"
1,August,0.9065438353726367,"Miami-Fort Lauderdale-West Palm Beach, FL"
1,September,0.9240232660642316,"Miami-Fort Lauderdale-West Palm Beach, FL"
1,October,0.9240232660642316,"Miami-Fort Lauderdale-West Palm Beach, FL"
1,November,0.9213180268760846,"Miami-Fort Lauderdale-West Palm Beach, FL"
1,December,0.9259250637021434,"Miami-Fort Lauderdale-West Palm Beach, FL"
2,February,0.9999999999999999,"Miami-Fort Lauderdale-West Palm Beach, FL"
2,March,0.948866031849943,"Miami-Fort Lauderdale-West Palm Beach, FL"
2,April,0.8428391615412627,"Miami-Fort Lauderdale-West Palm Beach, FL"
2,May,0.9043575936183992,"Miami-Fort Lauderdale-West Palm Beach, FL"
2,June,0.9328126469650698,"Miami-Fort Lauderdale-West Palm Beach, FL"
2,July,0.8979232437545781,"Miami-Fort Lauderdale-West Palm Beach, FL"
2,August,0.9110989586843441,"Miami-Fort Lauderdale-West Palm Beach, FL"
2,September,0.9302741175595642,"Miami-Fort Lauderdale-West Palm Beach, FL"
2,October,0.9302741175595642,"Miami-Fort Lauderdale-West Palm Beach, FL"
2,November,0.9276389764484322,"Miami-Fort Lauderdale-West Palm Beach, FL"
2,December,0.9336903399425971,"Miami-Fort Lauderdale-West Palm Beach, FL"
3,March,1,"Miami-Fort Lauderdale-West Palm Beach, FL"
3,April,0.8906352824378901,"Miami-Fort Lauderdale-West Palm Beach, FL"
3,May,0.9319565049891565,"Miami-Fort Lauderdale-West Palm Beach, FL"
3,June,0.9396229031334753,"Miami-Fort Lauderdale-West Palm Beach, FL"
3,July,0.91365424205426915,"Miami-Fort Lauderdale-West Palm Beach, FL"
3,August,0.9283753543309804,"Miami-Fort Lauderdale-West Palm Beach, FL"
3,September,0.9287868556444493,"Miami-Fort Lauderdale-West Palm Beach, FL"
3,October,0.9287868556444493,"Miami-Fort Lauderdale-West Palm Beach, FL"
3,November,0.9238496402229027,"Miami-Fort Lauderdale-West Palm Beach, FL"
3,December,0.925947541466607,"Miami-Fort Lauderdale-West Palm Beach, FL"
4,April,1,"Miami-Fort Lauderdale-West Palm Beach, FL"
4,May,0.9365227834430018,"Miami-Fort Lauderdale-West Palm Beach, FL"
4,June,0.8931217409580502,"Miami-Fort Lauderdale-West Palm Beach, FL"
4,July,0.8707585712969165,"Miami-Fort Lauderdale-West Palm Beach, FL"
4,August,0.8693305589037827,"Miami-Fort Lauderdale-West Palm Beach, FL"
4,September,0.8761148006608822,"Miami-Fort Lauderdale-West Palm Beach, FL"
4,October,0.8761148006608822,"Miami-Fort Lauderdale-West Palm Beach, FL"
4,November,0.8559824873254624,"Miami-Fort Lauderdale-West Palm Beach, FL"
4,December,0.8584514857896351,"Miami-Fort Lauderdale-West Palm Beach, FL"
5,May,1,"Miami-Fort Lauderdale-West Palm Beach, FL"
5,June,0.9479736699665804,"Miami-Fort Lauderdale-West Palm Beach, FL"
5,July,0.9190295513068834,"Miami-Fort Lauderdale-West Palm Beach, FL"
5,August,0.9217692404788403,"Miami-Fort Lauderdale-West Palm Beach, FL"
5,September,0.9285629952680661,"Miami-Fort Lauderdale-West Palm Beach, FL"
5,October,0.9285629952680661,"Miami-Fort Lauderdale-West Palm Beach, FL"
5,November,0.9124124096294811,"Miami-Fort Lauderdale-West Palm Beach, FL"
5,December,0.9188896976092646,"Miami-Fort Lauderdale-West Palm Beach, FL"
6,June,0.9999999999999999,"Miami-Fort Lauderdale-West Palm Beach, FL"
6,July,0.9326267066831904,"Miami-Fort Lauderdale-West Palm Beach, FL"
6,August,0.9417397786386468,"Miami-Fort Lauderdale-West Palm Beach, FL"
6,September,0.9477110025682918,"Miami-Fort Lauderdale-West Palm Beach, FL"
6,October,0.9477110025682918,"Miami-Fort Lauderdale-West Palm Beach, FL"
6,November,0.9367664140317512,"Miami-Fort Lauderdale-West Palm Beach, FL"
6,December,0.944384852127893,"Miami-Fort Lauderdale-West Palm Beach, FL"
7,July,0.9999999999999998,"Miami-Fort Lauderdale-West Palm Beach, FL"
7,August,0.9373723101699815,"Miami-Fort Lauderdale-West Palm Beach, FL"
7,September,0.927568610244239,"Miami-Fort Lauderdale-West Palm Beach, FL"
7,October,0.927568610244239,"Miami-Fort Lauderdale-West Palm Beach, FL"
7,November,0.9142571472481157,"Miami-Fort Lauderdale-West Palm Beach, FL"
7,December,0.9192108545478341,"Miami-Fort Lauderdale-West Palm Beach, FL"
8,August,1,"Miami-Fort Lauderdale-West Palm Beach, FL"
8,September,0.9385253025938397,"Miami-Fort Lauderdale-West Palm Beach, FL"
8,October,0.9385253025938397,"Miami-Fort Lauderdale-West Palm Beach, FL"
8,November,0.9307031420653312,"Miami-Fort Lauderdale-West Palm Beach, FL"
8,December,0.9350749726031161,"Miami-Fort Lauderdale-West Palm Beach, FL"
9,September,1,"Miami-Fort Lauderdale-West Palm Beach, FL"
9,October,1,"Miami-Fort Lauderdale-West Palm Beach, FL"
9,November,0.9561539407647509,"Miami-Fort Lauderdale-West Palm Beach, FL"
9,December,0.9508265978133118,"Miami-Fort Lauderdale-West Palm Beach, FL"
10,October,1,"Miami-Fort Lauderdale-West Palm Beach, FL"
10,November,0.9561539407647509,"Miami-Fort Lauderdale-West Palm Beach, FL"
10,December,0.9508265978133118,"Miami-Fort Lauderdale-West Palm Beach, FL"
11,November,1,"Miami-Fort Lauderdale-West Palm Beach, FL"
11,December,0.9506702007959393,"Miami-Fort Lauderdale-West Palm Beach, FL"
12,December,1,"Miami-Fort Lauderdale-West Palm Beach, FL"
