month,name,value,city
1,January,1,"Ogden-Clearfield, UT"
1,February,0.9747828923763878,"Ogden-Clearfield, UT"
1,March,0.9511702226912957,"Ogden-Clearfield, UT"
1,April,0.8925482505368024,"Ogden-Clearfield, UT"
1,May,0.9333110112047225,"Ogden-Clearfield, UT"
1,June,0.9440365814849915,"Ogden-Clearfield, UT"
1,July,0.937661499040963,"Ogden-Clearfield, UT"
1,August,0.9374493969538596,"Ogden-Clearfield, UT"
1,September,0.9412737220528077,"Ogden-Clearfield, UT"
1,October,0.9412737220528077,"Ogden-Clearfield, UT"
1,November,0.942576588462728,"Ogden-Clearfield, UT"
1,December,0.9365809214668748,"Ogden-Clearfield, UT"
2,February,1,"Ogden-Clearfield, UT"
2,March,0.9563210407748024,"Ogden-Clearfield, UT"
2,April,0.9005182354771079,"Ogden-Clearfield, UT"
2,May,0.937320502691313,"Ogden-Clearfield, UT"
2,June,0.9466846712712792,"Ogden-Clearfield, UT"
2,July,0.9420797793936242,"Ogden-Clearfield, UT"
2,August,0.9408359652713483,"Ogden-Clearfield, UT"
2,September,0.9437199913249812,"Ogden-Clearfield, UT"
2,October,0.9437199913249812,"Ogden-Clearfield, UT"
2,November,0.9438187604673687,"Ogden-Clearfield, UT"
2,December,0.9388135663542556,"Ogden-Clearfield, UT"
3,March,1,"Ogden-Clearfield, UT"
3,April,0.937670323481567,"Ogden-Clearfield, UT"
3,May,0.9538555177862037,"Ogden-Clearfield, UT"
3,June,0.9504658886946278,"Ogden-Clearfield, UT"
3,July,0.9502028521594259,"Ogden-Clearfield, UT"
3,August,0.9456999991927085,"Ogden-Clearfield, UT"
3,September,0.950029927391497,"Ogden-Clearfield, UT"
3,October,0.950029927391497,"Ogden-Clearfield, UT"
3,November,0.9496728132139786,"Ogden-Clearfield, UT"
3,December,0.9405946588444296,"Ogden-Clearfield, UT"
4,April,0.9999999999999998,"Ogden-Clearfield, UT"
4,May,0.9501099414021155,"Ogden-Clearfield, UT"
4,June,0.928595815611727,"Ogden-Clearfield, UT"
4,July,0.9315190546142403,"Ogden-Clearfield, UT"
4,August,0.9136542614829216,"Ogden-Clearfield, UT"
4,September,0.919795735121008,"Ogden-Clearfield, UT"
4,October,0.919795735121008,"Ogden-Clearfield, UT"
4,November,0.9171923356279537,"Ogden-Clearfield, UT"
4,December,0.9157942333856263,"Ogden-Clearfield, UT"
5,May,1,"Ogden-Clearfield, UT"
5,June,0.9632432971991185,"Ogden-Clearfield, UT"
5,July,0.9599656972133879,"Ogden-Clearfield, UT"
5,August,0.9481061621648557,"Ogden-Clearfield, UT"
5,September,0.9509962157253732,"Ogden-Clearfield, UT"
5,October,0.9509962157253732,"Ogden-Clearfield, UT"
5,November,0.9518018794670511,"Ogden-Clearfield, UT"
5,December,0.9457833401014807,"Ogden-Clearfield, UT"
6,June,1,"Ogden-Clearfield, UT"
6,July,0.9667490345267828,"Ogden-Clearfield, UT"
6,August,0.9587002204778319,"Ogden-Clearfield, UT"
6,September,0.9591378668584276,"Ogden-Clearfield, UT"
6,October,0.9591378668584276,"Ogden-Clearfield, UT"
6,November,0.9582709058090403,"Ogden-Clearfield, UT"
6,December,0.9558938117990361,"Ogden-Clearfield, UT"
7,July,1,"Ogden-Clearfield, UT"
7,August,0.9610139640774814,"Ogden-Clearfield, UT"
7,September,0.959516326556984,"Ogden-Clearfield, UT"
7,October,0.959516326556984,"Ogden-Clearfield, UT"
7,November,0.9581958888900048,"Ogden-Clearfield, UT"
7,December,0.9543572438045818,"Ogden-Clearfield, UT"
8,August,0.9999999999999999,"Ogden-Clearfield, UT"
8,September,0.9624101008162307,"Ogden-Clearfield, UT"
8,October,0.9624101008162307,"Ogden-Clearfield, UT"
8,November,0.9614059597622161,"Ogden-Clearfield, UT"
8,December,0.954192207427446,"Ogden-Clearfield, UT"
9,September,1,"Ogden-Clearfield, UT"
9,October,1,"Ogden-Clearfield, UT"
9,November,0.971309807763476,"Ogden-Clearfield, UT"
9,December,0.962887143287699,"Ogden-Clearfield, UT"
10,October,1,"Ogden-Clearfield, UT"
10,November,0.971309807763476,"Ogden-Clearfield, UT"
10,December,0.962887143287699,"Ogden-Clearfield, UT"
11,November,1,"Ogden-Clearfield, UT"
11,December,0.9665590185493594,"Ogden-Clearfield, UT"
12,December,1,"Ogden-Clearfield, UT"
