month,name,value,city
1,January,0.9999999999999999,"Omaha-Council Bluffs, NE-IA"
1,February,0.968354222298087,"Omaha-Council Bluffs, NE-IA"
1,March,0.9315763976382189,"Omaha-Council Bluffs, NE-IA"
1,April,0.890845235668861,"Omaha-Council Bluffs, NE-IA"
1,May,0.9325061183794319,"Omaha-Council Bluffs, NE-IA"
1,June,0.9417286819428827,"Omaha-Council Bluffs, NE-IA"
1,July,0.9413399120009255,"Omaha-Council Bluffs, NE-IA"
1,August,0.9274268851615987,"Omaha-Council Bluffs, NE-IA"
1,September,0.9453545495255289,"Omaha-Council Bluffs, NE-IA"
1,October,0.9453545495255289,"Omaha-Council Bluffs, NE-IA"
1,November,0.9484888957335325,"Omaha-Council Bluffs, NE-IA"
1,December,0.9354937402269888,"Omaha-Council Bluffs, NE-IA"
2,February,0.9999999999999999,"Omaha-Council Bluffs, NE-IA"
2,March,0.9342893921645914,"Omaha-Council Bluffs, NE-IA"
2,April,0.887828440321039,"Omaha-Council Bluffs, NE-IA"
2,May,0.927915732065693,"Omaha-Council Bluffs, NE-IA"
2,June,0.9382460325300128,"Omaha-Council Bluffs, NE-IA"
2,July,0.9373379163810919,"Omaha-Council Bluffs, NE-IA"
2,August,0.9278912428785908,"Omaha-Council Bluffs, NE-IA"
2,September,0.946301802017174,"Omaha-Council Bluffs, NE-IA"
2,October,0.946301802017174,"Omaha-Council Bluffs, NE-IA"
2,November,0.9489011867662197,"Omaha-Council Bluffs, NE-IA"
2,December,0.9356745573354135,"Omaha-Council Bluffs, NE-IA"
3,March,1,"Omaha-Council Bluffs, NE-IA"
3,April,0.9169560895732424,"Omaha-Council Bluffs, NE-IA"
3,May,0.9336936673628774,"Omaha-Council Bluffs, NE-IA"
3,June,0.9398715151434772,"Omaha-Council Bluffs, NE-IA"
3,July,0.9399119534143996,"Omaha-Council Bluffs, NE-IA"
3,August,0.9258466059853017,"Omaha-Council Bluffs, NE-IA"
3,September,0.9316853105450947,"Omaha-Council Bluffs, NE-IA"
3,October,0.9316853105450947,"Omaha-Council Bluffs, NE-IA"
3,November,0.9374331209603206,"Omaha-Council Bluffs, NE-IA"
3,December,0.920812128263336,"Omaha-Council Bluffs, NE-IA"
4,April,1,"Omaha-Council Bluffs, NE-IA"
4,May,0.948148784245748,"Omaha-Council Bluffs, NE-IA"
4,June,0.9316968182334772,"Omaha-Council Bluffs, NE-IA"
4,July,0.9153592108559121,"Omaha-Council Bluffs, NE-IA"
4,August,0.8952348796232368,"Omaha-Council Bluffs, NE-IA"
4,September,0.9004707243420669,"Omaha-Council Bluffs, NE-IA"
4,October,0.9004707243420669,"Omaha-Council Bluffs, NE-IA"
4,November,0.8989436689543504,"Omaha-Council Bluffs, NE-IA"
4,December,0.8928636813425765,"Omaha-Council Bluffs, NE-IA"
5,May,1,"Omaha-Council Bluffs, NE-IA"
5,June,0.9686116258666573,"Omaha-Council Bluffs, NE-IA"
5,July,0.95761330403483,"Omaha-Council Bluffs, NE-IA"
5,August,0.9354846935731094,"Omaha-Council Bluffs, NE-IA"
5,September,0.9393430426972834,"Omaha-Council Bluffs, NE-IA"
5,October,0.9393430426972834,"Omaha-Council Bluffs, NE-IA"
5,November,0.9406626341859147,"Omaha-Council Bluffs, NE-IA"
5,December,0.9367715039972048,"Omaha-Council Bluffs, NE-IA"
6,June,0.9999999999999998,"Omaha-Council Bluffs, NE-IA"
6,July,0.9700227934005279,"Omaha-Council Bluffs, NE-IA"
6,August,0.9502165106469402,"Omaha-Council Bluffs, NE-IA"
6,September,0.9509076917004199,"Omaha-Council Bluffs, NE-IA"
6,October,0.9509076917004199,"Omaha-Council Bluffs, NE-IA"
6,November,0.9543769374207202,"Omaha-Council Bluffs, NE-IA"
6,December,0.946335707395482,"Omaha-Council Bluffs, NE-IA"
7,July,1,"Omaha-Council Bluffs, NE-IA"
7,August,0.9552982680451495,"Omaha-Council Bluffs, NE-IA"
7,September,0.9546562991812971,"Omaha-Council Bluffs, NE-IA"
7,October,0.9546562991812971,"Omaha-Council Bluffs, NE-IA"
7,November,0.9591900911424389,"Omaha-Council Bluffs, NE-IA"
7,December,0.9511470322508826,"Omaha-Council Bluffs, NE-IA"
8,August,1,"Omaha-Council Bluffs, NE-IA"
8,September,0.9480197903251466,"Omaha-Council Bluffs, NE-IA"
8,October,0.9480197903251466,"Omaha-Council Bluffs, NE-IA"
8,November,0.9506427506497322,"Omaha-Council Bluffs, NE-IA"
8,December,0.9456809705035107,"Omaha-Council Bluffs, NE-IA"
9,September,0.9999999999999998,"Omaha-Council Bluffs, NE-IA"
9,October,0.9999999999999998,"Omaha-Council Bluffs, NE-IA"
9,November,0.9715012233560271,"Omaha-Council Bluffs, NE-IA"
9,December,0.958916375997544,"Omaha-Council Bluffs, NE-IA"
10,October,0.9999999999999998,"Omaha-Council Bluffs, NE-IA"
10,November,0.9715012233560271,"Omaha-Council Bluffs, NE-IA"
10,December,0.958916375997544,"Omaha-Council Bluffs, NE-IA"
11,November,0.9999999999999998,"Omaha-Council Bluffs, NE-IA"
11,December,0.9665807815130554,"Omaha-Council Bluffs, NE-IA"
12,December,1,"Omaha-Council Bluffs, NE-IA"
