month,name,value,city
1,January,1,"Portland-Vancouver-Hillsboro, OR-WA"
1,February,0.9667948953428798,"Portland-Vancouver-Hillsboro, OR-WA"
1,March,0.9407692533547454,"Portland-Vancouver-Hillsboro, OR-WA"
1,April,0.8684161959349879,"Portland-Vancouver-Hillsboro, OR-WA"
1,May,0.8883010169958344,"Portland-Vancouver-Hillsboro, OR-WA"
1,June,0.9202327364145211,"Portland-Vancouver-Hillsboro, OR-WA"
1,July,0.922213727981103,"Portland-Vancouver-Hillsboro, OR-WA"
1,August,0.923746146034661,"Portland-Vancouver-Hillsboro, OR-WA"
1,September,0.9207422335810834,"Portland-Vancouver-Hillsboro, OR-WA"
1,October,0.9207422335810834,"Portland-Vancouver-Hillsboro, OR-WA"
1,November,0.9255508521409502,"Portland-Vancouver-Hillsboro, OR-WA"
1,December,0.9094451843649162,"Portland-Vancouver-Hillsboro, OR-WA"
2,February,1,"Portland-Vancouver-Hillsboro, OR-WA"
2,March,0.9515825034158248,"Portland-Vancouver-Hillsboro, OR-WA"
2,April,0.8799979840507945,"Portland-Vancouver-Hillsboro, OR-WA"
2,May,0.8999791954097007,"Portland-Vancouver-Hillsboro, OR-WA"
2,June,0.929900889083706,"Portland-Vancouver-Hillsboro, OR-WA"
2,July,0.9309926324549267,"Portland-Vancouver-Hillsboro, OR-WA"
2,August,0.9320979131977012,"Portland-Vancouver-Hillsboro, OR-WA"
2,September,0.9309586458687074,"Portland-Vancouver-Hillsboro, OR-WA"
2,October,0.9309586458687074,"Portland-Vancouver-Hillsboro, OR-WA"
2,November,0.9343560600436404,"Portland-Vancouver-Hillsboro, OR-WA"
2,December,0.9194582699071439,"Portland-Vancouver-Hillsboro, OR-WA"
3,March,1,"Portland-Vancouver-Hillsboro, OR-WA"
3,April,0.9232713623366978,"Portland-Vancouver-Hillsboro, OR-WA"
3,May,0.9358094877416808,"Portland-Vancouver-Hillsboro, OR-WA"
3,June,0.9462732026971443,"Portland-Vancouver-Hillsboro, OR-WA"
3,July,0.9465784034989964,"Portland-Vancouver-Hillsboro, OR-WA"
3,August,0.9449289648321644,"Portland-Vancouver-Hillsboro, OR-WA"
3,September,0.9420562647721235,"Portland-Vancouver-Hillsboro, OR-WA"
3,October,0.9420562647721235,"Portland-Vancouver-Hillsboro, OR-WA"
3,November,0.9394553860881588,"Portland-Vancouver-Hillsboro, OR-WA"
3,December,0.9300263294847263,"Portland-Vancouver-Hillsboro, OR-WA"
4,April,1,"Portland-Vancouver-Hillsboro, OR-WA"
4,May,0.9570803507291985,"Portland-Vancouver-Hillsboro, OR-WA"
4,June,0.9301595650858991,"Portland-Vancouver-Hillsboro, OR-WA"
4,July,0.9231826454237457,"Portland-Vancouver-Hillsboro, OR-WA"
4,August,0.9176628273709063,"Portland-Vancouver-Hillsboro, OR-WA"
4,September,0.9137124574880897,"Portland-Vancouver-Hillsboro, OR-WA"
4,October,0.9137124574880897,"Portland-Vancouver-Hillsboro, OR-WA"
4,November,0.9036097328667237,"Portland-Vancouver-Hillsboro, OR-WA"
4,December,0.905395616997934,"Portland-Vancouver-Hillsboro, OR-WA"
5,May,0.9999999999999999,"Portland-Vancouver-Hillsboro, OR-WA"
5,June,0.9489182012319508,"Portland-Vancouver-Hillsboro, OR-WA"
5,July,0.9419095801097389,"Portland-Vancouver-Hillsboro, OR-WA"
5,August,0.9369120196854269,"Portland-Vancouver-Hillsboro, OR-WA"
5,September,0.9308333917744506,"Portland-Vancouver-Hillsboro, OR-WA"
5,October,0.9308333917744506,"Portland-Vancouver-Hillsboro, OR-WA"
5,November,0.9231962849163344,"Portland-Vancouver-Hillsboro, OR-WA"
5,December,0.9232026969187264,"Portland-Vancouver-Hillsboro, OR-WA"
6,June,1,"Portland-Vancouver-Hillsboro, OR-WA"
6,July,0.9585025220596389,"Portland-Vancouver-Hillsboro, OR-WA"
6,August,0.9549720551845626,"Portland-Vancouver-Hillsboro, OR-WA"
6,September,0.9491980605050717,"Portland-Vancouver-Hillsboro, OR-WA"
6,October,0.9491980605050717,"Portland-Vancouver-Hillsboro, OR-WA"
6,November,0.9443831272917793,"Portland-Vancouver-Hillsboro, OR-WA"
6,December,0.9406137961223278,"Portland-Vancouver-Hillsboro, OR-WA"
7,July,1,"Portland-Vancouver-Hillsboro, OR-WA"
7,August,0.9612198802116301,"Portland-Vancouver-Hillsboro, OR-WA"
7,September,0.9531426918178352,"Portland-Vancouver-Hillsboro, OR-WA"
7,October,0.9531426918178352,"Portland-Vancouver-Hillsboro, OR-WA"
7,November,0.9491248971571462,"Portland-Vancouver-Hillsboro, OR-WA"
7,December,0.94247639996741694,"Portland-Vancouver-Hillsboro, OR-WA"
8,August,1,"Portland-Vancouver-Hillsboro, OR-WA"
8,September,0.9579601887759236,"Portland-Vancouver-Hillsboro, OR-WA"
8,October,0.9579601887759236,"Portland-Vancouver-Hillsboro, OR-WA"
8,November,0.9544668921801063,"Portland-Vancouver-Hillsboro, OR-WA"
