month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7705867396001349,0.520532361125908,0.479467638874092,0.6135617966881705,0.04,0.07463317872874187,73.25,"Albuquerque, NM"
2,0.7706835142152756,0.5153579889186455,0.48464201108135446,0.6030948031429578,0.038,0.06590822904816078,65.11111111111111,"Albuquerque, NM"
3,0.745565279932936,0.5430818207661592,0.4569181792338408,0.6373903102490325,0.24,0.05117995391032934,48.833333333333336,"Albuquerque, NM"
4,0.8034426866533999,0.5155761791780947,0.4844238208219053,0.6183700423915895,0.274,0.029730754645430416,27.904761904761905,"Albuquerque, NM"
5,0.7883266138474456,0.5156072640769737,0.4843927359230263,0.6050043207337678,0.269,0.03793646626411132,41.857142857142854,"Albuquerque, NM"
6,0.7524200381235798,0.5365646642013369,0.4634353357986632,0.6241278569646425,0.25,0.046457221201248504,39.06666666666667,"Albuquerque, NM"
7,0.7594107297070866,0.5266551328197673,0.4733448671802327,0.6186444922168135,0.246,0.045325398909016656,45.07692307692308,"Albuquerque, NM"
8,0.7995983460205791,0.5076939342362095,0.4923060657637906,0.5954545025959054,0.258,0.04610717306963041,39.06666666666667,"Albuquerque, NM"
9,0.7305569018072854,0.5550152950290596,0.4449847049709405,0.6536199986803928,0.255,0.04548583763600829,41.857142857142854,"Albuquerque, NM"
10,0.7305569018072854,0.5550152950290596,0.4449847049709405,0.6536199986803928,0.255,0.04548583763600829,41.857142857142854,"Albuquerque, NM"
11,0.7418670469772884,0.542066388294697,0.45793361170530306,0.6331595499728571,0.25,0.04644846999795805,45.07692307692308,"Albuquerque, NM"
12,0.7659338051914917,0.5353139471745861,0.46468605282541386,0.6379874068262195,0.258,0.03744639887984598,32.55555555555556,"Albuquerque, NM"
