month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8563965768792026,0.511816195604272,0.48818380439572795,0.6192708294661191,0.232,0.0673344312188614,65.33333333333333,"Austin-Round Rock, TX"
2,0.8484477209799975,0.5187769682863661,0.4812230317136339,0.6311378936841575,0.251,0.059274353255091616,51.578947368421055,"Austin-Round Rock, TX"
3,0.8597516617045861,0.5101155526321898,0.4898844473678102,0.6216914486041473,0.248,0.04589022534447895,49,"Austin-Round Rock, TX"
4,0.8345015814384479,0.5328017583225098,0.46719824167749024,0.6525546838476447,0.319,0.02627108044443518,31.612903225806452,"Austin-Round Rock, TX"
5,0.7993617306953051,0.5525304097210603,0.44746959027893973,0.6655549335182438,0.32,0.03649809259761106,37.69230769230769,"Austin-Round Rock, TX"
6,0.8450531680422577,0.5233804132534496,0.47661958674655036,0.6403221644709841,0.263,0.04065685518333993,39.2,"Austin-Round Rock, TX"
7,0.8254858117682217,0.5354761426881799,0.4645238573118201,0.6535238292454145,0.267,0.03881511746680286,37.69230769230769,"Austin-Round Rock, TX"
8,0.8808707891671469,0.5009338362875885,0.4990661637124116,0.6121586559252242,0.235,0.04077567697150362,44.54545454545455,"Austin-Round Rock, TX"
9,0.8691240559905081,0.5053423045986597,0.49465769540134025,0.6076705330971062,0.234,0.0406078672531321,44.54545454545455,"Austin-Round Rock, TX"
10,0.8691240559905081,0.5053423045986597,0.49465769540134025,0.6076705330971062,0.234,0.0406078672531321,44.54545454545455,"Austin-Round Rock, TX"
11,0.8837228332248119,0.494621822867146,0.505378177132854,0.5997170757829341,0.231,0.043895270058993976,49,"Austin-Round Rock, TX"
12,0.8793317147711259,0.500075951260864,0.499924048739136,0.6093821514926898,0.234,0.039700027099706076,37.69230769230769,"Austin-Round Rock, TX"
