month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.5940179764870482,0.6993237754650548,0.3006762245349453,0.8044009304203574,0.492,0.008378323164064713,56.96666666666667,"Boston-Cambridge-Newton, MA-NH"
2,0.6027124964679859,0.6924860191186655,0.3075139808813345,0.7965486164926112,0.503,0.0074996750663095905,51.78787878787879,"Boston-Cambridge-Newton, MA-NH"
3,0.5852009071071205,0.7053466066405576,0.29465339335944246,0.8063507201929766,0.522,0.005375405011222413,39.28735632183908,"Boston-Cambridge-Newton, MA-NH"
4,0.6268529388905598,0.6838924795971928,0.3161075204028072,0.7973319293203114,0.509,0.0025844857562598326,15.97196261682243,"Boston-Cambridge-Newton, MA-NH"
5,0.6477050514113687,0.6728064485867862,0.3271935514132138,0.789393994746649,0.512,0.0034320532401497144,18.180851063829788,"Boston-Cambridge-Newton, MA-NH"
6,0.6539041856997592,0.6680431142539349,0.3319568857460651,0.7828179520535877,0.506,0.004379969152276685,23.410958904109588,"Boston-Cambridge-Newton, MA-NH"
7,0.6374624777858463,0.6772261844387648,0.32277381556123524,0.7913161489382409,0.51,0.004713122509162788,26.496124031007753,"Boston-Cambridge-Newton, MA-NH"
8,0.6658920796899699,0.6614061245573178,0.3385938754426821,0.7807808191234858,0.5,0.004848918249080896,29.213675213675213,"Boston-Cambridge-Newton, MA-NH"
9,0.637315754598219,0.6771841888433876,0.3228158111566124,0.7908953009880171,0.496,0.004941132632367025,31.94392523364486,"Boston-Cambridge-Newton, MA-NH"
10,0.6351160818115814,0.6784339744698251,0.3215660255301748,0.7907328090856329,0.485,0.004941132632367025,31.64814814814815,"Boston-Cambridge-Newton, MA-NH"
11,0.637297141046671,0.6757642698694094,0.32423573013059054,0.7904594594540434,0.495,0.004876402758862556,34.18,"Boston-Cambridge-Newton, MA-NH"
12,0.6308803469811318,0.68140440010586,0.31859559989414,0.7947458900640315,0.478,0.004337500875480102,30.24778761061947,"Boston-Cambridge-Newton, MA-NH"
