month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.4906149473310407,0.7481036293355603,0.2518963706644397,0.823873264038049,0.553,0.026936459328042853,45.476190476190474,"Buffalo-Cheektowaga-Niagara Falls, NY"
2,0.5180810949432965,0.7390151816971189,0.26098481830288117,0.8226139373432128,0.529,0.024504154455749834,53.05555555555556,"Buffalo-Cheektowaga-Niagara Falls, NY"
3,0.551553311415896,0.7048239163154011,0.2951760836845989,0.7872961336005894,0.536,0.019075372913168034,35.370370370370374,"Buffalo-Cheektowaga-Niagara Falls, NY"
4,0.5544980748904604,0.7129887717979748,0.28701122820202524,0.8064436424635401,0.542,0.010664383636822636,21.22222222222222,"Buffalo-Cheektowaga-Niagara Falls, NY"
5,0.6025032822245494,0.685948969297924,0.31405103070207596,0.7778136571213202,0.543,0.013650981812593983,22.209302325581394,"Buffalo-Cheektowaga-Niagara Falls, NY"
6,0.5842243674880024,0.6937781026324643,0.30622189736753574,0.7845322640957463,0.552,0.017659455365668937,28.08823529411765,"Buffalo-Cheektowaga-Niagara Falls, NY"
7,0.5693334008996984,0.7052254779035293,0.29477452209647076,0.7992678224998442,0.55,0.018652792869922177,34.107142857142854,"Buffalo-Cheektowaga-Niagara Falls, NY"
8,0.6245385916161662,0.6697364662467317,0.33026353375326833,0.7650894820643324,0.553,0.019175255468844323,30.806451612903224,"Buffalo-Cheektowaga-Niagara Falls, NY"
9,0.5843952858555207,0.6938927602538798,0.30610723974612014,0.782541650424015,0.533,0.018735113657567477,32.93103448275862,"Buffalo-Cheektowaga-Niagara Falls, NY"
10,0.6025917751465819,0.6827753780926428,0.3172246219073573,0.7775823961056708,0.536,0.018735113657567477,32.93103448275862,"Buffalo-Cheektowaga-Niagara Falls, NY"
11,0.5400184806529387,0.7258010957774463,0.2741989042225536,0.8046416342806069,0.498,0.01916208414282108,41.52173913043478,"Buffalo-Cheektowaga-Niagara Falls, NY"
12,0.6036060910673661,0.682739107201265,0.31726089279873504,0.7705869745535975,0.521,0.01617219313554392,26.52777777777778,"Buffalo-Cheektowaga-Niagara Falls, NY"
