month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8223979847108897,0.5185277803144095,0.48147221968559056,0.6323894112595656,0.281,0.09925980452296242,38.07692307692308,"Columbia, SC"
2,0.8153872396838548,0.5251576716631859,0.4748423283368141,0.6423340260991567,0.283,0.09225043961886067,35.357142857142854,"Columbia, SC"
3,0.8154620802048205,0.5257680320171279,0.4742319679828722,0.6450948187329686,0.286,0.07743017216701427,27.5,"Columbia, SC"
4,0.8238057153465157,0.5180455766808001,0.4819544233191999,0.633556520712059,0.305,0.053179568969042655,26.05263157894737,"Columbia, SC"
5,0.821276428239704,0.5132108908137228,0.48678910918627716,0.6204485986074159,0.289,0.06755817282133073,29.11764705882353,"Columbia, SC"
6,0.7901924532709554,0.5431967944646421,0.4568032055353579,0.6512197414818109,0.282,0.07237148816096184,26.05263157894737,"Columbia, SC"
7,0.7806684998365029,0.5490686005324812,0.4509313994675188,0.6593611699783796,0.301,0.06967652230810126,33,"Columbia, SC"
8,0.7971215445839719,0.539135033682358,0.46086496631764196,0.6596488560783508,0.292,0.07319347319347319,33,"Columbia, SC"
9,0.7596488867126767,0.5624831419402649,0.4375168580597351,0.6763313375478359,0.283,0.07271091481617797,33,"Columbia, SC"
10,0.7594665962047463,0.5629131600886246,0.4370868399113754,0.6771518796811083,0.283,0.07271091481617797,33,"Columbia, SC"
11,0.8374529328083004,0.5098945999593315,0.4901054000406685,0.6312044497304368,0.295,0.0786079417658365,35.357142857142854,"Columbia, SC"
12,0.8333151927587947,0.5142895561251156,0.4857104438748844,0.6331400902068441,0.294,0.07250644092749356,27.5,"Columbia, SC"
