month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.9308539735537492,0.48808785707210983,0.5119121429278902,0.6276283208663321,0.356,0.017443952311864328,126.15151515151516,"Dallas-Fort Worth-Arlington, TX"
2,0.9236207259958157,0.49197520449468973,0.5080247955053102,0.6307357922357378,0.365,0.015107864839367149,109.55263157894737,"Dallas-Fort Worth-Arlington, TX"
3,0.9194459974909781,0.4931777495212846,0.5068222504787153,0.6302976447059531,0.377,0.011381818018116394,92.5111111111111,"Dallas-Fort Worth-Arlington, TX"
4,0.9161455798637284,0.4961051855128052,0.5038948144871948,0.6351084752476286,0.404,0.006628841549713195,69.38333333333334,"Dallas-Fort Worth-Arlington, TX"
5,0.9432649880353613,0.4802813680032468,0.5197186319967533,0.6160853250593744,0.378,0.009853514918212122,90.5,"Dallas-Fort Worth-Arlington, TX"
6,0.9215291432938661,0.4910109771407817,0.5089890228592183,0.6231487877242372,0.369,0.011283182444183752,101.53658536585365,"Dallas-Fort Worth-Arlington, TX"
7,0.9190675178338761,0.4945743025741855,0.5054256974258146,0.6289380032255535,0.377,0.010798604165226187,106.74358974358974,"Dallas-Fort Worth-Arlington, TX"
8,0.9245381941682937,0.4918301243873004,0.5081698756126997,0.6289108838890838,0.375,0.011280354390864441,109.55263157894737,"Dallas-Fort Worth-Arlington, TX"
9,0.9533441462599552,0.47316299104352577,0.5268370089564742,0.6063231942809746,0.377,0.011180102786463622,101.53658536585365,"Dallas-Fort Worth-Arlington, TX"
10,0.9450567172036175,0.4768385790129116,0.5231614209870884,0.6102184432116311,0.378,0.011180102786463622,99.11904761904762,"Dallas-Fort Worth-Arlington, TX"
11,0.9248685158519425,0.48627109326550816,0.5137289067344918,0.6214293927905095,0.352,0.011921629909861283,109.55263157894737,"Dallas-Fort Worth-Arlington, TX"
12,0.9085688260444466,0.4991880586560244,0.5008119413439757,0.6303230926358478,0.366,0.010675554988149302,99.11904761904762,"Dallas-Fort Worth-Arlington, TX"
