month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.29338162721229594,0.8649296186193474,0.1350703813806527,0.9218974568305721,0.247,0.07817144555723236,32.888888888888886,"Knoxville, TN"
2,0.2925565320183148,0.8653231446702612,0.13467685532973886,0.92210591006563,0.248,0.07406137101568575,34.8235294117647,"Knoxville, TN"
3,0.2892081704552396,0.8670801730689263,0.1329198269310738,0.9230903706521807,0.256,0.06493231810490693,34.8235294117647,"Knoxville, TN"
4,0.27888848315840187,0.8724640399895764,0.12753596001042353,0.9266421246942554,0.275,0.04641411716284813,28.19047619047619,"Knoxville, TN"
5,0.28420390937386986,0.8696972894684057,0.1303027105315942,0.9247996768628122,0.252,0.062471418118626235,31.157894736842106,"Knoxville, TN"
6,0.2774338974047605,0.8724595533145371,0.127540446685463,0.9258673417461117,0.249,0.0660298623496593,34.8235294117647,"Knoxville, TN"
7,0.29260783054473727,0.8654353642289226,0.1345646357710773,0.9222106604900998,0.249,0.06431209127909635,32.888888888888886,"Knoxville, TN"
8,0.2695557785737724,0.8770025119372041,0.12299748806279591,0.9287137832542967,0.25,0.06564400695111354,31.157894736842106,"Knoxville, TN"
9,0.27702717106123376,0.873011401469676,0.1269885985303239,0.9264192888219289,0.246,0.06558112681209127,32.888888888888886,"Knoxville, TN"
10,0.27702717106123376,0.873011401469676,0.1269885985303239,0.9264192888219289,0.246,0.06558112681209127,32.888888888888886,"Knoxville, TN"
11,0.27060496763328623,0.8766151796566004,0.12338482034339958,0.9285316866111253,0.25,0.06838786756299446,31.157894736842106,"Knoxville, TN"
12,0.2638042022308019,0.8800519441464365,0.11994805585356344,0.9306415344004855,0.255,0.06290300452737001,29.6,"Knoxville, TN"
