month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8635395881019617,0.5316631997764631,0.46833680022353685,0.6589922090480567,0.34,0.04508762555718523,92.42857142857143,"Las Vegas-Henderson-Paradise, NV"
2,0.8687703658727528,0.5298472563027863,0.4701527436972137,0.6561973932127003,0.31,0.03964875665066085,71.88888888888889,"Las Vegas-Henderson-Paradise, NV"
3,0.8946056423497367,0.5152843652209718,0.4847156347790282,0.6442644951004857,0.344,0.030628004078554,58.81818181818182,"Las Vegas-Henderson-Paradise, NV"
4,0.930432662361598,0.49613562439849607,0.5038643756015039,0.6258377051464001,0.342,0.017541846418295638,41.74193548387097,"Las Vegas-Henderson-Paradise, NV"
5,0.8588805686805965,0.5396168016943952,0.46038319830560487,0.6628086363802881,0.334,0.02346901817060357,47.925925925925924,"Las Vegas-Henderson-Paradise, NV"
6,0.9162398239797453,0.5070367433426612,0.49296325665733876,0.6367386577472001,0.339,0.028327541834464738,56.26086956521739,"Las Vegas-Henderson-Paradise, NV"
7,0.8760413096011714,0.5299014691654549,0.47009853083454517,0.6645021318835769,0.312,0.02747883921388621,58.81818181818182,"Las Vegas-Henderson-Paradise, NV"
8,0.9278617709419503,0.49498118516142503,0.505018814838575,0.6227477815042376,0.288,0.027229607528828994,53.916666666666664,"Las Vegas-Henderson-Paradise, NV"
9,0.9034896922477408,0.512532366179734,0.4874676338202661,0.6442392190221106,0.35,0.026752062885278118,61.61904761904762,"Las Vegas-Henderson-Paradise, NV"
10,0.9034896922477408,0.512532366179734,0.4874676338202661,0.6442392190221106,0.35,0.026752062885278118,61.61904761904762,"Las Vegas-Henderson-Paradise, NV"
11,0.9159098973398591,0.5047100522915249,0.49528994770847506,0.6353206499037413,0.338,0.028936575616415102,58.81818181818182,"Las Vegas-Henderson-Paradise, NV"
12,0.8948659680618473,0.5160831302799931,0.48391686972000686,0.6446515713485248,0.301,0.02644366108794113,53.916666666666664,"Las Vegas-Henderson-Paradise, NV"
