month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.27150310363120556,0.8706109222826671,0.12938907771733285,0.9300387397728145,0.023,0.20936098165505926,113,"McAllen-Edinburg-Mission, TX"
2,0.27150310363120556,0.8706109222826671,0.12938907771733285,0.9300387397728145,0.023,0.19927213698486673,113,"McAllen-Edinburg-Mission, TX"
3,0.27292062102608,0.8698383010730809,0.13016169892691912,0.9296509811854338,0.026,0.17508858284896406,113,"McAllen-Edinburg-Mission, TX"
4,0.2946179483974218,0.8590923637841481,0.14090763621585187,0.9237481396967185,0.075,0.10420484892915118,56.5,"McAllen-Edinburg-Mission, TX"
5,0.3361984494352477,0.8374218556814289,0.16257814431857112,0.9114656036926914,0.078,0.1496744689392749,84.75,"McAllen-Edinburg-Mission, TX"
6,0.273774194022374,0.869322494838289,0.13067750516171098,0.9293425226145154,0.026,0.15476252814578206,113,"McAllen-Edinburg-Mission, TX"
7,0.3354163353644538,0.8377980868737499,0.16220191312625012,0.9117197933117008,0.079,0.13881761533225115,84.75,"McAllen-Edinburg-Mission, TX"
8,0.33053647461146446,0.839570369419185,0.160429630580815,0.9129422675965062,0.013,0.14874936726536456,113,"McAllen-Edinburg-Mission, TX"
9,0.2723934891605995,0.8685804810280141,0.1314195189719859,0.928961735262547,0.031,0.14797263095425112,84.75,"McAllen-Edinburg-Mission, TX"
10,0.2723934891605995,0.8685804810280141,0.1314195189719859,0.928961735262547,0.031,0.14797263095425112,84.75,"McAllen-Edinburg-Mission, TX"
11,0.27150310363120556,0.8706109222826671,0.12938907771733285,0.9300387397728145,0.023,0.15368906110907474,113,"McAllen-Edinburg-Mission, TX"
12,0.2718291546772437,0.8701609770046443,0.12983902299535569,0.9297189613000035,0.026,0.14828681642840935,113,"McAllen-Edinburg-Mission, TX"
