month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8346797417958087,0.5314490695660908,0.4685509304339091,0.6516826377004518,0.456,0.02041096452743441,110.3225806451613,"Miami-Fort Lauderdale-West Palm Beach, FL"
2,0.8537067531476217,0.5202548979617291,0.4797451020382709,0.6423427265882589,0.45,0.01783446136057703,97.71428571428571,"Miami-Fort Lauderdale-West Palm Beach, FL"
3,0.8199942260490459,0.5393807290817194,0.4606192709182806,0.6581676528684626,0.456,0.013321924778798904,76,"Miami-Fort Lauderdale-West Palm Beach, FL"
4,0.8066855442136792,0.5414609912322359,0.45853900876776416,0.6530354638890395,0.484,0.006510829574667878,45.6,"Miami-Fort Lauderdale-West Palm Beach, FL"
5,0.7856193922781248,0.5550573512826259,0.4449426487173741,0.6664103526021551,0.462,0.009145829377968661,54.285714285714285,"Miami-Fort Lauderdale-West Palm Beach, FL"
6,0.7670362891853134,0.5682659869072052,0.43173401309279485,0.6864830343766906,0.455,0.011360063901588816,71.25,"Miami-Fort Lauderdale-West Palm Beach, FL"
7,0.770635469763801,0.5668974590930722,0.4331025409069278,0.6773125712999477,0.455,0.010423176983112944,57,"Miami-Fort Lauderdale-West Palm Beach, FL"
8,0.7887912284255741,0.5551892681398072,0.4448107318601928,0.6665354757225225,0.452,0.010833765216394793,62.18181818181818,"Miami-Fort Lauderdale-West Palm Beach, FL"
9,0.7900946954059223,0.5560934509698617,0.44390654903013826,0.6684843630474994,0.447,0.010598923456638086,62.18181818181818,"Miami-Fort Lauderdale-West Palm Beach, FL"
10,0.7954919437282173,0.5539086200796214,0.4460913799203786,0.6677938516326829,0.451,0.010598923456638086,67.05882352941177,"Miami-Fort Lauderdale-West Palm Beach, FL"
11,0.8014815340773881,0.5486006370145782,0.4513993629854219,0.6695753487485593,0.455,0.011565400778928895,68.4,"Miami-Fort Lauderdale-West Palm Beach, FL"
12,0.7922133127904131,0.5559376433314551,0.4440623566685449,0.678488419417884,0.448,0.010670846952616013,63.333333333333336,"Miami-Fort Lauderdale-West Palm Beach, FL"
