month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.5128102315973884,0.7456284694211812,0.25437153057881884,0.8326722870779255,0.623,0.024630114374975646,62,"Milwaukee-Waukesha-West Allis, WI"
2,0.5940182065472198,0.6964108540336383,0.30358914596636166,0.794098749305018,0.557,0.022263979852435382,76.58823529411765,"Milwaukee-Waukesha-West Allis, WI"
3,0.5449106043878702,0.7295540956435201,0.2704459043564799,0.8295722310052924,0.625,0.01638170330987271,48.22222222222222,"Milwaukee-Waukesha-West Allis, WI"
4,0.5387566314636445,0.728957465096872,0.27104253490312796,0.8260255610080712,0.627,0.009259685625260493,25.529411764705884,"Milwaukee-Waukesha-West Allis, WI"
5,0.586057032089425,0.7038204026107875,0.2961795973892125,0.8085055840662568,0.571,0.012980089757258685,37.2,"Milwaukee-Waukesha-West Allis, WI"
6,0.5759795800755121,0.7058453901394921,0.2941546098605079,0.7964738307655979,0.624,0.016842178591205393,59.18181818181818,"Milwaukee-Waukesha-West Allis, WI"
7,0.5809976688816296,0.7056408602729278,0.29435913972707217,0.8100528737415846,0.524,0.01718340258173141,56.608695652173914,"Milwaukee-Waukesha-West Allis, WI"
8,0.5648643866505606,0.7126900158054733,0.2873099841945267,0.8066239495028442,0.415,0.017882380444677437,62,"Milwaukee-Waukesha-West Allis, WI"
9,0.5523611921182167,0.7188017429150645,0.2811982570849355,0.8138087073434714,0.441,0.01696733341125992,72.33333333333333,"Milwaukee-Waukesha-West Allis, WI"
10,0.5154339695493539,0.7433146718504825,0.2566853281495175,0.8349569630570276,0.485,0.01696733341125992,59.18181818181818,"Milwaukee-Waukesha-West Allis, WI"
11,0.5217241655609716,0.7369838261007934,0.2630161738992067,0.8358145733775295,0.399,0.017404194575601186,56.608695652173914,"Milwaukee-Waukesha-West Allis, WI"
12,0.592161765725927,0.6961101297944573,0.3038898702055427,0.7961505101628105,0.607,0.014775943354456162,42,"Milwaukee-Waukesha-West Allis, WI"
