month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.612658017472835,0.6904899170829659,0.3095100829170341,0.8140758268486661,0.247,0.12753623188405797,57.5,"North Port-Sarasota-Bradenton, FL"
2,0.5570111006801849,0.7218491305394986,0.2781508694605014,0.8337875646004715,0.243,0.11411859429762243,51.111111111111114,"North Port-Sarasota-Bradenton, FL"
3,0.6139314451947703,0.6898116008971147,0.3101883991028853,0.8136960683437967,0.243,0.09438287392251588,57.5,"North Port-Sarasota-Bradenton, FL"
4,0.5084262802170886,0.7476236160830045,0.2523763839169955,0.8492575461357289,0.31,0.05580183764326987,41.81818181818182,"North Port-Sarasota-Bradenton, FL"
5,0.5578907401639828,0.7210769623227788,0.27892303767722115,0.8334518836701837,0.236,0.080316377758833,51.111111111111114,"North Port-Sarasota-Bradenton, FL"
6,0.5572104194131725,0.7217341134834023,0.27826588651659767,0.8338476173801306,0.237,0.08619399450601498,51.111111111111114,"North Port-Sarasota-Bradenton, FL"
7,0.502661726678801,0.7513666512993,0.24863334870069995,0.8518943800010899,0.242,0.08009377664109121,46,"North Port-Sarasota-Bradenton, FL"
8,0.41889741335369274,0.800025441468584,0.19997455853141594,0.883541997852898,0.262,0.08437055981813016,46,"North Port-Sarasota-Bradenton, FL"
9,0.5563832208108872,0.7218127472661702,0.27818725273382977,0.8338562527457151,0.234,0.08455053518992137,51.111111111111114,"North Port-Sarasota-Bradenton, FL"
10,0.5563832208108872,0.7218127472661702,0.27818725273382977,0.8338562527457151,0.234,0.08455053518992137,51.111111111111114,"North Port-Sarasota-Bradenton, FL"
11,0.5452863019608604,0.7267339703075375,0.27326602969246244,0.8363738011906114,0.236,0.0883489627735152,51.111111111111114,"North Port-Sarasota-Bradenton, FL"
12,0.5478865115281445,0.7249857345547196,0.27501426544528046,0.8352352291097539,0.229,0.08152410722743203,51.111111111111114,"North Port-Sarasota-Bradenton, FL"
