month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.3065728150307987,0.8526003003620056,0.14739969963799435,0.9066180099717113,0.252,0.04511077880334829,50.166666666666664,"Omaha-Council Bluffs, NE-IA"
2,0.29804546131186327,0.8573806749860999,0.14261932501390007,0.9090824071605863,0.255,0.043205329365283984,47.526315789473685,"Omaha-Council Bluffs, NE-IA"
3,0.35165091390914444,0.8258730682502411,0.17412693174975893,0.8841952375426474,0.448,0.032566979248771645,45.15,"Omaha-Council Bluffs, NE-IA"
4,0.35922893051116306,0.8241807813074318,0.1758192186925682,0.8857955747925707,0.443,0.020718079424829283,34.73076923076923,"Omaha-Council Bluffs, NE-IA"
5,0.385326227679357,0.8065467357562063,0.19345326424379375,0.8690829256911828,0.439,0.027458361264373742,41.04545454545455,"Omaha-Council Bluffs, NE-IA"
6,0.43288729393154274,0.7731823222647716,0.2268176777352284,0.8339951687228856,0.459,0.031851207971457546,41.04545454545455,"Omaha-Council Bluffs, NE-IA"
7,0.30595101374841444,0.8527500553593843,0.1472499446406157,0.9040045271501702,0.263,0.033236096480566135,50.166666666666664,"Omaha-Council Bluffs, NE-IA"
8,0.37963591131388563,0.8087336236921058,0.19126637630789417,0.871185314428782,0.449,0.03392117430688049,43,"Omaha-Council Bluffs, NE-IA"
9,0.3833090398836219,0.8077888753819109,0.19221112461808904,0.8692541880717352,0.449,0.03278674435792984,41.04545454545455,"Omaha-Council Bluffs, NE-IA"
10,0.3858898655688919,0.8066034790811556,0.19339652091884435,0.8696703320015517,0.45,0.03278674435792984,41.04545454545455,"Omaha-Council Bluffs, NE-IA"
11,0.38891752547579933,0.8018846150199885,0.1981153849800115,0.867856821812004,0.445,0.034585380586515016,39.26086956521739,"Omaha-Council Bluffs, NE-IA"
12,0.35746927340721246,0.8231767547439925,0.1768232452560074,0.8838445671070491,0.429,0.029954352699673174,45.15,"Omaha-Council Bluffs, NE-IA"
