month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7608950993199814,0.5680209930046985,0.4319790069953014,0.67488606842163,0.391,0.021767261666305465,96.57142857142857,"Phoenix-Mesa-Scottsdale, AZ"
2,0.7846066525867821,0.551228542993047,0.448771457006953,0.6642857844661979,0.398,0.019268394529856153,79.52941176470588,"Phoenix-Mesa-Scottsdale, AZ"
3,0.7466671597973196,0.5769850339319543,0.4230149660680457,0.683738875431712,0.405,0.015247823479062275,71.15789473684211,"Phoenix-Mesa-Scottsdale, AZ"
4,0.7316317515814729,0.5858728422421449,0.41412715775785514,0.6913871233359171,0.387,0.00898916281930881,52,"Phoenix-Mesa-Scottsdale, AZ"
5,0.6867022449675451,0.6075711334893907,0.3924288665106093,0.708659351284517,0.394,0.011847864634298511,57.53191489361702,"Phoenix-Mesa-Scottsdale, AZ"
6,0.7416604046460039,0.5779575323693511,0.4220424676306489,0.681022773440138,0.391,0.01289521614160904,62.883720930232556,"Phoenix-Mesa-Scottsdale, AZ"
7,0.6837052675228429,0.6126757172955006,0.38732428270449937,0.7146179698816414,0.396,0.011678071920964433,60.08888888888889,"Phoenix-Mesa-Scottsdale, AZ"
8,0.6835866034680695,0.6163578907056095,0.3836421092943905,0.7207034984447536,0.402,0.012466971828365153,61.45454545454545,"Phoenix-Mesa-Scottsdale, AZ"
9,0.6933295309686762,0.6031633682449479,0.39683663175505207,0.7002234981319629,0.398,0.012850065782704732,61.45454545454545,"Phoenix-Mesa-Scottsdale, AZ"
10,0.6924205252860995,0.6050847497612754,0.3949152502387247,0.7048384001531055,0.398,0.012850065782704732,58.78260869565217,"Phoenix-Mesa-Scottsdale, AZ"
11,0.6937287228209509,0.6085301606163992,0.39146983938360075,0.7119322997851355,0.4,0.014266008401797698,62.883720930232556,"Phoenix-Mesa-Scottsdale, AZ"
12,0.7065329279419302,0.5977005363193237,0.4022994636806762,0.6991045149495312,0.405,0.013494758180150479,60.08888888888889,"Phoenix-Mesa-Scottsdale, AZ"
