month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.3812886853676391,0.8018780772112112,0.1981219227887888,0.8875245146452307,0.197,0.09983562394411213,51.857142857142854,"Provo-Orem, UT"
2,0.3818114051851039,0.8014333220422993,0.1985666779577007,0.8872255162875327,0.198,0.09272788152747972,51.857142857142854,"Provo-Orem, UT"
3,0.38142535775674496,0.8018160882662188,0.19818391173378128,0.8874973319659174,0.196,0.07791881649239761,51.857142857142854,"Provo-Orem, UT"
4,0.40899114741465314,0.788593458912905,0.211406541087095,0.8792088944348404,0.198,0.05483006864222334,36.3,"Provo-Orem, UT"
5,0.37727061681555324,0.8059379790251774,0.19406202097482264,0.8902908807124872,0.204,0.07173949439142809,36.3,"Provo-Orem, UT"
6,0.37495846716785447,0.8087093566202961,0.19129064337970386,0.8920860217647322,0.201,0.076122855881771,36.3,"Provo-Orem, UT"
7,0.37887305872431537,0.8090630484878134,0.19093695151218665,0.8927239736688779,0.203,0.07572713574722616,33,"Provo-Orem, UT"
8,0.38130891255058275,0.8018623768223578,0.19813762317764216,0.8875139293989895,0.197,0.07947886702281479,40.333333333333336,"Provo-Orem, UT"
9,0.38362510021269686,0.8042450339679624,0.19575496603203763,0.8895675059557443,0.196,0.07855044670715189,45.375,"Provo-Orem, UT"
10,0.38362510021269686,0.8042450339679624,0.19575496603203763,0.8895675059557443,0.196,0.07855044670715189,45.375,"Provo-Orem, UT"
11,0.38130891255058275,0.8018623768223578,0.19813762317764216,0.8875139293989895,0.197,0.08015615725309347,45.375,"Provo-Orem, UT"
12,0.38280459824145535,0.8047163129991697,0.19528368700083037,0.8899025531509693,0.194,0.07042296394380775,45.375,"Provo-Orem, UT"
