month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8347878255495627,0.5269734010621525,0.4730265989378475,0.6375386587678844,0.245,0.02167755991285403,67.5,"Riverside-San Bernardino-Ontario, CA"
2,0.8503724916410632,0.5201397994412237,0.4798602005587763,0.6334778089938821,0.245,0.01997859948878939,67.5,"Riverside-San Bernardino-Ontario, CA"
3,0.8763027839634074,0.5040535247152609,0.4959464752847391,0.6188534099406717,0.248,0.01599763264886007,58.37837837837838,"Riverside-San Bernardino-Ontario, CA"
4,0.8864250064125375,0.4956944283961759,0.5043055716038242,0.6111382072890419,0.249,0.010067246496148765,49.09090909090909,"Riverside-San Bernardino-Ontario, CA"
5,0.8884774089032822,0.4931888183699391,0.5068111816300609,0.6085762581447723,0.247,0.012500428867960134,52.68292682926829,"Riverside-San Bernardino-Ontario, CA"
6,0.853824360795752,0.5154666711244806,0.48453332887551936,0.6286799899587112,0.246,0.014360214777074434,56.8421052631579,"Riverside-San Bernardino-Ontario, CA"
7,0.8496206792481902,0.5173235492788724,0.4826764507211277,0.6278367736278421,0.251,0.01358439263719486,56.8421052631579,"Riverside-San Bernardino-Ontario, CA"
8,0.8694610057715955,0.5064079928955674,0.4935920071044326,0.619283002751679,0.246,0.013781457464875715,55.38461538461539,"Riverside-San Bernardino-Ontario, CA"
9,0.8580231105732989,0.5107417066117358,0.4892582933882642,0.6266871347961431,0.245,0.013565308012968968,61.714285714285715,"Riverside-San Bernardino-Ontario, CA"
10,0.8580231105732989,0.5107417066117358,0.4892582933882642,0.6266871347961431,0.245,0.013565308012968968,61.714285714285715,"Riverside-San Bernardino-Ontario, CA"
11,0.8825265472744115,0.4986473646100881,0.5013526353899119,0.6146306646021423,0.225,0.014513106204861646,58.37837837837838,"Riverside-San Bernardino-Ontario, CA"
12,0.8517676687974464,0.5155032216946073,0.4844967783053927,0.6294352258000694,0.24,0.013666949719520354,58.37837837837838,"Riverside-San Bernardino-Ontario, CA"
